word,surprisal,entropy
I,0.0,
tre,9.819415092468262,11.558887481689453
linguaggi,20.267803192138672,8.887964248657227
C',22.27808380126953,4.464402198791504
era,4.519412040710449,0.87727952003479
una,2.6995561122894287,5.912294387817383
volta,3.2780277729034424,8.479716300964355
in,5.111340045928955,5.692561626434326
Svizzera,11.26643180847168,7.534566402435303
un,2.4461944103240967,5.406900882720947
vecchio,7.383594989776611,8.808908462524414
conte,10.232501029968262,9.928250312805176
che,3.3951587677001953,6.253962516784668
aveva,4.041233062744141,7.887451171875
un,3.674830436706543,8.326455116271973
unico,9.682388305664062,8.72927474975586
figlio,4.606233596801758,6.3515801429748535
ma,4.065305709838867,7.55529260635376
così,12.788687705993652,6.913708686828613
stupido,18.09672737121582,7.033102989196777
che,2.9498605728149414,5.966945171356201
non,2.5023701190948486,6.808103561401367
riusciva,3.0320372581481934,5.996540546417236
a,0.38935548067092896,1.7576806545257568
imparare,9.393731117248535,7.9787492752075195
nulla,6.732340335845947,4.832368850708008
Allora,5.802096366882324,7.255653381347656
il,3.660862684249878,7.459478855133057
padre,2.9163882732391357,5.820089340209961
disse,8.846065521240234,5.502580642700195
Ascolta,21.265384674072266,5.091882228851318
figlio,5.831267356872559,8.550182342529297
mio,2.762284994125366,3.503934383392334
per,6.842584133148193,7.570312976837158
quanto,6.178306579589844,7.040429592132568
io,7.725618362426758,6.459695816040039
faccia,11.029829025268555,6.381560802459717
non,7.091032981872559,6.876094818115234
riesco,7.283370494842529,7.943117141723633
a,0.4495518207550049,2.0306236743927
cacciarti,15.303927421569824,4.635343551635742
niente,9.95499324798584,5.404416561126709
in,7.739080905914307,3.8832550048828125
testa,9.150001525878906,5.600090026855469
Devi,8.676756858825684,7.2209343910217285
andare,4.518068313598633,7.80582332611084
via,5.440155029296875,5.541082382202148
di,6.655002117156982,5.612263202667236
qui,12.046426773071289,3.2692017555236816
maestri,18.27488136291504,8.117034912109375
insigni,16.453968048095703,7.421025276184082
proveranno,22.115108489990234,5.780104637145996
a,3.5119102001190186,7.136292457580566
fare,4.668190002441406,9.079697608947754
ciò,10.31146240234375,7.380000114440918
che,0.24504126608371735,1.4975230693817139
io,5.624849319458008,6.640784740447998
non,3.053903102874756,6.674851417541504
ho,4.260429382324219,5.283066749572754
potuto,25.90700340270996,6.122550964355469
Il,4.273757457733154,7.167537689208984
giovane,6.781972885131836,3.6316685676574707
fu,5.365556240081787,8.140341758728027
così,7.916563510894775,8.698569297790527
mandato,14.073953628540039,8.767206192016602
in,3.762143135070801,2.5775258541107178
un',8.582590103149414,7.266286849975586
altra,2.3088319301605225,5.889053821563721
città,3.261992931365967,5.4727396965026855
e,2.5007569789886475,3.9469141960144043
rimase,7.695497035980225,8.008213996887207
presso,9.794525146484375,6.3791704177856445
un,3.4440455436706543,4.5353899002075195
maestro,7.434075355529785,7.417400360107422
per,5.152397632598877,6.130598545074463
un,3.235167980194092,6.462234973907471
intero,8.666045188903809,4.305538654327393
anno,2.157872200012207,2.8462276458740234
Trascorso,12.425426483154297,4.163899898529053
questo,2.055874824523926,4.604983329772949
periodo,2.486001968383789,4.463184356689453
tornò,9.859352111816406,7.627354145050049
a,1.676167368888855,4.496445655822754
casa,2.769599437713623,7.440912246704102
e,1.9408352375030518,4.988178730010986
il,7.299806594848633,7.918578147888184
padre,1.6869887113571167,4.518743991851807
gli,4.991936206817627,7.244011878967285
chiese,5.338761329650879,4.41273307800293
Ebbene,12.492273330688477,4.164739608764648
che,5.546654224395752,7.4355149269104
cosa,3.2634546756744385,7.941248893737793
hai,3.5559604167938232,6.797308444976807
imparato,7.737909317016602,4.40069055557251
Il,4.24876070022583,5.64609956741333
figlio,4.0707688331604,4.033758163452148
rispose,1.1449956893920898,2.8571105003356934
Babbo,22.581275939941406,5.858127593994141
ho,5.280511856079102,8.341755867004395
imparato,1.4610539674758911,5.493963241577148
quello,6.488131999969482,5.854915618896484
che,0.06538917869329453,0.5624948740005493
dicono,11.359455108642578,5.290990352630615
i,4.098404407501221,6.342248439788818
cani,17.729238510131836,5.208395481109619
Dio,18.65529441833496,7.055708408355713
guardi,18.742698669433594,6.000732421875
esclamò,13.170719146728516,3.8530116081237793
il,1.2880308628082275,4.822911262512207
padre,2.6017026901245117,4.3520331382751465
è,12.492823600769043,5.860635757446289
tutto,5.359305381774902,7.063291072845459
qui,10.880243301391602,6.3566999435424805
Devi,9.381342887878418,4.745917320251465
andare,1.5481903553009033,5.762951374053955
in,6.916715145111084,1.414171576499939
un',5.974549770355225,6.374700546264648
altra,0.03870402276515961,0.29303407669067383
città,2.583015203475952,2.9673380851745605
presso,10.564102172851562,7.577149391174316
un,0.6885880827903748,2.864820718765259
altro,3.8314404487609863,2.3963735103607178
maestro,5.307605266571045,3.7469284534454346
Il,1.9072296619415283,6.249619960784912
giovane,2.40031361579895,3.888890266418457
andò,9.740365982055664,6.166187286376953
e,11.421491622924805,5.542989730834961
anche,8.812015533447266,7.498208045959473
questa,8.611111640930176,3.418085813522339
volta,0.3354233503341675,1.2225579023361206
vi,7.359782695770264,7.845909595489502
si,5.42833137512207,6.964841842651367
fermò,7.864335060119629,4.5425333976745605
un,7.2237935066223145,5.672421455383301
anno,6.915199279785156,4.697131156921387
Quando,6.042858123779297,7.911988735198975
ritornò,12.423359870910645,5.487887382507324
il,2.1527156829833984,6.604131698608398
padre,0.9513218402862549,2.967226266860962
disse,2.4624361991882324,4.008141040802002
Ebbene,6.555967330932617,3.7618680000305176
che,0.7856462597846985,4.177151203155518
cosa,0.003631311235949397,0.04330257698893547
hai,0.1628561168909073,1.0554276704788208
imparato,7.018716335296631,2.0428860187530518
Il,1.332418441772461,5.141877174377441
figlio,1.5270473957061768,2.847191333770752
rispose,1.831661581993103,3.1374573707580566
Babbo,2.1441242694854736,1.5937556028366089
ho,1.8679770231246948,5.595988750457764
imparato,0.06036807596683502,0.44312766194343567
quello,0.13475562632083893,0.8496853113174438
che,0.017428111284971237,0.18067985773086548
dicono,0.09747986495494843,0.7443418502807617
gli,6.865201950073242,0.48373743891716003
uccelli,3.6798653602600098,2.3818044662475586
Allora,6.977142333984375,3.928642988204956
il,2.5340569019317627,5.741250991821289
padre,1.4027968645095825,3.4081151485443115
andò,7.508020401000977,5.622670650482178
in,2.6584901809692383,3.1584396362304688
collera,17.814693450927734,2.1594090461730957
e,0.754708468914032,3.0331132411956787
disse,4.3472089767456055,3.5772743225097656
Sciagurato,48.073455810546875,5.727776050567627
Hai,7.345229148864746,7.218487739562988
perduto,9.952460289001465,6.888309955596924
tutto,2.092372417449951,5.319211006164551
quel,5.090592861175537,5.6728105545043945
tempo,2.9135961532592773,5.804316520690918
prezioso,7.698960781097412,5.053256034851074
senza,10.904026985168457,5.020033836364746
imparare,8.593548774719238,7.569363117218018
nulla,4.123581409454346,4.014968395233154
e,3.1291627883911133,7.297889709472656
non,3.7225759029388428,7.379968166351318
ti,5.200453758239746,6.171595096588135
vergogni,10.454575538635254,5.0826873779296875
di,1.2132822275161743,4.61061429977417
comparirmi,24.106159210205078,5.157191276550293
davanti,17.232986450195312,4.1448655128479
Ti,6.35941219329834,6.025763034820557
manderò,31.290512084960938,5.292510509490967
da,7.183084964752197,6.83432149887085
un,4.11141300201416,6.673923015594482
terzo,9.035109519958496,6.621179580688477
maestro,4.547576904296875,5.374420166015625
ma,3.523524045944214,6.35795783996582
se,6.442654609680176,7.053298473358154
anche,9.638138771057129,6.449276924133301
questa,6.963806629180908,6.020785808563232
volta,0.6174945831298828,3.7491540908813477
non,3.1152355670928955,6.999849319458008
impari,20.419187545776367,6.096803665161133
nulla,15.649551391601562,6.137059211730957
non,3.272693395614624,7.498978137969971
voglio,8.334999084472656,6.451098918914795
più,6.167386054992676,8.288405418395996
essere,4.529491424560547,8.466136932373047
tuo,6.185145378112793,8.507588386535645
padre,7.229356288909912,3.1268959045410156
Così,8.991713523864746,6.307338237762451
il,2.8232240676879883,6.493897914886475
giovane,3.432368278503418,3.485398769378662
fu,2.5499794483184814,6.356245994567871
portato,3.302750587463379,6.726722240447998
da,6.628425121307373,2.9355006217956543
un,1.1962926387786865,4.955482006072998
terzo,3.880819797515869,4.000587463378906
maestro,0.19128577411174774,1.4477453231811523
presso,7.298576831817627,3.75338077545166
il,3.7026705741882324,3.217505693435669
quale,5.5418291091918945,6.365270614624023
rimase,6.378878593444824,7.2898640632629395
un,5.8611273765563965,5.423862457275391
altro,3.687788963317871,4.581958770751953
anno,10.392318725585938,2.3366551399230957
Quando,3.887230396270752,6.3403730392456055
finalmente,7.527675151824951,6.770057201385498
ritornò,7.582778453826904,6.937742233276367
a,3.3204221725463867,3.9629814624786377
casa,0.572148859500885,1.5282576084136963
il,1.3969967365264893,5.353589057922363
padre,0.2654648423194885,1.3373061418533325
gli,3.1804661750793457,3.7931578159332275
chiese,2.5861926078796387,1.9505294561386108
Ebbene,1.6519792079925537,1.8425077199935913
che,0.0939076840877533,0.798224151134491
cosa,0.00024952524108812213,0.003505768021568656
hai,0.05030370503664017,0.37369978427886963
imparato,8.642699241638184,1.3486202955245972
Caro,12.532222747802734,3.4994406700134277
babbo,20.78323745727539,3.173380136489868
rispose,4.1326093673706055,4.7560577392578125
quest',18.529020309448242,3.7304089069366455
anno,0.8470342755317688,2.6277875900268555
ho,3.7429299354553223,6.292930603027344
imparato,1.926569938659668,6.409054279327393
quello,1.726144790649414,5.0701904296875
che,0.03223410248756409,0.31680840253829956
gracidano,41.915122985839844,5.303924083709717
le,7.085597991943359,6.205952167510986
rane,17.634782791137695,5.460355281829834
Allora,5.024277687072754,4.308732509613037
il,0.7045758366584778,3.503772497177124
padre,3.735321521759033,2.866363525390625
andò,7.686247825622559,5.62386417388916
su,8.705331802368164,3.315948486328125
tutte,10.033090591430664,4.782318115234375
le,0.21516889333724976,1.1392128467559814
furie,15.457083702087402,5.340456008911133
balzò,20.483333587646484,5.182523250579834
in,4.844423770904541,6.562358379364014
piedi,8.03806209564209,5.366097450256348
chiamò,14.831228256225586,5.420936107635498
la,3.9114062786102295,6.498065948486328
servitù,11.538909912109375,4.1067376136779785
e,1.7598875761032104,4.78186559677124
disse,4.037259101867676,4.078557014465332
Quest',13.632674217224121,3.582735538482666
essere,8.005349159240723,4.190993785858154
non,6.464637756347656,9.305464744567871
è,3.243823289871216,7.592405796051025
più,3.888164520263672,7.71776819229126
mio,5.600783824920654,8.957576751708984
figlio,5.340529441833496,4.03894567489624
