sentence_id;token_position;token;lemma;pos;morphology;dependency_relation;head_token;entity_type
6;2;disse;dire;VERB;{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'};ROOT;disse;O
7;1;mi;mi;PRON;{'Clitic': 'Yes', 'Number': 'Sing', 'Person': '1', 'PronType': 'Prs'};expl;provare;O
7;2;ci;ci;PRON;{'Clitic': 'Yes', 'PronType': 'Prs'};expl;provare;O
7;3;voglio;volere;AUX;{'Mood': 'Ind', 'Number': 'Sing', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin'};aux;provare;O
7;4;provare;provare;VERB;{'VerbForm': 'Inf'};ROOT;provare;O
8;0;e;e;CCONJ;{};cc;andò;O
8;1;andò;andare;VERB;{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'};ROOT;andò;O
8;2;dal;da il;ADP;{'Definite': 'Def', 'Gender': 'Masc', 'Number': 'Sing', 'PronType': 'Art'};case;re;O
8;3;re;re;NOUN;{'Gender': 'Masc'};obl;andò;O
9;0;il;il;DET;{'Definite': 'Def', 'Gender': 'Masc', 'Number': 'Sing', 'PronType': 'Art'};det;re;O
9;1;re;re;NOUN;{'Gender': 'Masc'};nsubj;prese;O
9;2;lo;lo;PRON;{'Clitic': 'Yes', 'Gender': 'Masc', 'Number': 'Sing', 'Person': '3', 'PronType': 'Prs'};obj;prese;O
9;3;prese;prendere;VERB;{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'};ROOT;prese;O
9;4;in;in;ADP;{};case;parola;O
9;5;parola;parola;NOUN;{'Gender': 'Fem', 'Number': 'Sing'};obl;prese;O
9;7;e;e;CCONJ;{};cc;chiuse;O
9;8;lo;il;DET;{'Definite': 'Def', 'Gender': 'Masc', 'Number': 'Sing', 'PronType': 'Art'};det;chiuse;O
9;9;chiuse;chiuso;ADJ;{'Gender': 'Fem', 'Number': 'Plur'};conj;prese;O
9;10;a;a;ADP;{};mark;studiare;O
9;11;studiare;studiare;VERB;{'VerbForm': 'Inf'};acl;chiuse;O
9;12;in;in;ADP;{};case;stanza;O
9;13;una;uno;DET;{'Definite': 'Ind', 'Gender': 'Fem', 'Number': 'Sing', 'PronType': 'Art'};det;stanza;O
9;14;stanza;stanza;NOUN;{'Gender': 'Fem', 'Number': 'Sing'};obl;studiare;O
9;15;dove;dove;ADV;{};advmod;erano;O
9;16;c';ci;PRON;{'Clitic': 'Yes', 'PronType': 'Prs'};expl;erano;O
9;17;erano;essere;VERB;{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Imp', 'VerbForm': 'Fin'};acl:relcl;stanza;O
9;18;solo;solo;ADV;{};advmod;letto;O
9;19;un;uno;DET;{'Definite': 'Ind', 'Gender': 'Masc', 'Number': 'Sing', 'PronType': 'Art'};det;letto;O
