ph1,ph2,ph3,probability
t,a,ss,0.01796068448592844
t,a,mm,0.0033941450997030122
t,a,i,0.00947532173667091
t,a,tS,0.008909630886720407
t,a,f,0.004384104087116391
t,a,ll,0.010465280724084288
t,a,ɡ,0.004242681374628765
t,a,J,0.003818413237165889
t,a,LL,0.018809220760854194
t,a,ddZ,0.00820251732428228
t,a,d,0.004949794937066893
t,a,kk,0.011879507848960543
t,a,pp,0.005515485787017395
t,a,ttS,0.0036769905246782633
t,a,JJ,0.00537406307452977
t,a,nn,0.001414227124876255
t,a,dZ,0.005232640362042144
t,a,w,0.0060811766369678975
t,a,p,0.0048083722245792675
t,a,rr,0.001414227124876255
t,a,tt,0.005091217649554518
t,a,ff,0.0021213406873143827
t,a,S,0.001414227124876255
t,a,ŋ,0.006364022061943148
t,a,e,0.000282845424975251
t,a,E,0.0001414227124876255
t,a,o,0.001131381699901004
t,a,bb,0.0001414227124876255
t,a,dd,0.000282845424975251
t,a,tz,0.0001414227124876255
n,t,w,0.003700962250185048
n,t,e,0.3219837157660992
n,t,i,0.24685418208734272
n,t,o,0.11075129533678757
n,t,j,0.006199111769059956
n,t,r,0.08567727609178387
n,t,u,0.020540340488527018
n,t,a,0.1757957068837898
n,t,E,0.019059955588452998
n,t,O,0.008974833456698741
n,t,ii,0.0003700962250185048
n,t,ee,9.25240562546262e-05
t,w,O,0.15447154471544716
t,w,a,0.5284552845528455
t,w,e,0.04065040650406504
t,w,i,0.008130081300813009
t,w,o,0.2682926829268293
w,O,n,0.13609467455621302
w,O,k,0.05917159763313609
w,O,l,0.16863905325443787
w,O,v,0.15088757396449703
w,O,r,0.17159763313609466
w,O,t,0.12721893491124261
w,O,i,0.014792899408284023
w,O,J,0.0029585798816568047
w,O,ŋ,0.008875739644970414
w,O,tts,0.005917159763313609
w,O,ɡ,0.026627218934911243
w,O,tS,0.038461538461538464
w,O,j,0.029585798816568046
w,O,m,0.03550295857988166
w,O,ttS,0.008875739644970414
w,O,d,0.0029585798816568047
w,O,f,0.005917159763313609
w,O,p,0.0029585798816568047
w,O,z,0.0029585798816568047
O,n,o,0.13485477178423236
O,n,i,0.4460580912863071
O,n,a,0.10995850622406639
O,n,d,0.022821576763485476
O,n,j,0.15767634854771784
O,n,s,0.026970954356846474
O,n,ts,0.012448132780082987
O,n,e,0.043568464730290454
O,n,u,0.014522821576763486
O,n,t,0.016597510373443983
O,n,f,0.006224066390041493
O,n,r,0.002074688796680498
O,n,v,0.004149377593360996
O,n,ee,0.002074688796680498
t,i,n,0.12003142183817753
t,i,m,0.04304791830322074
t,i,t,0.08719560094265515
t,i,v,0.11720345640219954
t,i,r,0.06252945797329144
t,i,S,0.003927729772191673
t,i,s,0.0380204241948154
t,i,k,0.22168106834249804
t,i,tS,0.05514532600157109
t,i,l,0.03534956794972506
t,i,z,0.012097407698350354
t,i,ddz,0.02466614296936371
t,i,LL,0.005813040062843677
t,i,ss,0.006284367635506678
t,i,tts,0.013511390416339355
t,i,f,0.03974862529457973
t,i,p,0.020267085624509035
t,i,kk,0.0028279654359780046
t,i,a,0.009426551453260016
t,i,e,0.0037706205813040064
t,i,d,0.011154752553024352
t,i,b,0.01225451688923802
t,i,E,0.0004713275726630008
t,i,ɡ,0.013668499607227023
t,i,dZ,0.007855459544383346
t,i,j,0.00015710919088766692
t,i,ll,0.006441476826394344
t,i,mm,0.0010997643362136685
