,E,J,JJ,L,LL,O,S,Z,a,aa,b,bb,bv,d,dZ,dd,ddZ,ddz,dz,e,ee,f,ff,g,i,ii,j,k,kk,l,ll,m,mm,n,nn,o,oo,p,pp,r,rr,s,ss,t,tS,ts,tt,ttS,tts,tz,u,uu,v,vv,w,z,ŋ,ɡ,ɡ:,EE
tz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018450184501845018,0.0,0.0,0.0,0.0018450184501845018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9833948339483395,0.0,0.0,0.0,0.0,0.0018450184501845018,0.0,0.0018450184501845018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00922509225092251,0.0,0.0,0.0,0.0,
u,0.007002310762551642,0.019606470135144598,0.005601848610041314,0.0,0.0039212940270289195,0.00021006932287654927,0.010713535466704012,0.0,0.019536447027519083,0.0,0.025768503606190044,0.007982634269308873,7.002310762551643e-05,0.04362439605069673,0.006512149009173027,0.0022407394440165256,0.01232406694209089,0.0007002310762551642,7.002310762551643e-05,0.004971640641411666,0.0,0.003781247811777887,0.01253413626496744,0.0,0.031020236678103774,0.00021006932287654927,0.0018206007982634268,0.01736573069112807,0.010853581681955046,0.07562495623555773,0.010713535466704012,0.05440795462502626,0.00042013864575309853,0.06918283033401022,0.0012604159372592955,0.003851270919403403,0.0,0.03893284783978713,0.01134374343533366,0.16490441845809117,0.010013304390448848,0.050976822351375954,0.014354737063230866,0.09572158812408095,0.021987255794412155,0.00014004621525103285,0.026328688467194175,0.019256354597017016,0.021987255794412155,7.002310762551643e-05,0.0,0.0,0.0044114557804075345,7.002310762551643e-05,0.0,0.030810167355227226,0.010223373713325398,0.013794552202226735,0.0007702541838806806,
uu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
v,0.03536824988142828,0.0,0.0,0.0,0.0,0.014973914221830748,0.0,0.0,0.3734670370621316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19594823497526934,0.0002032658039162545,0.0,0.0,0.0,0.19899722203401315,0.00027102107188833934,0.02567924656142015,0.0,0.0,0.00027102107188833934,0.0,0.0,0.0,0.0,0.0,0.13449420692458838,0.0,0.0,0.0,0.012060437699031099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005623687241683041,0.0,0.0,0.0,0.0026424554509113084,0.0,0.0,0.0,0.0,
vv,0.034482758620689655,0.0,0.0,0.0,0.0,0.02413793103448276,0.0,0.0,0.0603448275862069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3793103448275862,0.0,0.0,0.0,0.0,0.4413793103448276,0.0017241379310344827,0.01206896551724138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04655172413793104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
w,0.020476993495543244,0.0,0.0,0.0,0.0,0.08311250301132257,0.0,0.0,0.27920982895687785,0.0,0.0,0.0,0.0,0.027704167670440857,0.000963623223319682,0.0,0.0,0.0,0.0,0.07178993013731631,0.0002409058058299205,0.0055408335340881715,0.0,0.0,0.1833293182365695,0.0007227174174897615,0.01421344254396531,0.00457721031076849,0.0,0.00457721031076849,0.0,0.013731630932305469,0.0,0.0031317754757889667,0.0,0.07371717658395567,0.0,0.0012045290291496024,0.0,0.05781739339918092,0.0,0.030113225728740062,0.0,0.10720308359431463,0.000963623223319682,0.0,0.0,0.0,0.0016863406408094434,0.0,0.0,0.0,0.0,0.0,0.0,0.0002409058058299205,0.0,0.013731630932305469,0.0,
z,0.021778584392014518,0.0,0.0,0.0,0.0,0.012374195677280977,0.0,0.0,0.2064015838970467,0.0,0.06979046361986471,0.0,0.0,0.011714238574492658,0.001979871308364956,0.0,0.0,0.0,0.0,0.1641643293185943,0.00016498927569707968,0.0,0.0,0.0,0.000494967827091239,0.0,0.10014849034812737,0.0,0.0,0.023758455700379474,0.0,0.16152450090744103,0.0,0.01567398119122257,0.0,0.11334763240389374,0.0,0.0,0.0,0.006269592476489028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027718198317109387,0.0,0.0,0.0,0.01567398119122257,0.0,0.0,0.047021943573667714,0.0,
ŋ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6305418719211823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3694581280788177,0.0,
ɡ,0.002898550724637681,0.0,0.0,0.0,0.0,0.02318840579710145,0.0,0.0,0.3277997364953887,0.00013175230566534913,0.0,0.0,0.0,0.0003952569169960474,0.0,0.0,0.0,0.0,0.0003952569169960474,0.03267457180500659,0.0,0.00013175230566534913,0.0,0.0,0.026745718050065877,0.0,0.014888010540184453,0.0,0.0,0.017523056653491437,0.0,0.006851119894598155,0.0,0.0006587615283267457,0.0,0.19025032938076417,0.0,0.0,0.0,0.19538866930171278,0.0,0.0006587615283267457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04861660079051383,0.0,0.0,0.0,0.11080368906455863,0.0,0.0,0.0,0.0,
ɡ:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16289592760180996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03619909502262444,0.0,0.03167420814479638,0.0,0.0,0.01809954751131222,0.0,0.0,0.0,0.0,0.0,0.14479638009049775,0.0,0.0,0.0,0.5158371040723982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09049773755656108,0.0,0.0,0.0,0.0,
