,E,J,JJ,L,LL,O,S,Z,a,aa,b,bb,bv,d,dZ,dd,ddZ,ddz,dz,e,ee,f,ff,g,i,ii,j,k,kk,l,ll,m,mm,n,nn,o,oo,p,pp,r,rr,s,ss,t,tS,ts,tt,ttS,tts,tz,u,uu,v,vv,w,z,ŋ,ɡ,ɡ:,EE
dz,0.06775700934579439,0.0,0.0,0.0,0.0,0.03271028037383177,0.0,0.0,0.42757009345794394,0.0,0.002336448598130841,0.0,0.0,0.002336448598130841,0.0,0.0,0.0,0.0,0.0,0.102803738317757,0.0,0.0,0.0,0.0,0.14719626168224298,0.0,0.014018691588785047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16355140186915887,0.011682242990654205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028037383177570093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
e,0.00013263772216818464,0.000773720045981077,0.009218321690688832,4.4212574056061546e-05,0.0027632858785038464,0.0016800778141303388,0.0036254310725970466,0.0,0.013086921920594217,0.0,0.005482359182951631,0.0014148023697939695,0.0,0.03382261915288708,0.005858166062428154,0.0009284640551772925,0.01746396675214431,0.0013705897957379078,0.0,0.0,0.0,0.009107790255548679,0.0020558846936068616,0.0,0.005283402599699355,0.0,0.0009284640551772925,0.020580953223096648,0.00687505526571757,0.04405783004686533,0.016999734724555664,0.03976921036342736,0.003094880183924308,0.15965160491643823,0.0039349190909894775,0.008953046246352462,0.0,0.014125917410911664,0.0015253338049341233,0.25134848350870986,0.010677336634538863,0.0632902997612521,0.02378636484216111,0.038243876558493234,0.012357414448669201,0.00017685029622424618,0.054005659209479175,0.0030727738968962773,0.014391192855248033,0.0,0.0002652754443363693,0.0,0.04012291095587585,8.842514811212309e-05,0.0024316915730833847,0.02522327349898311,0.0008621451940932001,0.025046423202758863,0.0,
ee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.25,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
f,0.024577925806822096,0.0,0.0,0.0,0.0,0.024692775927414725,0.0,0.0,0.1699781784770874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11932927529573906,0.0,0.0,0.0,0.0,0.2644998277248191,0.00011485012059262662,0.042379694498679225,0.0004594004823705065,0.0,0.03502928678075112,0.0,0.0,0.0,0.00011485012059262662,0.0,0.15263581026760079,0.0,0.0,0.0,0.10129780636269668,0.0,0.0,0.0,0.0012633513265188929,0.0,0.0,0.0,0.0,0.0,0.0,0.05776961065809119,0.0,0.0,0.0,0.005627655909038704,0.0,0.0,0.00022970024118525325,0.0,
ff,0.029902642559109873,0.0,0.0,0.0,0.0,0.011126564673157162,0.0,0.0,0.20166898470097358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18011126564673158,0.0,0.0,0.0,0.0,0.22044506258692628,0.0,0.07649513212795549,0.0,0.0,0.020166898470097356,0.0,0.0,0.0,0.0,0.0,0.10778859527121001,0.0,0.0,0.0,0.12100139082058414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03129346314325452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
g,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
i,0.0007398273736128237,0.01136046033703247,0.005080147965474723,0.0,0.007924373201808468,0.0005260994656802302,0.006658446362515413,0.0,0.021619399917796957,0.0,0.020221948212083847,0.0004438964241676942,0.0,0.03659679408138101,0.00896013152486642,0.0001808466913275791,0.00093711467324291,0.0194327990135635,1.6440608302507194e-05,0.00749691738594328,0.0,0.02096177558569667,0.0021866009042334567,1.6440608302507194e-05,0.0,0.0,3.288121660501439e-05,0.10110974106041924,0.004965063707357172,0.05369502671598849,0.010242498972461982,0.0605672009864365,0.005080147965474723,0.16603370324702013,0.003666255651459104,0.003403205918618989,0.0,0.020912453760789148,0.0011672831894780106,0.04496506370735717,0.0036498150431565966,0.0902918207973695,0.010949445129469791,0.0884340320591862,0.03329223181257707,0.00013152486642005755,0.0076448828606658446,0.003419646526921496,0.013678586107685985,1.6440608302507194e-05,0.0004932182490752158,0.0,0.04978216193999178,0.0,4.932182490752158e-05,0.013990957665433621,0.024315659679408137,0.01259350595972051,6.576243321002877e-05,
ii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
j,0.07176479107828228,7.241653993772178e-05,0.0,0.0,0.0,0.023535375479759577,0.0,0.0,0.40292562821348393,0.0,7.241653993772178e-05,0.0,0.0,0.0021724961981316533,0.00014483307987544355,0.0,0.0,0.00021724961981316532,0.0,0.09450358461872692,0.0,0.0,0.0,0.0,0.00043449923962633063,0.0,0.0,0.001303497718878992,0.0,0.0005793323195017742,0.0,0.00014483307987544355,0.0,0.0007965819393149395,0.0,0.3672242740241871,0.0,0.00014483307987544355,0.0,0.0,0.0,0.0,0.0,0.0007965819393149395,0.0005069157795640525,0.0,0.0,0.0,0.0,0.0,0.0325874429719748,0.0,0.0,0.0,0.0,7.241653993772178e-05,0.0,0.0,0.0,
k,0.003059288231421601,0.0,0.0,0.0,0.0,0.024706656856290903,0.0,0.0,0.3324555628703094,0.0,0.0,0.0,0.0,7.745033497269876e-05,0.0,0.0,0.0,0.0,7.745033497269876e-05,0.05007164155984974,0.0,0.0,0.0,0.0,0.0279982960926306,0.0,0.03334236920574681,0.0,0.0,0.022034620299732795,0.0,3.872516748634938e-05,0.0,0.0019749835418038184,0.0,0.35119854393370253,0.0012004801920768306,0.0,0.0,0.06029508577624598,0.0,0.004685745265848275,0.0,0.0018975332068311196,0.0,0.0,0.0,0.0,0.0,0.0,0.03915114432869922,0.0,0.0,0.0,0.04526972079154242,0.00046470200983619257,0.0,0.0,0.0,
kk,0.004981733643307871,0.0,0.0,0.0,0.0,0.03719694453669877,0.0,0.0,0.2803055463301229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0710727333111923,0.0,0.0,0.0,0.0,0.08070408502158752,0.0,0.17070740617734972,0.0,0.0,0.008967120557954168,0.0,0.0,0.0,0.0,0.0,0.22019262703420792,0.0,0.0,0.0,0.008635004981733644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06476253736300233,0.0,0.0,0.0,0.05247426104284291,0.0,0.0,0.0,0.0,
l,0.024635456638526478,0.0,0.0,0.0,0.0,0.02056792018419033,0.0001918649270913277,0.0,0.21009209516500385,0.0,0.005909439754412893,0.0,0.0,0.013584036838066001,0.007712970069071374,0.0,0.0,0.0,0.0001918649270913277,0.1569071373752878,0.0,0.005448963929393707,0.0,0.0,0.25260936300844206,0.00026861089792785877,0.019416730621642363,0.010667689946277821,0.0,0.0,0.0,0.01945510360706063,0.0,0.000920951650038373,0.0,0.1124712202609363,0.0,0.00809669992325403,0.0,0.00023023791250959325,0.0,0.007521105141980046,0.0,0.04501151189562548,0.005525709900230238,0.007636224098234843,0.0,0.0,0.0,0.00015349194167306216,0.043783576362240985,0.0,0.01212586339217191,0.0,0.001841903300076746,0.000498848810437452,0.0,0.006523407521105142,0.0,
ll,0.02425938885001166,0.0,0.0,0.0,0.0,0.018661068346162817,0.0,0.0,0.3104735246092839,0.0,0.0,0.0,0.0,0.00023326335432703523,0.0,0.0,0.0,0.0,0.0,0.18334499650104968,0.0,0.0,0.0,0.0,0.23722883135059483,0.00023326335432703523,0.021693491952414275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14742243993468626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05598320503848846,0.0,0.0,0.0,0.00046652670865407047,0.0,0.0,0.0,0.0,
m,0.02044262732201582,0.0,0.0,0.0,0.0,0.014754244067194028,8.888098835659053e-05,0.0,0.2131366100791041,4.4440494178295264e-05,0.04999555595058217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1989156519420496,0.0,0.0001333214825348858,0.0,0.0,0.1764287618878322,8.888098835659053e-05,0.008310372411341214,0.0001333214825348858,0.0,0.00017776197671318106,0.0,0.0,0.0,0.0009776908719224958,0.0,0.17585103546351435,0.0,0.107012709981335,0.0,4.4440494178295264e-05,0.0,0.00031108345924806685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029997333570349304,0.0,0.0001333214825348858,0.0,0.0029330726157674875,8.888098835659053e-05,0.0,0.0,0.0,
