word,surprisal,entropy
Lupetto,24.087610244750977,9.217887878417969
mangia,16.410924911499023,9.333955764770508
solo,7.732386589050293,8.16494369506836
pastasciutta,17.2635555267334,5.36509370803833
È,8.953139305114746,8.490942001342773
l',5.718206405639648,3.668933868408203
ora,10.282214164733887,4.379209041595459
di,1.7820359468460083,4.773940086364746
cena,10.288908004760742,7.555255889892578
la,4.822076320648193,7.750975131988525
mamma,6.936197757720947,7.003617763519287
tira,10.348220825195312,7.1796488761901855
fuori,1.7967216968536377,4.7630205154418945
una,4.23989725112915,5.405086994171143
teglia,10.932424545288086,5.61521053314209
dal,6.181423187255859,5.923977375030518
forno,6.964711666107178,5.686854362487793
Che,22.914764404296875,5.808358669281006
cos',4.037223815917969,4.263679504394531
è,7.373435020446777,4.168821334838867
chiede,2.4401633739471436,5.928500175476074
Lupetto,23.516483306884766,5.231522560119629
La,8.963955879211426,6.102151870727539
mia,4.1571197509765625,8.074631690979004
specialità,16.529924392700195,5.412391662597656
dice,3.6087987422943115,4.490767955780029
la,4.177335262298584,6.966973781585693
mamma,2.9347715377807617,2.8628358840942383
un,10.29898452758789,6.421088218688965
soufflé,21.9110107421875,6.73073148727417
di,5.350613594055176,8.861425399780273
prosciutto,7.182425022125244,4.2561936378479
e,4.406661033630371,3.8899857997894287
funghi,10.135612487792969,6.944937229156494
Bleah,28.924694061279297,6.996718406677246
non,5.437967777252197,9.006136894226074
mi,4.45619010925293,7.204101085662842
piace,8.752126693725586,7.533792972564697
fa,6.656801700592041,5.893208026885986
Lupetto,5.294170379638672,3.8043501377105713
e,4.278445243835449,7.432755470275879
allontana,12.606636047363281,7.306243896484375
il,3.1964735984802246,5.534933567047119
suo,3.7839126586914062,6.934057235717773
piatto,7.085235118865967,6.0606560707092285
La,4.839390754699707,6.906733512878418
mamma,0.575935959815979,3.1592817306518555
aggrotta,20.53271484375,4.960484981536865
le,5.026476860046387,6.340857982635498
sopracciglia,15.26679801940918,3.8090333938598633
prima,20.684553146362305,7.885635852813721
di,1.727710247039795,6.290635585784912
dire,9.546446800231934,6.377070903778076
che,2.2718939781188965,6.286411285400391
non,3.6908769607543945,7.29544734954834
ti,4.966879367828369,5.639776229858398
piace,2.6805601119995117,5.215014934539795
dovresti,11.220094680786133,7.53857421875
assaggiarlo,20.08592414855957,4.7763872146606445
magari,6.963699817657471,7.126914978027344
scopri,12.073978424072266,7.200080871582031
che,6.858607769012451,3.389784812927246
