TOKEN;BEGIN;ORT
344;5488245;vecchio
345;5551749;Avanzava
346;;a
347;5581296;denti
348;5602023;stretti
349;5617458;il
350;5633334;pesce
351;5646564;sulla
352;5659353;spalla
353;5691546;Sentiva
354;5740497;dietro
355;5752845;di
356;5759460;sé
357;5764311;i
358;5768280;pescivendoli
359;5801355;che
360;5806206;gli
361;5814144;gridavano
362;5836635;di
363;5844132;fermarsi
364;5881176;Si
365;5910723;infilò
366;5923953;in
367;5927040;un
368;5935419;vicolo
369;5955264;poi
370;5961438;in
371;5962761;un
372;5967612;altro
373;5986575;e
374;5987898;in
375;5992308;un
376;5994954;altro
377;6006861;ancora
378;6031116;Si
379;6074334;fermò
380;6090210;senza
381;6106968;fiato
382;6121962;e
383;6123285;lasciò
384;6136515;cadere
385;6147981;il
386;6156360;pesce
387;6179733;Si
388;6219423;toccò
389;6230889;la
390;6235740;schiena
391;6257790;aveva
392;6276312;un
393;6280722;taglio
394;6293511;profondo
395;6323058;Si
396;6341580;era
397;6346872;pugnalato
398;6370686;da
399;6375096;solo
400;6389208;quando
401;6398910;si
402;6405084;era
403;6411258;buttato
404;6425811;il
405;6432426;pesce
406;6445215;sulla
407;6457563;spalla
408;6489315;La
409;6494607;lunga
410;6507396;spada
411;6525477;lo
412;6528123;aveva
413;6537825;infilzato
414;6574428;nella
415;6585894;schiena
416;6635727;Con
417;6659541;fatica
418;6675858;prese
419;6687324;il
420;6692616;pesce
421;6705846;da
422;6710697;terra
423;6729219;questa
424;6742449;volta
425;6754797;stringendolo
426;6785667;tra
427;6791400;le
428;6796692;braccia
429;6813891;come
430;6825798;fosse
431;6839028;un
432;6844320;bambino
433;6867693;e
434;6879600;si
435;6887979;avviò
436;6904296;verso
437;6919731;casa
438;6976179;Più
439;6984117;camminava
440;7004403;e
441;7010136;più
442;7014546;si
443;7022925;sentiva
444;7042329;debole
445;7062174;e
446;7082019;più
447;7086429;il
448;7089075;pesce
449;7104510;pesava
450;7149051;Gli
451;7156107;girava
452;7170219;la
453;7175511;testa
454;7191828;e
455;7198443;tutto
456;7213437;gli
457;7222257;si
458;7227990;sfocava
459;7249599;davanti
460;7300755;Adesso
461;7317072;arrivo
462;7342209;Vedrete
463;7361172;come
464;7371315;sarete
465;7388955;contenti
466;7422471;disse
467;7472745;Ma
468;7476714;le
469;7482447;gambe
470;7494795;gli
471;7499646;erano
472;7509789;diventate
473;7534926;dure
474;7559181;finì
475;;a
476;7574616;terra
477;7587846;diverse
478;7608573;volte
479;7628418;ma
480;7633269;continuò
481;7661934;fino
482;7672518;a
483;7690599;casa
484;7726320;Arrivato
485;7746606;davanti
486;7761600;alla
487;7767333;porta
488;7782327;fece
489;7792029;cadere
490;7804818;il
491;7812315;pesce
492;7829073;e
493;7830396;si
494;7838775;accorse
495;7880670;che
496;7885080;non
497;7893459;ce
498;7898310;la
499;7902720;faceva
500;7917273;a
501;7924329;bussare
502;7949025;Cadde
503;7983423;in
504;7990479;ginocchio
505;8024436;e
506;8028846;con
507;8035461;le
508;8041194;ultime
509;8061480;forze
510;8078679;rotolò
511;8097201;dietro
512;8107785;un
513;8109990;mucchio
514;8123661;di
515;8126748;spazzatura
516;8162910;Stava
517;8201277;morendo
518;8228619;vedeva
519;8240967;l’
520;8243172;Angelo
521;8258166;della
522;8269191;morte
523;8281098;che
524;8288595;attendeva
525;8315496;pazientemente
526;8388261;Possiamo
527;8401932;aspettare
528;8425305;ancora
529;8440299;un
530;8443827;attimo
531;8468082;supplicò
532;8491455;Giovanni
533;8544816;La
534;8550108;morte
535;8564661;fece
536;8573922;segno
537;8590239;di
538;8594208;sì
539;8606335;Steso
540;8665650;nell’immondizia
541;8672706;immondizia 
542;8704458;vide
543;8713719;che
544;8718129;la
545;8725185;porta
546;8737974;si
547;8743707;apriva
548;8756055;e
549;8759583;usciva
550;8778546;Luisina
551;8828820;Cominciava
552;;a
553;8851752;saltare
554;8874243;felice
555;8889678;e
556;8892765;chiamava
557;8907759;la
558;8912610;mamma
559;8919225;e
560;8920548;il
561;8933778;fratellino
562;8999487;I
563;9005661;tre
564;9022860;portavano
565;9044910;dentro
566;9060345;il
567;9064755;pesce
568;9081954;e
569;9083277;dopo
570;9093861;un
571;9098271;po
572;9105768;avvertì
573;9120762;un
574;9123849;odore
575;9137961;così
576;9152073;buono
577;9170154;che
578;9175005;gli
579;9179415;sembrava
580;9199701;di
581;9205875;essere
582;9223074;dentro
583;9238068;il
584;9243360;mare
585;9261441;Stavano
586;9299367;preparando
587;9324504;la
588;9329796;cena
589;9378747;Giovanni
590;9395505;sorrise
591;9438282;guardò
592;9451512;la
593;9455922;morte
594;9466947;e
595;9473562;sospirò
596;9512811;Adesso
597;9548532;possiamo
598;9564408;andare
