TOKEN;BEGIN;ORT
0;70119;I
1;77616;tre
2;86727;linguaggi
3;177842;c'
4;181692;era
5;189630;una
6;196686;volta
7;211680;in
8;220059;Svizzera
9;254016;un
10;260190;vecchio
11;278271;conte
12;312333;che
13;316867;aveva
14;329868;un
15;339570;unico
16;359194;figlio
17;389403;ma
18;397341;così
19;412335;stupido
20;437913;che
21;442203;non
22;448938;riusciva
23;;a
24;467901;imparare
25;487305;nulla
26;541107;Allora
27;553014;il
28;557865;padre
29;572859;disse
30;596232;Ascolta
31;620046;figlio
32;634599;mio
33;654444;per
34;661059;quanto
35;676935;io
36;684432;faccia
37;702072;non
38;707364;riesco
39;724333;a
40;727650;cacciarti
41;749700;niente
42;763604;in
43;770427;testa
44;817173;Devi
45;824670;andare
46;839664;via
47;848925;di
48;852894;qui
49;887292;maestri
50;;insigni
51;937566;proverano
52;961574;a
53;964026;fare
54;983871;ciò
55;993573;che
56;997101;io
57;;non
58;1008567;ho
59;1012977;potuto
60;1079568;Il
61;1085742;giovane
62;1102500;fu
63;1106469;così
64;1117935;mandato
65;1139976;in
66;1143438;un
67;1147041;altra
68;1161153;città
69;1198638;e
70;1199961;rimase
71;1218924;presso
72;;un
73;1240533;maestro
74;1256850;per
75;1264347;un
76;1268316;intero
77;1289925;anno
78;1324653;Trascorso
79;1347696;questo
80;1360044;periodo
81;1382976;tornò
82;1399293;a
83;1404585;casa
84;1438983;e
85;1443066;il
86;1450449;padre
87;1462356;gli
88;1472499;chiese
89;1514835;Ebene
90;1546701;che
91;1552761;cosa
92;1561581;hai
93;;imparato
94;1626849;Il
95;1633905;figlio
96;1645371;rispose
97;1688148;Babbo
98;1724310;ho
99;1729602;imparato
100;1756503;quello
101;1767969;che
102;1770174;dicono
103;1789137;i
104;1794429;cani
105;1855287;Dio
106;1870281;guardi
107;1909530;esclamò
108;1929816;il
109;1937754;padre
110;1972593;è
111;1976562;tutto
112;1990233;qui
113;2032128;Devi
114;2041389;andare
115;2055139;in
116;;un
117;2063439;altra
118;2076669;città
119;2104452;presso
120;2118564;un
121;2124738;altro
122;2138850;maestro
123;2205000;Il
124;2212938;giovane
125;2228373;andò
126;2272914;e
127;2278647;anche
128;2290113;questa
129;2305107;volta
130;2320101;vi
131;2326716;si
132;2332449;fermò
133;2345679;un
134;2352735;anno
135;2395512;Quando
136;2409624;ritornò
137;2431233;il
138;2437848;padre
139;2451519;disse
140;2482389;Ebene
141;2521638;che
142;2528694;cosa
143;2537073;hai
144;;imparato
145;2595285;Il
146;2602341;figlio
147;2611161;rispose
148;2658789;Babbo
149;2687454;ho
150;2692305;imparato
151;2722293;quello
152;2733318;che
153;2736405;dicono
154;2754486;gli
155;2761101;uccelli
156;2823723;Allora
157;2836512;il
158;2842686;padre
159;2854593;andò
160;2864736;in
161;2870910;collera
162;2890755;e
163;2895606;disse
164;2924271;Sciagurato
165;2974986;Hai
166;2979396;perduto
167;2998800;tutto
168;3012471;quel
169;3020409;tempo
170;3035844;prezioso
171;3059217;senza
172;3074211;imparare
173;3096261;nulla
174;3112137;e
