sentence_ids,tokens,lemma,PoS,depparse,head,constituency
2,bando,bando,NOUN,nsubj,Mise,"(ROOT (f (ibar (VERB Mise)) (compt (savv (ADV fuori)) (sn (DET un) (NOUN bando) (f2 (PRON che) (cp (fs (SCONJ se) (f (sn (DET un) (NOUN astrologo)) (ibar (PRON gli) (VERB sa)) (compt (sv2 (VERB dire) (compt (savv (ADV dov')) (VERB è)))))) (PUNCT ,) (f (ibar (PRON lo) (VERB fa)) (compt (sa (ADJ ricco)) (sp (ADP per) (sn (sq (DET tutta)) (DET la) (NOUN vita))))))))) (PUNCT .)))"
2,che,che,PRON,nsubj,fa,"(ROOT (f (ibar (VERB Mise)) (compt (savv (ADV fuori)) (sn (DET un) (NOUN bando) (f2 (PRON che) (cp (fs (SCONJ se) (f (sn (DET un) (NOUN astrologo)) (ibar (PRON gli) (VERB sa)) (compt (sv2 (VERB dire) (compt (savv (ADV dov')) (VERB è)))))) (PUNCT ,) (f (ibar (PRON lo) (VERB fa)) (compt (sa (ADJ ricco)) (sp (ADP per) (sn (sq (DET tutta)) (DET la) (NOUN vita))))))))) (PUNCT .)))"
2,se,se,SCONJ,mark,sa,"(ROOT (f (ibar (VERB Mise)) (compt (savv (ADV fuori)) (sn (DET un) (NOUN bando) (f2 (PRON che) (cp (fs (SCONJ se) (f (sn (DET un) (NOUN astrologo)) (ibar (PRON gli) (VERB sa)) (compt (sv2 (VERB dire) (compt (savv (ADV dov')) (VERB è)))))) (PUNCT ,) (f (ibar (PRON lo) (VERB fa)) (compt (sa (ADJ ricco)) (sp (ADP per) (sn (sq (DET tutta)) (DET la) (NOUN vita))))))))) (PUNCT .)))"
2,un,uno,DET,det,astrologo,"(ROOT (f (ibar (VERB Mise)) (compt (savv (ADV fuori)) (sn (DET un) (NOUN bando) (f2 (PRON che) (cp (fs (SCONJ se) (f (sn (DET un) (NOUN astrologo)) (ibar (PRON gli) (VERB sa)) (compt (sv2 (VERB dire) (compt (savv (ADV dov')) (VERB è)))))) (PUNCT ,) (f (ibar (PRON lo) (VERB fa)) (compt (sa (ADJ ricco)) (sp (ADP per) (sn (sq (DET tutta)) (DET la) (NOUN vita))))))))) (PUNCT .)))"
2,astrologo,astrologo,NOUN,nsubj,sa,"(ROOT (f (ibar (VERB Mise)) (compt (savv (ADV fuori)) (sn (DET un) (NOUN bando) (f2 (PRON che) (cp (fs (SCONJ se) (f (sn (DET un) (NOUN astrologo)) (ibar (PRON gli) (VERB sa)) (compt (sv2 (VERB dire) (compt (savv (ADV dov')) (VERB è)))))) (PUNCT ,) (f (ibar (PRON lo) (VERB fa)) (compt (sa (ADJ ricco)) (sp (ADP per) (sn (sq (DET tutta)) (DET la) (NOUN vita))))))))) (PUNCT .)))"
2,gli,gli,PRON,iobj,sa,"(ROOT (f (ibar (VERB Mise)) (compt (savv (ADV fuori)) (sn (DET un) (NOUN bando) (f2 (PRON che) (cp (fs (SCONJ se) (f (sn (DET un) (NOUN astrologo)) (ibar (PRON gli) (VERB sa)) (compt (sv2 (VERB dire) (compt (savv (ADV dov')) (VERB è)))))) (PUNCT ,) (f (ibar (PRON lo) (VERB fa)) (compt (sa (ADJ ricco)) (sp (ADP per) (sn (sq (DET tutta)) (DET la) (NOUN vita))))))))) (PUNCT .)))"
2,sa,sapere,VERB,advcl,fa,"(ROOT (f (ibar (VERB Mise)) (compt (savv (ADV fuori)) (sn (DET un) (NOUN bando) (f2 (PRON che) (cp (fs (SCONJ se) (f (sn (DET un) (NOUN astrologo)) (ibar (PRON gli) (VERB sa)) (compt (sv2 (VERB dire) (compt (savv (ADV dov')) (VERB è)))))) (PUNCT ,) (f (ibar (PRON lo) (VERB fa)) (compt (sa (ADJ ricco)) (sp (ADP per) (sn (sq (DET tutta)) (DET la) (NOUN vita))))))))) (PUNCT .)))"
2,dire,dire,VERB,ccomp,sa,"(ROOT (f (ibar (VERB Mise)) (compt (savv (ADV fuori)) (sn (DET un) (NOUN bando) (f2 (PRON che) (cp (fs (SCONJ se) (f (sn (DET un) (NOUN astrologo)) (ibar (PRON gli) (VERB sa)) (compt (sv2 (VERB dire) (compt (savv (ADV dov')) (VERB è)))))) (PUNCT ,) (f (ibar (PRON lo) (VERB fa)) (compt (sa (ADJ ricco)) (sp (ADP per) (sn (sq (DET tutta)) (DET la) (NOUN vita))))))))) (PUNCT .)))"
2,dov',dove,ADV,advmod,è,"(ROOT (f (ibar (VERB Mise)) (compt (savv (ADV fuori)) (sn (DET un) (NOUN bando) (f2 (PRON che) (cp (fs (SCONJ se) (f (sn (DET un) (NOUN astrologo)) (ibar (PRON gli) (VERB sa)) (compt (sv2 (VERB dire) (compt (savv (ADV dov')) (VERB è)))))) (PUNCT ,) (f (ibar (PRON lo) (VERB fa)) (compt (sa (ADJ ricco)) (sp (ADP per) (sn (sq (DET tutta)) (DET la) (NOUN vita))))))))) (PUNCT .)))"
2,è,essere,VERB,ccomp,dire,"(ROOT (f (ibar (VERB Mise)) (compt (savv (ADV fuori)) (sn (DET un) (NOUN bando) (f2 (PRON che) (cp (fs (SCONJ se) (f (sn (DET un) (NOUN astrologo)) (ibar (PRON gli) (VERB sa)) (compt (sv2 (VERB dire) (compt (savv (ADV dov')) (VERB è)))))) (PUNCT ,) (f (ibar (PRON lo) (VERB fa)) (compt (sa (ADJ ricco)) (sp (ADP per) (sn (sq (DET tutta)) (DET la) (NOUN vita))))))))) (PUNCT .)))"
