BEGIN,semantic_dissimilarity,word
98784,0.2148444652557373,principe
122598,0.7105252146720886,Tonno
158760,0.4303123354911804,Abissina
261830,0.4147100448608398,principe
285327,0.3323522210121155,Tonno
324576,0.4369746148586273,nuotava
363384,0.4926667809486389,verde
380583,0.3699779212474823,mare
422478,0.4426543116569519,muovendo
457317,0.4205926060676574,coda
601965,0.4614007472991943,Triglie
624897,0.3376324772834778,facevano
646947,0.3893176019191742,occhietto
715302,0.3226033747196197,guardava
822024,0.3978983461856842,improvviso
874503,0.4704965651035309,nuotando
947268,0.3959179520606994,fondo
975492,0.3154346346855163,mare
1024884,0.4555048942565918,principe
1047375,0.4491033852100372,Tonno
1065773,0.3759080171585083,vide
1094562,0.4111117422580719,pesciolina
1121022,0.4088690876960754,magra
1143954,0.3489357233047485,strana
1203930,0.4427888989448547,piacque
1329615,0.3874372243881225,seguì
1413846,0.377251386642456,parlò
1495431,0.4608103930950165,chiami
1565550,0.437383234500885,Abissina
1626408,0.4701560139656067,rispose
1663893,0.3925426304340362,guardandolo
1705347,0.3569778800010681,occhi
1730043,0.4263385236263275,sporgenti
1834119,0.4979534745216369,vieni
1903356,0.4937765598297119,disse
1931139,0.5164626836776733,principe
1954071,0.4377121925354004,Tonno
2012724,0.4548467397689819,Nuota
2049327,0.3895495235919952,alto
2104011,0.3985902667045593,vede
2124738,0.3912081718444824,cielo
2139732,0.3739063441753387,azzurro
2228814,0.4065366983413696,felici
2265417,0.4370304942131042,pesci
2290554,0.4217357337474823,acqua
2365083,0.4983686804771423,Abissina
2442258,0.4289168119430542,principe
2462103,0.4537433385848999,Tonno
2480184,0.4292525053024292,piaceva
2530017,0.4146776497364044,nuotò
2564415,0.3738581836223602,alto
2596167,0.388838917016983,abbandonando
2632770,0.372944176197052,acque
2646441,0.4057475924491882,scure
2762424,0.3352736234664917,aveva
2780505,0.3747826814651489,occhi
2808729,0.3250671327114105,grandi
2848860,0.3938129544258117,luce
2872674,0.3575272560119629,sole
2901339,0.3397005498409271,illuminava
2938383,0.3070045709609985,superficie
2988657,0.3939523100852966,dava
2999682,0.4255468547344208,dolore
3114783,0.4107285737991333,scappare
3188430,0.3887031078338623,ombra
3236940,0.3465138375759125,abituata
3329991,0.504741907119751,principe
3349836,0.4977249205112457,Tonno
3371004,0.3264223039150238,triste
3427893,0.3837193250656128,scendeva
3450384,0.4191604554653168,nuotando
3496248,0.3429959416389465,andare
3519621,0.3574291169643402,cercarla
3586653,0.3291943073272705,chiamava
3652362,0.3646131753921509,rispondeva
3702636,0.3917767107486725,volta
3760848,0.3498724102973938,è
3779811,0.3965106606483459,luce
3831849,0.3898733258247375,alto
3882564,0.4423639178276062,caro
3896676,0.4031474888324737,Tonno
3989727,0.3735046982765198,stare
4073076,0.3951135277748108,posso
4156425,0.4523813128471374,principe
4177152,0.4447165131568908,Tonno
4190382,0.4264090955257416,nuotava
4277700,0.359019935131073,triste
4367223,0.3450228273868561,giorno
4431168,0.3280946910381317,pensare
4458779,0.3311410546302795,ebbe
4477473,0.3351090550422668,idea
4546269,0.4093766212463379,Aspettò
4574493,0.4726442694664001,venisse
4600512,0.358307808637619,notte
4638879,0.3874343633651733,scese
4669087,0.4756956100463867,fondo
4687389,0.4344621896743774,mare
4708557,0.3854604661464691,chiamò
4739427,0.4734347462654114,Abissina
4825422,0.408269464969635,è
4826745,0.4380786418914795,bel
4839534,0.376202255487442,principe
4900392,0.3839833736419678,disse
4921560,0.4348942041397095,sbucando
4959927,0.3572878837585449,fondo
5033574,0.3512077033519745,salire
5071941,0.3432343602180481,disse
5128830,0.3920362591743469,Vedrai
5170725,0.394489586353302,luce
5192775,0.4046641588211059,notte
5220999,0.3784729838371277,farà
5256279,0.3736869990825653,occhi
5310963,0.3763575851917267,Ho
5317578,0.3851527571678161,paura
5372262,0.3841853737831116,diceva
5446350,0.3048518896102905,farà
5505003,0.4683053493499756,vedrai
5582619,0.4661266803741455,Abissina
5661558,0.3532879650592804,seguì
5686695,0.4632020592689514,principe
5708304,0.4228296279907226,Tonno
5741820,0.3983113765716553,alto
5786361,0.3990611433982849,mano
5802237,0.4023235440254211,mano
5819877,0.3804093599319458,saliva
5855598,0.3987606167793274,vedeva
5885586,0.3895778059959411,luce
5900580,0.4013856053352356,bianca
5989221,0.4652647376060486,dolorosa
6056253,0.3967039585113525,sole
6104763,0.3457663953304291,tenue
6171354,0.3965552449226379,Luna
6277635,0.5002763271331787,nuotarono
6303874,0.4241340756416321,felici
6349077,0.4136616587638855,acqua
6367158,0.4615894854068756,argentata
6431103,0.3977531790733337,notte
6515775,0.4371013045310974,mattino
6553701,0.3932724595069885,sole
6571782,0.360515683889389,spuntò
6635286,0.4672999382019043,Abissina
6662187,0.3338708281517029,tornò
6707610,0.3582539558410644,fondo
6741567,0.3691706657409668,dicendo
6810363,0.4172917008399963,notte
6826680,0.4507686495780945,bel
6835941,0.405135840177536,principe
6910029,0.3617159724235534,notti
6936930,0.403492659330368,verranno
