BEGIN,Zipf_freq,type_of_words,word
3924459.0,5.733978809,function,dal
3936807.0,4.536100847,content,vento
3994578.0,4.048858495,content,vola
4013982.0,2.741151583,function,e
4020156.0,4.048858495,content,vola
4039560.0,5.476165392,function,erano
4073076.0,1.889893234,content,velocissime
4158630.0,3.426451677,content,arrivarono
4185972.0,5.500638545,function,insieme
4210227.0,6.135386161,function,alla
4219047.0,4.705470983,content,luna
4256973.0,6.624997683,function,le
4266234.0,2.168646835,content,girarono
4285197.0,4.370618613,function,attorno
4339440.0,3.412337468,content,cominciarono
4376043.0,7.004335738,function,a
4380012.0,5.348123033,content,tornare
4408236.0,5.334578065,function,giù
4446603.0,5.921350175,function,sempre
4469094.0,1.93128592,content,vicinissime
4505256.0,6.640107629,function,l
4507902.0,6.801817508,function,una
4522014.0,5.81126753,function,all
4530393.0,5.649409994,function,altra
4574052.0,4.335186004,content,punta
4589928.0,7.232814475,function,di
4595661.0,4.637615696,content,naso
4615506.0,6.620271703,function,con
4624326.0,4.335186004,content,punta
4642407.0,7.232814475,function,di
4648581.0,4.637615696,content,naso
4686066.0,4.335186004,content,punta
4701942.0,7.232814475,function,di
4707234.0,3.460436174,content,manico
4736340.0,6.620271703,function,con
4751334.0,4.335186004,content,punta
4766769.0,7.232814475,function,di
4772061.0,3.460436174,content,manico
4846590.0,7.004335738,function,a
4854087.0,7.065833912,function,un
4856733.0,5.876302159,content,certo
4873050.0,5.322012335,content,punto
4913622.0,7.055331658,function,la
4922001.0,2.747225731,content,befana
4962573.0,4.70897631,content,guardando
4986387.0,7.055331658,function,la
4991238.0,3.543105748,content,rivale
5025195.0,3.892491215,content,vide
5041953.0,6.801817508,function,una
5053860.0,6.632253028,content,cosa
5071059.0,4.629939958,content,strana
5139414.0,5.502104716,function,sotto
5153085.0,6.584780852,function,i
5159700.0,4.980151287,content,capelli
5181309.0,5.632280537,content,aveva
5195421.0,6.108229139,function,dei
5205564.0,2.954351224,content,bulloni
5256720.0,5.949172583,function,delle
5273478.0,2.787520326,content,giunture
5312286.0,5.949172583,function,delle
5327280.0,2.588863239,content,cerniere
5350653.0,7.232814475,function,di
5356386.0,4.024707605,content,metallo
5413716.0,6.072527547,function,allora
5432238.0,3.420092933,content,capì
5483394.0,5.939281839,function,quella
5497506.0,6.283626334,function,era
5502357.0,6.801817508,function,una
