word,semantic_dissimilarity
Una,
goccia,0.5268335938453674
Una,0.42123234272003174
goccia,0.407975435256958
d',0.38191646337509155
acqua,0.3901471495628357
sale,0.45814061164855957
i,0.44781357049942017
gradini,0.4760901927947998
della,0.40185511112213135
scala,0.35297390818595886
Disteso,0.4258488714694977
nel,0.34093111753463745
letto,0.37493589520454407
ascolto,0.41052067279815674
il,0.3734372854232788
suo,0.3814001679420471
cammino,0.34815120697021484
Tic,0.4649389684200287
tic,0.3779112994670868
si,0.28828370571136475
ode,0.3805581033229828
a,0.3631401062011719
intermittenza,0.3756217360496521
Poi,0.36393827199935913
la,0.28984397649765015
goccia,0.4422284960746765
si,0.2730748653411865
ferma,0.3422573208808899
e,0.30080461502075195
magari,0.38920730352401733
per,0.3943498134613037
tutta,0.4049861431121826
la,0.33368563652038574
rimanente,0.41568422317504883
notte,0.3780338168144226
non,0.3191531300544739
si,0.2577776312828064
fa,0.39684391021728516
più,0.4143189787864685
viva,0.37167230248451233
Tuttavia,0.4032168388366699
sale,0.35279884934425354
Non,0.45913517475128174
siamo,0.4081544876098633
stati,0.46748656034469604
noi,0.43899184465408325
a,0.4706418514251709
segnalarla,0.37426263093948364
Bensì,0.46329575777053833
una,0.31746429204940796
servetta,0.42526283860206604
Se,0.4317775368690491
ne,0.5110716223716736
accorse,0.5068854093551636
una,0.3776412010192871
sera,0.4230366349220276
quando,0.36821502447128296
tutti,0.4119940996170044
erano,0.4180384874343872
già,0.4160006642341614
a,0.40385645627975464
dormire,0.35222911834716797
Dopo,0.3889605402946472
un,0.3684816360473633
po',0.4197292923927307
scese,0.3592880666255951
dal,0.38559895753860474
letto,0.41067540645599365
e,0.3156096339225769
corse,0.34219056367874146
a,0.3621894121170044
svegliare,0.4054946005344391
la,0.3066056966781616
padrona,0.4178679883480072
Signora,0.5116111636161804
sussurrò,0.3990004062652588
Cosa,0.4689810872077942
succede,0.42155376076698303
fece,0.3756871223449707
la,0.28024011850357056
padrona,0.34932225942611694
riscuotendosi,0.39060458540916443
C',0.4243820905685425
è,0.42827945947647095
una,0.38112783432006836
goccia,0.4528910517692566
signora,0.397756427526474
vien,0.4221652150154114
su,0.38711321353912354
per,0.37792664766311646
le,0.35172152519226074
scale,0.37451279163360596
Che,0.41724175214767456
cosa,0.39286085963249207
chiese,0.5207314491271973
