word,semantic_dissimilarity
Racconto,0.8163149952888489
per,0.4762115478515625
bambini,0.2795904278755188
cattivi,0.2420995831489563
Questa,0.3223443031311035
è,0.26920628547668457
la,0.29475510120391846
storia,0.20300865173339844
di,0.21302497386932373
una,0.20970749855041504
famiglia,0.19987767934799194
che,0.16338187456130981
non,0.19057601690292358
aveva,0.31460243463516235
un,0.3202037811279297
soldo,0.2850607931613922
Erano,0.26354748010635376
delle,0.28998053073883057
brave,0.4369749426841736
persone,0.2150702178478241
stringevano,0.2659931778907776
i,0.3552582859992981
denti,0.3207765221595764
e,0.2137734293937683
andavano,0.29840731620788574
avanti,0.2683805227279663
I,0.23540842533111572
due,0.21801847219467163
figli,0.2675444483757019
Mario,0.2695465683937073
e,0.2686871886253357
Luisina,0.31425803899765015
i,0.1958429217338562
giocattoli,0.23640483617782593
se,0.3462899327278137
li,0.3093968629837036
costruivano,0.2633182108402252
da,0.24031513929367065
soli,0.21703112125396729
Quando,0.2679121494293213
Natale,0.2810853123664856
si,0.2349081039428711
fece,0.35031330585479736
vicino,0.25786635279655457
la,0.20008766651153564
mamma,0.26711148023605347
di,0.23072737455368042
Mario,0.20887672901153564
e,0.272536039352417
Luisina,0.30883023142814636
parlò,0.3052150011062622
con,0.22785568237304688
suo,0.2089463472366333
marito,0.2578487694263458
Senti,0.39510273933410645
Giovanni,0.2722077965736389
i,0.18980306386947632
bambini,0.21049588918685913
non,0.16275864839553833
chiedono,0.29473596811294556
mai,0.2465342879295349
niente,0.23399242758750916
però,0.24480026960372925
la,0.2649078369140625
vigilia,0.3148847818374634
dobbiamo,0.22485482692718506
fare,0.1895861029624939
una,0.22218436002731323
bella,0.24453765153884888
cena,0.23603034019470215
di,0.29710274934768677
pesce,0.20953989028930664
Quei,0.48751163482666016
due,0.26418018341064453
ragazzini,0.2782042622566223
al,0.23418265581130981
massimo,0.212711364030838
conoscono,0.21504133939743042
il,0.16370445489883423
tonno,0.20135879516601562
in,0.24584627151489258
scatola,0.24429887533187866
Quindi,0.27554717659950256
per,0.29730796813964844
favore,0.2552788257598877
vendi,0.2537815570831299
questa,0.23171281814575195
Gli,0.38639014959335327
diede,0.372062623500824
una,0.2653666138648987
collanina,0.4209624230861664
con,0.22558778524398804
una,0.21695542335510254
medaglietta,0.3408418297767639
della,0.3251280188560486
