word,surprisal,entropy
L',0.0,
Apollonia,22.880634307861328,4.877314567565918
della,10.229456901550293,7.611992835998535
marmellata,26.228857040405273,5.281101703643799
A,6.0048747062683105,8.420562744140625
Sant',9.059154510498047,10.621700286865234
Antonio,6.183743476867676,5.5445709228515625
sul,7.298512935638428,7.699858665466309
Lago,4.6433329582214355,7.175184726715088
Maggiore,2.7787587642669678,2.7091598510742188
viveva,15.020208358764648,7.551124572753906
una,2.206392765045166,5.415012359619141
donnina,13.46915054321289,3.8591432571411133
tanto,9.827322959899902,7.806125640869141
brava,6.636172771453857,8.089509010314941
a,4.9181389808654785,3.7879624366760254
fare,4.258695125579834,8.861145973205566
la,3.1600849628448486,6.074517250061035
marmellata,8.40458869934082,3.064915657043457
così,9.955759048461914,6.3387131690979
brava,8.940886497497559,7.385921001434326
che,4.165633678436279,3.663043260574341
i,5.383427619934082,7.539971351623535
suoi,1.989345669746399,7.096959114074707
servigi,9.896293640136719,6.377182483673096
erano,3.352517604827881,6.085022926330566
richiesti,9.868000030517578,8.418961524963379
in,5.199445724487305,5.007197856903076
Valcuvia,22.34006118774414,4.162961006164551
in,3.600151777267456,7.4602484703063965
Valtravaglia,18.248254776000977,2.7046046257019043
in,0.8466524481773376,3.3842694759368896
Val,2.480250358581543,7.133315086364746
Dumentina,27.5731258392334,6.0182647705078125
e,2.0111517906188965,1.9955464601516724
in,0.6041520833969116,2.9373648166656494
Val,1.8858976364135742,6.1565656661987305
Poverina,27.174713134765625,2.9388577938079834
La,4.3682355880737305,5.94038200378418
gente,11.344780921936035,7.584470748901367
quand',14.86275577545166,4.619861602783203
era,0.38896405696868896,1.4988971948623657
la,7.262300491333008,6.672125816345215
stagione,10.00812816619873,6.507009983062744
arrivava,8.64396858215332,7.1691484451293945
da,4.994220733642578,5.207831382751465
tutte,5.919229984283447,8.569565773010254
le,0.09397166222333908,0.5266594886779785
valli,8.800273895263672,3.910510540008545
si,6.057863712310791,7.833479881286621
sedeva,8.789896011352539,4.317713260650635
sul,5.142160415649414,5.879196643829346
muricciolo,13.027861595153809,6.187880992889404
a,5.178816318511963,4.899308204650879
guardare,3.6920857429504395,7.973360061645508
il,3.0533745288848877,5.555153846740723
panorama,4.775214672088623,6.277304649353027
del,5.867911338806152,4.892530918121338
lago,4.279890060424805,5.172909259796143
coglieva,15.370766639709473,4.209094047546387
qualche,7.307520866394043,6.264554977416992
lampone,18.41580581665039,4.801518440246582
dai,7.547609806060791,6.258152961730957
cespugli,9.114133834838867,3.030686855316162
poi,4.001926898956299,8.136610984802246
chiamava,11.189889907836914,7.534370422363281
la,2.7345211505889893,5.951785087585449
donnina,6.168729305267334,2.7505252361297607
della,7.126216888427734,5.266791343688965
marmellata,6.378286838531494,2.861319065093994
Apollonia,24.7852840423584,3.9941630363464355
Che,8.080164909362793,9.613512992858887
c',4.8955607414245605,8.686744689941406
è,5.476107597351074,5.073315143585205
Me,10.900062561035156,9.495467185974121
la,3.563957691192627,7.162606239318848
fareste,18.282217025756836,8.257429122924805
una,8.759461402893066,5.77429723739624
marmellata,6.015755653381348,3.7807884216308594
di,5.852372169494629,5.197387218475342
mirtilli,37.05123519897461,7.385903358459473
Eccomi,19.42746353149414,6.9640984535217285
Mi,7.408477306365967,9.560043334960938
aiutereste,43.00069808959961,7.334944248199463
a,5.692626476287842,5.766969203948975
fare,7.956015110015869,5.8284101486206055
una,4.946488857269287,2.3322360515594482
buona,7.594326019287109,8.24366569519043
marmellata,7.448978900909424,3.1551411151885986
di,5.793365478515625,5.078771114349365
prugne,19.678869247436523,5.881927967071533
Subito,17.2760066986084,7.520097732543945
L',6.930356502532959,8.346404075622559
Apollonia,14.761924743652344,4.8531389236450195
quella,7.5400800704956055,8.509721755981445
donnina,12.355912208557129,3.3824751377105713
aveva,9.44014835357666,8.392776489257812
proprio,9.266460418701172,5.774538516998291
le,10.296847343444824,7.730420112609863
mani,9.408413887023926,6.178014755249023
d',9.946572303771973,6.5512800216674805
oro,15.137660026550293,6.752796173095703
e,5.051448345184326,8.475627899169922
faceva,9.064579963684082,7.969777584075928
le,6.328225612640381,4.2152934074401855
migliori,11.142728805541992,4.342713356018066
marmellate,20.429161071777344,2.316723108291626
del,10.417949676513672,4.7406158447265625
Varesotto,52.49481964111328,4.777327060699463
e,5.073422908782959,4.132884502410889
del,10.396821975708008,7.706363677978516
Canton,17.391658782958984,7.113317966461182
Ticino,19.668956756591797,3.601489305496216
Una,5.684722900390625,7.8907270431518555
volta,9.005940437316895,8.548375129699707
capitò,30.299707412719727,5.176026344299316
da,9.649991989135742,5.375911235809326
lei,7.974194526672363,7.383671760559082
una,7.060903072357178,5.3350372314453125
donnetta,16.160858154296875,2.908328056335449
di,6.7316789627075195,5.153088092803955
