TOKEN,BEGIN,ORT
237.0,5303245.5,difendersi
238.0,5370101.1,spiega
239.0,5389593.3,la
240.0,5394885.3,mamma
241.0,5415171.300000001,con
242.0,5423462.1,voce
243.0,5437353.600000001,tenera
244.0,5514087.6,Ora
245.0,5526788.4,che
246.0,5532962.4,siamo
247.0,5552719.2,qui
248.0,5573269.8,io
249.0,5583589.2,e
250.0,5591968.2,te
251.0,5623367.399999999,proviamo
252.0,5648901.3,a
253.0,5650577.1,fare
254.0,5681623.5,un
255.0,5692824.9,bel
256.0,5700454.2,respiro
257.0,5734543.5,profondo>
258.0,5819524.199999999,La
259.0,5826580.2,signora
260.0,5849909.100000001,Rabbia
261.0,5881131.9,Ã¨
262.0,5884748.100000001,uscita
263.0,5912001.899999999,completamente
264.0,5946620.399999999,dal
265.0,5955660.9,tuo
266.0,5966818.199999999,cuore
267.0,6014446.2,chiede
268.0,6027279.3,mamma
269.0,6046065.899999999,orsa
270.0,6105512.7,Flora
271.0,6118389.9,scuote
272.0,6134221.800000001,la
273.0,6140219.4,testa
274.0,6215806.800000001,La
275.0,6224406.3,mamma
276.0,6261141.6,allora
278.0,6284205.899999999,unâ€™
279.0,6294216.6,altra
280.0,6309431.1,idea
281.0,6334171.2,Ti
282.0,6385106.7,andrebbe
283.0,6406318.8,di
284.0,6411743.1,soffiare
285.0,6427971.899999999,soffiare
286.0,6445920.6,Tubo
287.0,6458092.2,della
288.0,6465589.2,Rabbia
289.0,6490858.5,perchÃ©
290.0,6502721.4,voli
291.0,6515863.2,via
292.0,6521728.5,lontano
293.0,6603622.199999999,Flora
294.0,6617469.600000001,fa
295.0,6625187.1,sÃ¬
296.0,6639210.9,con
297.0,6643709.100000001,la
298.0,6651470.7,testa
299.0,6692792.4,e
300.0,6695306.1,la
301.0,6700686.300000001,mamma
302.0,6716121.300000001,le
303.0,6722736.300000001,porge
304.0,6739273.800000001,il
305.0,6748887.6,tubo
306.0,6816669.300000001,L'
307.0,6818697.9,orsetta
308.0,6849479.7,soffia
309.0,6896313.899999999,e
310.0,6909499.8,poi
311.0,6921186.300000001,sorride
312.0,6990335.1,posa
313.0,7005770.1,il
314.0,7020808.2,tubo
315.0,7049208.600000001,e
316.0,7060498.2,torna
317.0,7079417.100000001,a
318.0,7082504.1,farsi
319.0,7104377.7,coccolare
320.0,7190460.9,Flora
321.0,7205454.9,si
322.0,7213084.2,sente
323.0,7230503.699999999,meglio
324.0,7259168.7,la
325.0,7265298.600000001,signora
326.0,7283644.2,Rabbia
327.0,7315969.5,Ã¨
328.0,7322143.5,volata
329.0,7341547.5,via
330.0,7407785.7,Cosa
331.0,7417487.7,ne
332.0,7426131.3,dici
333.0,7441345.8,di
334.0,7445358.9,un
335.0,7451929.800000001,buon
336.0,7461190.8,gelato
337.0,7479580.5,al
338.0,7482270.6,miele
339.0,7503879.600000001,per
340.0,7511376.6,merenda
341.0,7555917.600000001,propone
342.0,7576291.8,la
343.0,7581848.4,mamma
344.0,7642265.4,Flora
345.0,7658626.5,salta
346.0,7680367.8,di
347.0,7685483.4,gioia
348.0,7714324.8,ed
349.0,7721336.699999999,esce
350.0,7737830.100000001,dalla
351.0,7747179.3,sua
352.0,7756043.399999999,piccola
353.0,7778269.8,tana
354.0,7822590.300000001,Ora
355.0,7832733.3,sa
356.0,7848300.600000001,che
357.0,7857429.3,la
358.0,7860648.600000001,aspetta
359.0,7888740.300000001,un
360.0,7896193.199999999,bello
361.0,7909952.4,spuntino
362.0,7993654.2,Mamma
363.0,8029110.600000001,possiamo
364.0,8044545.6,invitare
365.0,8067609.899999999,Adele
366.0,8079031.800000001,a
367.0,8087013.899999999,mangiare
368.0,8110342.8,con
369.0,8118765.899999999,noi
370.0,8145622.8,domanda
371.0,8201938.500000001,Ottima
372.0,8221695.3,idea
373.0,8256357.899999999,risponde
374.0,8287668.9,mamma
375.0,8302133.7,orsa
376.0,8352584.100000001,Ma
377.0,8385306.3,assicurati
378.0,8416088.1,che
379.0,8418998.700000001,anche
380.0,8437741.2,lei
381.0,8446693.5,lo
382.0,8451632.7,voglia
383.0,8510109.3,Flora
384.0,8524485.9,va
385.0,8530721.036,a
386.0,8532776.7,cercare
387.0,8555488.200000001,la
388.0,8561397.6,sua
389.0,8569467.9,amica
390.0,8603160.3,e
391.0,8606644.200000001,le
