BEGIN,entropy,word
99666.0,11.897998809814451,paese
128331.0,8.605286598205566,cani
247842.0,1.166622281074524,era
267246.0,8.465743064880371,volta
321489.0,7.008479118347168,strano
343539.0,8.852559089660645,piccolo
366471.0,7.121644020080566,paese
434826.0,7.5813493728637695,composto
517293.0,5.288486957550049,casette
582561.0,2.8417108058929443,casetta
594468.0,4.254244804382324,aveva
622251.0,2.7258870601654053,giardinetto
665028.0,4.734709739685059,cancelletto
753228.0,2.2393949031829834,cancelletto
807912.0,8.650701522827148,cane
822906.0,4.028541564941406,abbaiava
856422.0,6.781647682189941,Facciamo
911547.0,4.04449987411499,esempio
979020.0,7.184520721435547,Fido
1004157.0,6.605339050292969,cane
1043847.0,3.993030548095703,casetta
1069425.0,6.229404449462891,numero
1121904.0,3.8833377361297607,proteggeva
1148364.0,3.793635129928589,gelosamente
1180998.0,4.0929789543151855,abitanti
1256409.0,7.78272819519043,farlo
1270521.0,9.138002395629885,dovere
1290366.0,3.7067346572875977,abbaiava
1328733.0,5.40608024597168,impegno
1370628.0,6.403285026550293,volta
1390914.0,6.4100189208984375,vedeva
1405467.0,6.025058746337891,passare
1466766.0,5.035468101501465,abitanti
1523214.0,2.508009910583496,altre
1577898.0,2.0016958713531494,casette
1629936.0,5.475351810455322,uomo
1650222.0,4.435722351074219,donna
1678005.0,4.33984375,bambino
1766205.0,6.794773101806641,facevano
1792224.0,5.425573825836182,altri
1838529.0,4.476256370544434,cani
1884834.0,7.479773044586182,avevano
1906884.0,8.722288131713867,gran
1925406.0,7.373719215393066,fare
1948338.0,4.103602409362793,abbaiare
1979649.0,7.165847301483154,giorno
2005227.0,1.711411476135254,notte
2059029.0,1.0399259328842163,era
2065203.0,5.851219654083252,sempre
2117682.0,5.828514099121094,strada
2193093.0,7.089552879333496,forza
2218671.0,5.283212661743164,sentir
2234106.0,2.409550189971924,abbaiare
2267622.0,5.6384100914001465,cani
2302020.0,7.261159896850586,abitanti
2341269.0,2.7529489994049072,paese
2384046.0,8.108701705932617,diventati
2429910.0,3.711434364318848,po'
2435643.0,5.496907711029053,sordi
2508849.0,3.503691434860229,parlavano
2529576.0,5.535528182983398,pochissimo
2608074.0,5.376345634460449,resto
2623950.0,7.506165504455566,non
2659671.0,6.935807228088379,mai
2670696.0,7.14724588394165,avuto
2687454.0,6.621891975402832,grandi
2700684.0,7.6681623458862305,cose
2724498.0,2.7274136543273926,dire
2746548.0,5.574172019958496,ascoltare
2826810.0,7.413486003875732,Pian
2842245.0,3.65368390083313,piano
2873556.0,6.235641479492188,starsene
2900898.0,6.507051467895508,sempre
2924712.0,4.449739456176758,zitti
2949849.0,5.782308101654053,immusoniti
2997918.0,5.157272815704346,disimpararono
3032316.0,7.122039318084717,anche
3063627.0,7.24742317199707,parlare
3143007.0,4.685587406158447,fine
3154914.0,5.391206741333008,capitò
3211803.0,4.779033184051514,padroni
3235617.0,4.391467571258545,casa
3277512.0,5.996185302734375,misero
3302649.0,3.686180353164673,abbaiare
3361302.0,4.074946403503418,cani
3434067.0,7.132607460021973,forse
3451266.0,3.231896162033081,credevano
3481695.0,6.189262390136719,parlare
3541671.0,4.928492546081543,aprivano
3565926.0,4.476038455963135,bocca
3605616.0,4.81801176071167,udiva
3629430.0,5.056138038635254,specie
3657654.0,8.895159721374512,bau
3670002.0,5.167638778686523,bau
3709251.0,7.999308109283447,faceva
3728214.0,8.406494140625,venire
3753351.0,7.791055202484131,pelle
3767904.0,6.742376804351807,oca
3841551.0,7.474861145019531,così
3857427.0,4.814912796020508,abbaiavano
3885210.0,3.9621431827545166,cani
3915639.0,4.492746829986572,abbaiavano
3950919.0,4.103122234344482,uomini
3981348.0,2.21848201751709,donne
4016628.0,3.116496086120605,abbaiavano
4051467.0,5.812387466430664,bambini
4088952.0,4.571042537689209,giocavano
4179357.0,4.090852737426758,villette
4215960.0,5.610721588134766,sembravano
4255650.0,9.685895919799805,diventate
4314303.0,4.88148307800293,canili
4383981.0,7.7390947341918945,Però
