BEGIN,Zipf_freq,type_of_words,word
2923389.0,4.862974884,content,fame
2939265.0,2.741151583,function,e
2940588.0,3.068870182,content,carestia
2980719.0,6.115086172,function,anche
2991303.0,6.797274494,function,in
2997477.0,3.906926574,content,conseguenza
3028788.0,6.267030034,function,della
3038490.0,5.181173263,content,guerra
3082149.0,7.232814475,function,di
3087441.0,5.609000686,function,questi
3100230.0,4.498526224,content,cavalli
3116547.0,7.259198169,function,non
3123603.0,6.166704172,function,c
3125808.0,7.249521761,function,è
3128013.0,5.783216598,content,stata
3141684.0,4.396668771,content,traccia
3182697.0,2.741151583,function,e
3187989.0,7.259198169,function,non
3194163.0,6.517126939,function,ci
3200337.0,6.768130002,function,sono
3207834.0,5.363540754,content,stati
3221064.0,5.368733783,function,nemmeno
3237822.0,3.242075752,content,terremoti
3266487.0,2.741151583,function,e
3269574.0,3.238198097,content,piogge
3284127.0,7.232814475,function,di
3288096.0,3.145165739,content,meteoriti
3329109.0,5.274174947,function,però
3338370.0,6.640107629,function,l
3340575.0,3.601700463,content,apocalisse
3367035.0,6.166704172,function,c
3369240.0,7.249521761,function,è
3371004.0,5.783216598,content,stata
3420837.0,7.249521761,function,è
3426129.0,4.74383468,content,arrivata
3442887.0,6.287788074,function,così
3477285.0,5.710022415,function,senza
3494043.0,3.045229272,content,trombe
3508596.0,6.41186379,function,del
3516534.0,4.261515162,content,giudizio
3535056.0,5.934389877,function,ad
3538143.0,1.844135744,content,annunciarla
3574305.0,6.769601972,function,mi
3578274.0,6.768130002,function,sono
3588417.0,4.250675924,content,svegliato
3607821.0,6.801817508,function,una
3617523.0,4.951684874,content,mattina
3640455.0,2.741151583,function,e
3645747.0,6.720262455,function,ho
3649275.0,4.997916744,content,scoperto
3682350.0,7.250456545,function,che
3686760.0,6.769601972,function,mi
3692934.0,4.910958432,content,faceva
3709251.0,5.670671245,function,male
3719835.0,6.306603623,function,tutto
3763053.0,5.722242451,function,ogni
3773637.0,4.407221117,content,movimento
3801420.0,6.115086172,function,anche
3810681.0,6.359323473,function,solo
3822588.0,3.446195735,content,piegare
3837582.0,7.065833912,function,un
3849048.0,4.477604199,content,dito
3869775.0,6.769601972,function,mi
3876831.0,4.910958432,content,faceva
3893589.0,5.670671245,function,male
3932838.0,4.604725747,function,persino
3951801.0,3.873068306,content,sbattere
3972528.0,6.624997683,function,le
3978261.0,3.399095757,content,palpebre
4015305.0,7.065833912,function,un
4022802.0,4.850934451,content,dolore
4036032.0,3.860704845,content,costante
4063374.0,7.250456545,function,che
4069107.0,7.259198169,function,non
4077927.0,6.615643201,function,ti
4081455.0,3.570228748,content,abbandona
4106151.0,6.144963021,function,mai
4152456.0,4.521134015,content,camminare
4171419.0,7.249521761,function,è
4174506.0,5.341756394,function,quasi
4188618.0,4.834869143,content,impossibile
4218606.0,5.710022415,function,senza
4233600.0,4.239559218,content,urlare
4285197.0,7.249521761,function,è
4288284.0,5.232335655,content,difficile
4312539.0,6.577812618,function,da
4318272.0,4.513968966,content,spiegare
4339440.0,6.662005813,function,ma
4342086.0,5.227971049,function,qualsiasi
4388832.0,4.719003945,content,processo
4410882.0,3.669489726,content,biologico
4439547.0,3.641172338,content,produce
4458510.0,4.850934451,content,dolore
4466007.0,5.167341994,function,pure
4478796.0,7.055331658,function,la
4480119.0,3.807398744,content,crescita
4540977.0,6.267030034,function,della
4552443.0,4.153055699,content,barba
4570524.0,6.108229139,function,dei
4577139.0,4.980151287,content,capelli
4593456.0,2.741151583,function,e
4597425.0,5.949172583,function,delle
4609773.0,4.074016589,content,unghie
4651227.0,3.257249155,content,digerire
4674159.0,5.853751865,function,poi
4681656.0,6.615643201,function,ti
4687389.0,5.246129492,content,lascia
4702824.0,4.561528831,function,praticamente
4731048.0,5.710022415,function,senza
4748467.0,4.149009079,content,fiato
4765887.0,4.092381551,content,cominci
4784850.0,7.004335738,function,a
4787496.0,4.641018306,content,piangere
4858938.0,7.249521761,function,è
4863348.0,6.562704781,function,come
4873932.0,6.583110863,function,se
4886280.0,2.480957841,content,dio
4909653.0,5.039789442,function,avesse
4924647.0,4.382094686,content,tolto
,7.004335738,function,a
4941405.0,6.110511188,function,tutti
4955517.0,6.227520191,function,gli
4959927.0,5.414185477,content,uomini
4978449.0,6.640107629,function,l
4980213.0,3.19092323,content,anestetico
5013288.0,7.250456545,function,che
5019462.0,6.615643201,function,ti
5025636.0,4.309022542,content,permette
5047245.0,7.232814475,function,di
5051655.0,5.168738256,content,vivere
5065326.0,5.710022415,function,senza
5081202.0,4.223944675,content,soffrire
5111190.0,2.741151583,function,e
5112513.0,7.232814475,function,di
5122656.0,3.738082351,content,divertirti
5159700.0,6.040342644,content,sai
5198508.0,5.939281839,function,quella
5211297.0,5.43885969,content,storia
5233788.0,7.250456545,function,che
5239080.0,6.553884221,function,si
5247900.0,3.318028028,content,raccontava
5273919.0,5.949172583,function,delle
5284944.0,2.728742325,content,endorfine
5323311.0,7.250456545,function,che
5343156.0,4.800464283,function,vengono
5360796.0,2.829412487,content,prodotte
5382405.0,5.733978809,function,dal
5389461.0,5.601168865,function,nostro
5402691.0,4.853869844,content,cervello
5424741.0,6.912435835,function,per
5430033.0,5.514886537,content,stare
5444586.0,5.752066371,function,meglio
5489127.0,6.720262455,function,ho
5494860.0,5.491551317,content,capito
5511177.0,7.250456545,function,che
5516028.0,7.055331658,function,la
5520879.0,4.713758544,content,carne
5553513.0,6.624997683,function,le
5563215.0,3.988882874,content,cellule
5587029.0,7.039560886,function,il
5594085.0,5.279342847,content,sangue
5608197.0,5.500840703,content,stesso
5634657.0,3.951345713,content,soffre
5663763.0,6.912435835,function,per
5675229.0,3.804236391,content,esistere
5725944.0,2.741151583,function,e
5733882.0,7.250456545,function,che
5744025.0,2.480957841,content,dio
5773572.0,2.741151583,function,e
5776659.0,5.238684702,content,pensare
5795181.0,7.250456545,function,che
5798709.0,6.536707533,function,io
5807529.0,7.259198169,function,non
5816790.0,4.979798346,content,credevo
5860890.0,5.632280537,function,aveva
5871033.0,2.876664969,content,infuso
5893083.0,3.729999329,content,sostanze
5919543.0,1.845098040,content,anestetiche
5955705.0,7.250456545,function,che
5973345.0,6.195882677,function,ora
5987898.0,6.517126939,function,ci
5991426.0,6.684018637,function,ha
5994513.0,4.382094686,content,tolto
6052284.0,6.195882677,function,ora
6062868.0,7.259198169,function,non
6074334.0,6.107911164,content,abbiamo
6094179.0,6.382555861,function,più
6102558.0,6.061505616,function,niente
6119757.0,7.250456545,function,che
6125931.0,6.517126939,function,ci
6131664.0,3.781987837,content,protegge
6153714.0,2.741151583,function,e
6159006.0,5.722242451,function,ogni
6171354.0,5.41963149,content,secondo
6195609.0,7.249521761,function,è
6196932.0,6.801817508,function,una
6201783.0,4.050061527,content,sofferenza
6232653.0,4.980680162,content,continua
6292188.0,6.180297396,content,detto
6310710.0,5.604315209,function,ciò
6326586.0,7.259198169,function,non
6330555.0,7.055331658,function,la
6337170.0,6.095946945,function,voglio
6353487.0,4.105001815,content,buttare
6369804.0,5.857922973,function,sul
6379506.0,3.493037607,content,drammatico
6404202.0,4.065115035,content,esagerato
6432867.0,5.904682499,function,forse
6447420.0,4.171608204,content,passerà
6499899.0,5.904682499,function,forse
6513129.0,7.039560886,function,il
6517539.0,5.779710181,content,padre
6526800.0,3.949835122,content,eterno
6545763.0,6.517126939,function,ci
6549291.0,2.120342156,content,ricoprirà
6571341.0,7.232814475,function,di
6576192.0,6.209842069,function,questa
6588981.0,4.773157094,content,droga
6600888.0,4.473998205,content,naturale
6625143.0,7.250456545,function,che
6631758.0,3.379851714,content,rendeva
6649398.0,7.055331658,function,la
6655131.0,5.86172088,content,vita
6666597.0,3.632618366,content,degna
6674976.0,7.232814475,function,di
6684237.0,6.225206681,function,essere
6700995.0,3.384047828,content,vissuta
6758766.0,5.876302159,function,certo
6773760.0,6.624997683,function,le
6778170.0,5.034871972,function,nostre
6794046.0,4.216024191,content,droghe
6807717.0,7.259198169,function,non
6816978.0,4.126430496,content,funzionano
6871221.0,6.135386161,function,alla
6885774.0,1.588863239,content,asl
6900768.0,2.561991092,content,distribuiscono
6937812.0,4.435694992,function,gratis
6956775.0,5.722242451,function,ogni
6966918.0,5.595585931,content,tipo
6976620.0,7.232814475,function,di
6981912.0,4.773157094,content,droga
6993378.0,2.741151583,function,e
6995142.0,3.19092323,content,anestetico
7029540.0,6.662005813,function,ma
7034391.0,7.259198169,function,non
7040565.0,4.851076944,content,servono
7059087.0,7.004335738,function,a
7063056.0,6.061505616,function,niente
7115094.0,7.250456545,function,che
7120827.0,5.190553923,content,strano
7164486.0,5.7664863,function,nessuno
7179921.0,5.632280537,function,aveva
7192269.0,5.344250192,content,pensato
,7.004335738,function,a
7214760.0,6.209842069,function,questa
7228872.0,4.222735501,content,punizione
7271649.0,6.283626334,function,era
7279146.0,7.055331658,function,la
7284438.0,4.510653724,content,peggiore
7300314.0,7.232814475,function,di
7308252.0,5.553895518,function,tutte
7327656.0,6.110511188,function,tutti
7367346.0,7.004335738,function,a
7374402.0,5.677509545,content,parlare
7422912.0,6.195882677,function,ora
7432173.0,5.274174947,function,però
7443198.0,5.167341994,function,pure
7454223.0,5.677509545,content,parlare
7474068.0,7.249521761,function,è
7475391.0,4.834869143,content,impossibile
7526988.0,6.624997683,function,le
7531398.0,3.821351105,content,corde
7545069.0,3.375614661,content,vocali
7560945.0,6.624997683,function,le
7566237.0,4.039727931,content,usiamo
7586082.0,3.36845973,function,oramai
7615629.0,6.359323473,function,solo
7630623.0,6.912435835,function,per
7637679.0,2.580089314,content,lamentarci
7716177.0,6.195882677,function,ora
7725438.0,5.901417159,function,devo
7735140.0,4.679755864,content,smettere
7758513.0,7.232814475,function,di
7765128.0,4.723868606,content,scrivere
7796880.0,7.055331658,function,la
7802613.0,5.382388218,content,mano
7811874.0,6.769601972,function,mi
7820253.0,6.553884221,function,si
7823781.0,6.089640186,function,sta
7834806.0,2.065984493,content,paralizzando
7870527.0,2.741151583,function,e
7871850.0,6.227520191,function,gli
7877142.0,5.297539031,content,occhi
7887726.0,6.769601972,function,mi
7896105.0,6.553884221,function,si
7899633.0,1.792983221,content,appannano
7964019.0,7.232814475,function,di
7970634.0,4.870227645,function,là
7977690.0,7.039560886,function,il
7984305.0,5.291431625,content,piccolo
8001945.0,3.891537777,content,ettore
8017380.0,7.259198169,function,non
8024656.0,3.81417252,content,smette
8038989.0,7.232814475,function,di
8045163.0,4.641018306,content,piangere
8063244.0,6.577812618,function,da
8067654.0,7.065833912,function,un
8074269.0,4.932035417,content,mese
8134686.0,5.251545534,content,spero
8149680.0,5.656885745,function,tanto
8164674.0,7.250456545,function,che
8167320.0,5.029342130,function,lì
8175699.0,6.577812618,function,da
8180991.0,5.827651777,function,voi
8188047.0,7.259198169,function,non
8196426.0,6.060398439,function,sia
8205246.0,6.287788074,function,così
8254638.0,6.583110863,function,se
