BEGIN,entropy,word
89523.0,6.363897800445557,Apocalisse
170226.0,1.479982852935791,Cara
182574.0,7.304069995880127,Franci
221823.0,6.621041774749756,scrivo
245196.0,7.790026664733887,sapere
267687.0,7.878875732421875,stai
300321.0,6.609895706176758,stanno
316638.0,7.837742805480957,Eris
358092.0,7.481664180755615,figli
369117.0,3.056152820587158,meravigliosi
460845.0,6.0507330894470215,sapere
512442.0,8.602195739746094,Australia
546399.0,6.566330432891846,arrivata
564480.0,3.324160099029541,Apocalisse
640332.0,7.855828762054443,Manu
653562.0,6.052299499511719,dice
682668.0,6.946090698242188,detto
716625.0,6.772181510925293,arrivata
815850.0,7.044528007507324,altro
829962.0,6.139052391052246,emisfero
869211.0,3.4583842754364014,Australia
899640.0,5.92206335067749,Paese
945504.0,8.504737854003906,vergine
983430.0,8.735811233520508,gente
1025766.0,7.242135524749756,commesso
1053108.0,5.383782386779785,stesso
1069425.0,2.476588249206543,numero
1087947.0,5.07857608795166,peccati
1273608.0,2.3366808891296387,Apocalisse
1301391.0,7.139115333557129,metà
1378125.0,4.634762287139893,televisione
1401057.0,6.941828727722168,dicevano
1438542.0,8.192207336425781,problema
1457505.0,5.164823532104492,globale
1491462.0,6.085817337036133,vatti
1506015.0,6.968418121337891,fidare
1560258.0,7.988340854644775,spero
1623762.0,6.079309940338135,arrivata
1659483.0,5.906698226928711,abbia
1668303.0,7.57021951675415,ragione
1683738.0,3.721804618835449,Manu
1745037.0,5.867672443389893,paio
1756944.0,1.041004657745361,anni
1780317.0,6.592211723327637,parlava
1823535.0,2.118809223175049,Apocalisse
1876014.0,5.498554229736328,arrivata
1917468.0,6.192623138427734,morti
2004345.0,6.806108951568604,esperti
2031246.0,6.151497840881348,televisione
2076669.0,5.882042407989502,avevano
2116800.0,7.3970184326171875,ricetta
2172366.0,5.221728324890137,successo
2243367.0,3.5782413482666016,concordavano
2290113.0,9.004251480102539,storia
2312604.0,7.256789207458496,cavalli
2330244.0,4.949598789215088,colorati
2402568.0,3.685030698776245,Anticristo
2447109.0,6.644628047943115,arrivato
2480625.0,8.221675872802734,cavallo
2496501.0,6.367777347564697,bianco
2518992.0,6.433928966522217,annunciare
2550523.0,6.932562828063965,fine
2570148.0,5.519733428955078,Terra
2666727.0,4.742424964904785,arrivato
2686131.0,7.792006492614746,cavallo
2702448.0,2.988105058670044,rosso
2740815.0,7.7876877784729,fatto
2752281.0,4.171623229980469,scoppiare
2784033.0,7.241673469543457,guerra
2799027.0,5.334867477416992,totale
2855916.0,3.658704042434693,cavallo
2873115.0,2.638491630554199,nero
2904426.0,6.132745265960693,portato
2923389.0,6.284994125366211,fame
2940588.0,4.01950740814209,carestia
2997477.0,6.397258758544922,conseguenza
3038490.0,5.628343105316162,guerra
3100230.0,7.14473819732666,cavalli
3128013.0,6.4677605628967285,stata
3141684.0,5.434151649475098,traccia
3207834.0,7.019589900970459,stati
3237822.0,3.7023472785949703,terremoti
3269574.0,8.242524147033691,piogge
3288096.0,3.5896944999694824,meteoriti
3340575.0,1.5671237707138062,Apocalisse
3371004.0,5.812745094299316,stata
3426129.0,5.96514368057251,arrivata
3494043.0,6.715785980224609,trombe
3516534.0,8.322988510131836,giudizio
3538143.0,4.269226551055908,annunciarla
3588417.0,4.731926441192627,svegliato
3617523.0,4.958787441253662,mattina
3649275.0,7.038564682006836,scoperto
3692934.0,5.571173667907715,faceva
3773637.0,6.110795497894287,movimento
3822588.0,5.95059871673584,piegare
3849048.0,6.433669090270996,dito
3876831.0,6.339768409729004,faceva
3951801.0,5.8276567459106445,sbattere
3978261.0,3.6332061290740967,palpebre
4022802.0,7.5016655921936035,dolore
4036032.0,7.679752349853516,costante
4081455.0,8.624621391296387,abbandona
4152456.0,6.608455657958984,Camminare
,6.15768575668335,impossibile
4233600.0,4.824892520904541,urlare
4288284.0,7.349905490875244,difficile
4318272.0,8.597311019897461,spiegare
4388832.0,6.167312145233154,processo
4410882.0,6.425123691558838,biologico
4439547.0,6.109269142150879,produce
4458510.0,5.78786563873291,dolore
4480119.0,8.91280746459961,crescita
4552443.0,6.571464538574219,barba
4577139.0,6.562228202819824,capelli
4609773.0,3.2438411712646484,unghie
4651227.0,7.548755645751953,Digerire
4687389.0,9.371280670166016,lascia
4748467.0,5.982954978942871,fiato
4765887.0,7.905882358551025,cominci
4787496.0,6.23101806640625,piangere
4886280.0,6.864385604858398,Dio
4924647.0,7.374044418334961,tolto
