word,surprisal,entropy
La,0.0,
fata,17.065610885620117,10.128811836242676
gattina,25.824796676635742,8.261700630187988
C',20.657630920410156,4.605044364929199
era,3.038038730621338,1.2392582893371582
una,2.6235897541046143,6.09917688369751
volta,3.5586867332458496,8.905599594116211
una,3.321831464767456,5.9994354248046875
bambina,4.868520736694336,8.445493698120117
che,2.303666114807129,6.542210102081299
si,3.490518569946289,7.614585876464844
chiamava,2.729153871536255,7.581589698791504
Lorenza,18.02886962890625,6.6239399909973145
e,3.1985199451446533,7.080996990203857
voleva,9.384225845336914,6.953742980957031
viaggiare,19.092151641845703,6.722497940063477
però,14.649955749511719,7.6497392654418945
aveva,7.429931163787842,4.8947014808654785
paura,4.376343250274658,6.657674789428711
di,0.9950759410858154,3.081814765930176
non,5.858901500701904,7.428774833679199
tornare,5.709753513336182,4.474362373352051
a,2.5923261642456055,5.090654373168945
casa,2.1907958984375,2.59360408782959
È,23.569761276245117,7.75520133972168
facile,10.026532173156738,7.138500690460205
partire,16.853071212768555,6.22683048248291
diceva,14.618799209594727,5.518529891967773
Ma,5.512024402618408,8.048447608947754
se,4.44075345993042,7.046728610992432
poi,5.941558837890625,7.062488555908203
dimentico,19.161109924316406,5.39933967590332
di,3.2509186267852783,6.52341365814209
tornare,12.464988708496094,6.119948387145996
O,8.83504581451416,4.75205659866333
se,7.005199432373047,7.858554840087891
dimentico,10.849883079528809,3.8420464992523193
dov',12.606749534606934,3.083527088165283
è,0.5643796920776367,1.6769392490386963
casa,9.265914916992188,7.357938766479492
mia,6.570241928100586,4.651797294616699
I,7.845744609832764,4.934787273406982
genitori,5.50034236907959,7.512301445007324
di,4.646305084228516,6.388906002044678
Lorenza,0.98388671875,2.2165539264678955
non,2.800210952758789,6.408762454986572
potevano,7.7368974685668945,5.502570152282715
mai,5.646028518676758,7.661132335662842
fare,7.072611331939697,7.425137996673584
viaggi,15.69999885559082,6.539636611938477
più,6.68317985534668,6.5575456619262695
lunghi,1.4516924619674683,5.413959980010986
di,4.306141376495361,4.234372615814209
cento,9.211189270019531,6.433193206787109
passi,11.977526664733887,4.016653060913086
perché,2.693981885910034,5.9795098304748535
appena,11.747901916503906,7.108450412750244
Lorenza,10.514939308166504,3.8272581100463867
non,5.124159336090088,6.3743977546691895
vedeva,7.837975025177002,6.875814914703369
più,4.790270805358887,5.186586380004883
la,2.835681676864624,4.762435436248779
casa,5.249237537384033,4.8101701736450195
voleva,8.610807418823242,6.861576557159424
tornare,3.0142266750335693,6.650550365447998
indietro,6.917479515075684,4.408621788024902
Era,6.530392646789551,5.278890609741211
una,3.8145155906677246,7.540079116821289
vita,6.858826160430908,5.614325046539307
impossibile,8.318264961242676,5.170494556427002
Un,7.013549327850342,5.700717926025391
giorno,1.8918341398239136,5.769713878631592
il,4.108503341674805,6.559333324432373
papà,4.014115333557129,5.129005432128906
e,5.840363025665283,6.407615661621094
la,2.2856690883636475,4.5074663162231445
mamma,0.7377040982246399,2.215810537338257
di,3.933499813079834,6.185893535614014
Lorenza,0.20762871205806732,0.7987887263298035
dissero,14.561074256896973,6.173539638519287
Basta,13.382155418395996,5.903334617614746
abbiamo,10.707853317260742,7.964898586273193
deciso,10.677562713623047,4.842194080352783
Noi,7.043679714202881,6.597416877746582
andremo,8.822710037231445,3.2481014728546143
a,1.4670214653015137,4.231152534484863
fare,4.242072582244873,7.048558235168457
un,2.5951590538024902,5.960945129394531
viaggio,10.154707908630371,5.117751598358154
se,5.683258056640625,8.19095516204834
tu,7.845985412597656,6.982849597930908
verrai,22.118284225463867,5.78662633895874
bene,17.763107299804688,7.422565460205078
se,4.577844619750977,8.153051376342773
no,5.626344203948975,5.939508438110352
resterai,26.596527099609375,5.070007801055908
qui,7.018847465515137,6.196840763092041
da,7.461594104766846,5.4617109298706055
sola,8.849796295166016,5.4958271980285645
Quella,11.886025428771973,5.523784637451172
notte,5.946120262145996,6.7550435066223145
Lorenza,4.844924449920654,3.8918159008026123
non,4.163686752319336,6.841125011444092
dormì,26.214111328125,4.2071332931518555
Voleva,7.906732559204102,3.989851474761963
partire,9.767005920410156,5.80454683303833
ma,1.4653838872909546,5.823149681091309
aveva,6.122287750244141,6.651488780975342
paura,0.6866879463195801,3.265284538269043
di,0.886554479598999,2.5381829738616943
non,1.8815455436706543,5.190417766571045
tornare,3.7984890937805176,4.376497268676758
Ma,9.402979850769043,5.161637306213379
anche,7.475318908691406,7.020851135253906
rimanere,17.92754364013672,5.8097100257873535
sola,5.283324718475342,6.620644569396973
non,4.26214599609375,5.241213798522949
le,9.11511516571045,5.087409019470215
piaceva,3.538264751434326,4.841206073760986
Che,7.911357402801514,6.293684959411621
fare,9.267532348632812,6.396151542663574
Stava,9.87392807006836,5.360415458679199
lì,11.948979377746582,6.764439105987549
a,3.912524700164795,5.375232696533203
girarsi,17.189624786376953,4.771698951721191
nel,7.645863056182861,6.500463008880615
letto,6.488602638244629,5.234921932220459
quando,6.441568851470947,7.79189920425415
sentì,13.5672607421875,4.374665260314941
grattare,27.0684757232666,5.650134563446045
sul,5.96476411819458,5.5806660652160645
cuscino,12.497325897216797,3.4173953533172607
aprì,22.207679748535156,7.097841262817383
gli,4.865877151489258,3.681675434112549
occhi,2.296469211578369,1.5787748098373413
e,1.4645359516143799,6.207334518432617
vide,4.1424455642700195,7.354901313781738
una,4.538721084594727,6.1805315017700195
fata,10.206588745117188,2.871279716491699
dalla,10.044453620910645,4.9955902099609375
forma,8.863334655761719,6.541496276855469
di,1.0263173580169678,4.842310905456543
gatto,10.090007781982422,6.229828834533691
Passavo,23.986618041992188,4.962161540985107
sopra,12.348310470581055,6.018670558929443
i,6.241296291351318,5.670449733734131
tetti,7.230583190917969,6.340222358703613
disse,1.443501591682434,5.823108673095703
la,4.975011348724365,3.9100985527038574
fata,6.535157203674316,2.3560094833374023
Ti,9.648210525512695,4.539773464202881
ho,6.222474098205566,8.300211906433105
sentito,6.480091094970703,7.653896331787109
sospirare,19.35624122619629,4.907423496246338
Come,7.016501426696777,6.370426654815674
mai,4.187150001525879,7.654604434967041
non,4.243418216705322,6.846342086791992
dormi,6.820698261260986,7.79034948348999
Lorenza,25.83241081237793,2.1687049865722656
a,13.340287208557129,5.460447311401367
bassa,14.294867515563965,8.045080184936523
voce,3.7146987915039062,5.561578750610352
raccontò,21.76583480834961,5.610672950744629
il,3.032418727874756,5.812323570251465
suo,1.5941195487976074,5.526087760925293
grave,14.994633674621582,6.972670555114746
problema,6.804133892059326,5.438718318939209
La,5.187045097351074,4.73578405380249
fata-gattina,24.017578125,5.421061038970947
disse,14.572444915771484,7.244886875152588
Se,6.6161789894104,4.421647071838379
mi,7.009941101074219,6.9530768394470215
gratti,25.937841415405273,7.166698455810547
un,6.425666809082031,7.343657493591309
po',2.9850213527679443,4.023957252502441
qui,7.756034851074219,6.8107452392578125
e,5.741216659545898,5.470391273498535
un,7.953370571136475,7.708919525146484
po',0.1332550197839737,0.47445905208587646
qui,3.0145316123962402,4.789943218231201
posso,9.29285717010498,4.893726825714111
aiutarti,14.34897232055664,4.714039325714111
Lorenza,12.436935424804688,4.142685413360596
la,7.933953762054443,6.268227577209473
grattò,26.044755935668945,6.631872177124023
pazientemente,21.630035400390625,3.6339962482452393
poi,6.261068344116211,6.141544342041016
la,4.574805736541748,7.538417816162109
fata-gattina,3.078346014022827,2.754396915435791
si,3.127856731414795,7.596621513366699
alzò,13.386348724365234,4.663457870483398
e,1.8811300992965698,7.016189098358154
sotto,13.002975463867188,7.063319206237793
di,6.123113632202148,4.958765029907227
lei,2.0266008377075195,2.806540012359619
Lorenza,15.293500900268555,3.2799994945526123
vide,6.950582981109619,7.048074722290039
un,2.996680736541748,5.6568217277526855
gomitolo,21.32491683959961,5.3341383934021
strano,15.637420654296875,5.412054061889648
era,4.795365333557129,7.121041297912598
piccolissimo,13.850451469421387,4.119106769561768
e,3.600264072418213,7.640174388885498
fatto,12.145898818969727,8.91159439086914
di,0.8413012623786926,4.559051036834717
un,5.960549831390381,8.04830265045166
filo,8.696331977844238,8.06267261505127
così,17.895854949951172,5.922247886657715
sottile,2.7594683170318604,7.054927349090576
che,1.1949106454849243,3.0634822845458984
a,7.634525775909424,6.888370513916016
tenerlo,12.532350540161133,6.197259426116943
