BEGIN,semantic_dissimilarity,word
97902.0,0.7062342166900635,re
105399.0,0.4938458502292633,Mida
210798.0,0.3552783727645874,re
217854.0,0.3395052552223205,Mida
279153.0,0.3519157767295837,grande
295470.0,0.4477750658988952,spendaccione
387198.0,0.3999847173690796,sere
403074.0,0.4096632003784179,dava
414981.0,0.3668306469917297,feste
445410.0,0.3607610762119293,balli
495684.0,0.4093435406684875,trovò
531405.0,0.4058021605014801,centesimo
622692.0,0.4291711747646332,Andò
645624.0,0.4687346816062927,mago
657531.0,0.4167346954345703,Apollo
706923.0,0.3654126226902008,raccontò
743526.0,0.4123167991638183,guai
794682.0,0.4150793552398681,Apollo
826434.0,0.3994613885879516,fece
858627.0,0.3920195400714874,incantesimo
997542.0,0.4844188094139099,mani
1009449.0,0.4633225202560425,toccano
1053549.0,0.4424158930778503,diventare
1091695.0,0.3902216851711273,oro
1177470.0,0.40236496925354,re
1181880.0,0.4670667052268982,Mida
1194669.0,0.3845936059951782,fece
1210986.0,0.4647131562232971,salto
1244061.0,0.4207744896411896,contentezza
1302714.0,0.3664878606796264,tornò
1327851.0,0.4023380279541015,corsa
1368864.0,0.3743217885494232,automobile
1439865.0,0.3730366230010986,non
1450449.0,0.4223344922065735,fece
1475145.0,0.4998700022697449,tempo
1498959.0,0.42783123254776,toccare
1533798.0,0.4014700651168823,maniglia
1565550.0,0.3962702751159668,portiera
1626849.0,0.4275099635124206,subito
1651986.0,0.335624635219574,macchina
1670949.0,0.4118685722351074,diventò
1712844.0,0.4169721007347107,oro
1741950.0,0.428763210773468,ruote
1760472.0,0.3672642707824707,oro
1786050.0,0.3478105664253235,vetri
1806777.0,0.3351920843124389,oro
1833678.0,0.4207074046134949,motore
1861461.0,0.3197121918201446,oro
1928493.0,0.4405557513236999,diventata
1952748.0,0.3346883654594421,oro
1965096.0,0.4500975608825683,anche
1981854.0,0.3521850407123565,benzina
2029482.0,0.3969413042068481,così
2046240.0,0.3478913903236389,macchina
2064321.0,0.3126800060272217,non
2074905.0,0.3687818646430969,camminava
2100483.0,0.3827444911003113,più
2125620.0,0.4392260611057281,bisognò
2146788.0,0.3523114323616028,far
2155167.0,0.3863527178764343,venire
2179422.0,0.362726092338562,carro
2212497.0,0.4167769849300384,buoi
2251305.0,0.3623461723327636,trasportarla
2393439.0,0.4524412155151367,casa
2437848.0,0.4389705061912536,re
2444904.0,0.5100282430648804,Mida
2454165.0,0.3452845215797424,andava
2485917.0,0.3738132119178772,giro
2511495.0,0.3703212738037109,stanze
2557800.0,0.3776670098304748,toccare
2582937.0,0.4322379827499389,più
2587788.0,0.336315393447876,cose
2612484.0,0.4190671443939209,poteva
2669103.0,0.3702712953090668,tavoli
2703771.0,0.348637580871582,armadi
2740815.0,0.3682525753974914,sedie
2816226.0,0.4272249937057495,diventava
2849742.0,0.3990360200405121,oro
2909718.0,0.4720163345336914,certo
2924712.0,0.3593713045120239,punto
2938383.0,0.3706327676773071,ebbe
2948085.0,0.3766179084777832,sete
2992626.0,0.4643127918243408,fece
3003651.0,0.4242112636566162,portare
3027024.0,0.4082103967666626,bicchiere
3047751.0,0.3603346347808838,acqua
3096702.0,0.33933025598526,bicchiere
3114342.0,0.4271925687789917,diventò
3140361.0,0.3698664903640747,oro
3164616.0,0.3102692365646362,acqua
3182256.0,0.4089630246162414,pure
3240909.0,0.4369169473648071,volle
3255245.0,0.3466747403144836,bere
3302649.0,0.4326430559158325,lasciarsi
3333078.0,0.4389902055263519,imboccare
3380706.0,0.4251607656478882,servo
3404079.0,0.4067358374595642,col
3412017.0,0.3671525120735168,cucchiaio
3513888.0,0.5545257329940796,Venne
3535938.0,0.443288505077362,ora
3555783.0,0.3396304845809936,andare
3579156.0,0.3533641695976257,tavola
3634708.0,0.3789862692356109,Toccava
3659638.0,0.3777043223381042,forchetta
3685878.0,0.3603816926479339,diventava
3713661.0,0.4290229082107544,oro
3766140.0,0.4136219024658203,invitati
3788190.0,0.3440448641777038,battevano
3818178.0,0.3795391917228699,mani
3838464.0,0.3678802251815796,dicevano
3881682.0,0.4230493009090423,Maestà
3929093.0,0.3775112926959991,toccatemi
3954447.0,0.400387167930603,bottoni
3983994.0,0.3276919424533844,giacca
4014775.0,0.3494073152542114,toccatemi
4056318.0,0.3775583803653717,ombrello
4122468.0,0.4462037086486816,re
4126878.0,0.4761688709259033,Mida
4144077.0,0.4135019779205322,faceva
4160835.0,0.3975829780101776,contenti
4234482.0,0.3868641853332519,prese
4255650.0,0.3446629643440246,pane
4278582.0,0.3329123854637146,mangiare
4324446.0,0.3953193426132202,anche
4357962.0,0.42292121052742,diventò
4380012.0,0.4264611601829529,oro
4439547.0,0.460873544216156,cavarsi
4461597.0,0.4350787997245788,appetito
4526424.0,0.3533283472061157,farsi
4544064.0,0.4029532074928283,imboccare
4582872.0,0.418638676404953,regina
4642407.0,0.4671274423599243,invitati
4676805.0,0.4167862236499786,nascondevano
4723992.0,0.3891535401344299,tavolo
4742514.0,0.3776678442955017,ridere
4794552.0,0.3900653123855591,re
4800285.0,0.4700120091438293,Mida
4817925.0,0.3793059587478637,arrabbiò
4876578.0,0.3871302008628845,acchiappò
4932144.0,0.3249183297157287,fece
4943610.0,0.4348640441894531,diventare
4968747.0,0.4381151795387268,oro
4982859.0,0.3955937623977661,naso
5015934.0,0.3779908418655395,così
5029164.0,0.3053680658340454,non
5049891.0,0.407131552696228,più
5057388.0,0.4002085924148559,soffiarselo
5161023.0,0.5221673846244812,Venne
5177340.0,0.4611905813217163,ora
5189688.0,0.341592788696289,andare
5206005.0,0.3564656376838684,dormire
5267304.0,0.4495553374290466,re
5273919.0,0.4252559840679168,Mida
5300820.0,0.3555886745452881,volerlo
5319783.0,0.4188222885131836,toccò
5336100.0,0.344676524400711,cuscino
5383097.0,0.3639504611492157,toccò
5400927.0,0.3883075714111328,lenzuola
5431356.0,0.3615553677082062,materasso
5496183.0,0.386577159166336,diventarono
5524848.0,0.4173983931541443,oro
5533227.0,0.4095944762229919,massiccio
5593644.0,0.3733830451965332,troppo
5609961.0,0.3272635340690613,duri
5630688.0,0.4234271049499511,dormirci
5735205.0,0.4878444373607635,toccò
5755932.0,0.4239786267280578,passare
5777541.0,0.3937534093856811,notte
5792535.0,0.413213312625885,seduto
5826051.0,0.341177761554718,poltrona
5893524.0,0.385450541973114,braccia
5908959.0,0.3411095142364502,alzate
5939388.0,0.3468537926673889,non
5947767.0,0.4369945526123047,toccare
6020091.0,0.4660170674324035,mattina
6039054.0,0.3647053241729736,dopo
6058458.0,0.3878282308578491,stanco
6078744.0,0.3976911604404449,morto
6147050.0,0.4856545925140381,Corse
6159447.0,0.3664623498916626,subito
6183702.0,0.5090042948722839,mago
6199137.0,0.4864953756332397,Apollo
6243016.0,0.4145519137382507,farsi
6263523.0,0.4525730907917022,disfare
6289542.0,0.407585859298706,incantesimo
6352605.0,0.4002715349197387,Apollo
6377301.0,0.3599620759487152,accontentò
6456681.0,0.42418372631073,Va
6463296.0,0.3925179243087768,bene
6494911.0,0.3755751550197601,disse
6543117.0,0.5237800478935242,sta'
6554583.0,0.4224878549575805,bene
6566049.0,0.3758125901222229,attento
6649398.0,0.4218106865882873,far
6657336.0,0.4658319354057312,passare
6679827.0,0.4652521908283233,incantesimo
6721722.0,0.3992186784744262,vogliono
6762735.0,0.3598988056182861,ore
6808158.0,0.3372222185134887,minuti
6827121.0,0.3826279938220978,giusti
6902973.0,0.3125563263893127,tempo
6965595.0,0.4596626758575439,toccherai
7007049.0,0.4173979163169861,diventerà
7036155.0,0.4659073650836944,cacca
7062174.0,0.4255538880825043,mucca
7131411.0,0.4544129371643066,re
7135821.0,0.4639710783958435,Mida
7157871.0,0.4445489645004272,andò
7189182.0,0.4293837249279022,consolato
