BEGIN,Zipf_freq,word
7901397.0,5.055196927,paese
7995771.0,2.502677091,astrologo
8049132.0,4.869305017,disse
8069418.0,5.011715611,re
8084853.0,3.787520326,contadino
8165556.0,2.03602127,sapermi
8184960.0,5.98002779,dire
8214948.0,4.58309238,chiamano
8281539.0,4.365419149,piatto
8352981.0,3.592323771,poveretto
8381646.0,3.843652926,bestie
8460144.0,4.053054609,viste
8516592.0,4.869305017,disse
8556282.0,4.486270378,mezza
8571717.0,4.979020863,voce
8627283.0,2.447158031,gàmbara
8655948.0,2.447158031,gàmbara
8701371.0,5.321449975,finito
8763993.0,5.223400963,bravo
8800155.0,4.869305017,disse
8822205.0,5.011715611,re
8862843.0,3.608394923,indovinato
8929147.0,5.545943498,nome
8957151.0,3.497348258,gamberi
9014481.0,5.615282093,grande
9032562.0,2.502677091,astrologo
9069165.0,5.533168209,mondo
