BEGIN,Zipf_freq,type_of_words,word
3961062.0,6.662005813,function,ma
3970764.0,7.259198169,content,non
3978702.0,6.583110863,function,se
3983112.0,6.201935117,function,ne
3987081.0,3.435200351,content,accorge
4006485.0,5.368733783,content,nemmeno
4026330.0,2.741151583,function,e
4027653.0,4.980680162,content,continua
,7.004335738,function,a
4058523.0,4.657568458,content,correre
4126878.0,6.801817508,function,una
4136139.0,5.481803335,content,buona
4147605.0,5.538711696,content,donna
4162599.0,6.655915487,function,lo
4167891.0,5.287068211,content,chiama
4202289.0,3.408407174,content,giovanni
4245066.0,3.408407174,content,giovanni
4272408.0,7.039560886,function,il
4275495.0,6.080045574,function,tuo
4281669.0,4.763330098,content,braccio
4331943.0,2.845098040,function,macché
4348701.0,7.259198169,content,non
4358844.0,4.833783283,content,sente
4420584.0,4.350189561,content,pazienza
4466889.0,5.609257672,content,dice
4481442.0,7.055331658,function,la
4485852.0,5.481803335,content,buona
4499082.0,5.538711696,content,donna
4509666.0,4.905755742,function,glielo
4526865.0,4.405767078,content,porterò
4564791.0,6.135386161,function,alla
4576698.0,6.022524285,function,sua
4584195.0,5.66327005,content,mamma
4635792.0,2.741151583,function,e
4641084.0,6.162363764,content,va
4654314.0,7.004335738,function,a
4662693.0,6.003702937,content,casa
4690476.0,6.267030034,function,della
4701501.0,5.66327005,content,mamma
4716054.0,7.232814475,function,di
4722228.0,3.408407174,content,giovanni
4798521.0,5.543221545,content,signora
4836006.0,6.720262455,content,ho
4843062.0,6.432892842,content,qui
4851882.0,7.039560886,function,il
4855410.0,4.763330098,content,braccio
4873491.0,6.41186379,function,del
4883193.0,6.051850878,function,suo
4891572.0,4.720866632,content,figliolo
4943169.0,2.630255924,function,oh
4952430.0,5.90824416,function,quel
4962132.0,3.747828499,content,distratto
5004909.0,6.536707533,function,io
5008437.0,7.259198169,content,non
5016816.0,6.216153292,content,so
5022108.0,6.382555861,content,più
5031369.0,6.632253028,function,cosa
5046804.0,6.231286207,content,fare
5056947.0,2.741151583,function,e
5060034.0,6.632253028,function,cosa
5076792.0,5.98002779,content,dire
5120010.0,5.518598828,function,eh
5129271.0,6.553884221,function,si
5140296.0,5.664052398,content,sa
5153967.0,6.584780852,function,i
5157495.0,5.274801932,content,bambini
5176017.0,6.768130002,function,sono
5185719.0,6.110511188,function,tutti
5198067.0,6.287788074,content,così
5248782.0,5.792396528,function,dopo
5261130.0,7.065833912,function,un
5265981.0,4.399095757,content,po
5273037.0,4.940504965,content,arriva
5288913.0,7.065833912,function,un
5294205.0,5.649409994,content,altra
5307876.0,4.940156957,content,brava
5320224.0,5.538711696,content,donna
5370057.0,5.543221545,content,signora
5386815.0,6.720262455,function,ho
5397840.0,5.550986231,content,trovato
5418126.0,7.065833912,function,un
5423859.0,4.568502651,content,piede
5454729.0,7.259198169,content,non
5463549.0,5.778314248,function,sarà
5473692.0,4.701535256,content,mica
5485158.0,6.41186379,function,del
5492655.0,6.051850878,function,suo
5501475.0,3.408407174,content,giovanni
5562333.0,6.662005813,function,ma
5572255.0,6.497825183,function,sì
5582619.0,7.250456545,function,che
5586588.0,7.249521761,function,è
5588352.0,6.051850878,function,suo
5617458.0,6.655915487,function,lo
5622309.0,4.046745135,content,riconosco
5647446.0,5.670836689,function,dalla
5656707.0,4.006168822,content,scarpa
5674347.0,5.300586131,content,col
5686254.0,4.52628082,content,buco
5732118.0,2.630255924,function,oh
5742261.0,7.250456545,function,che
5749758.0,5.577484615,content,figlio
5761224.0,3.747828499,content,distratto
5788566.0,6.769601972,function,mi
5794299.0,7.249521761,function,è
5798268.0,4.341526182,content,toccato
5848101.0,7.259198169,content,non
5854275.0,6.216153292,content,so
5862213.0,6.382555861,content,più
5870151.0,6.632253028,function,cosa
5883381.0,6.231286207,content,fare
5891760.0,2.741151583,function,e
5894406.0,6.632253028,function,cosa
5908959.0,5.98002779,content,dire
5953059.0,5.518598828,function,eh
5962761.0,6.553884221,function,si
5972904.0,5.664052398,content,sa
5990544.0,6.584780852,function,i
5993631.0,5.274801932,content,bambini
6012153.0,6.768130002,function,sono
6024060.0,6.110511188,function,tutti
6035526.0,6.287788074,content,così
6106968.0,5.792396528,function,dopo
6120639.0,7.065833912,function,un
6125931.0,5.925371002,function,altro
6137397.0,4.399095757,content,po
6146658.0,4.940504965,content,arriva
6162534.0,6.801817508,function,una
6169590.0,3.37703161,content,vecchietta
6224274.0,5.853751865,content,poi
6238386.0,7.039560886,function,il
6240150.0,2.939111257,content,garzone
6260436.0,6.41186379,function,del
6270138.0,3.074584665,content,fornaio
6316884.0,5.853751865,content,poi
6329232.0,7.065833912,function,un
6335847.0,1.93128592,content,tranviere
6393177.0,2.741151583,function,e
6401115.0,4.357797181,content,perfino
6424047.0,6.801817508,function,una
6428457.0,3.913145694,content,maestra
6452712.0,6.797274494,function,in
6458445.0,4.35184173,content,pensione
6511806.0,2.741151583,function,e
6518421.0,6.110511188,function,tutti
6532092.0,4.269198752,content,portano
6551496.0,5.728024202,function,qualche
6567372.0,3.413639701,content,pezzetto
6589422.0,7.232814475,function,di
6594714.0,3.408407174,content,giovanni
6635286.0,6.801817508,function,una
6646311.0,4.702405519,content,gamba
6674976.0,7.065833912,function,un
6682914.0,4.210869912,content,orecchio
6716430.0,7.039560886,function,il
6721722.0,4.637615696,content,naso
6795369.0,6.662005813,function,ma
6802866.0,6.517126939,function,ci
6809481.0,5.884100369,function,può
6814773.0,6.225206681,function,essere
6834618.0,7.065833912,function,un
6837264.0,5.540492133,content,ragazzo
6859314.0,6.382555861,content,più
6868134.0,3.747828499,content,distratto
6891066.0,6.41186379,function,del
6899004.0,6.336217551,function,mio
6949278.0,5.518598828,function,eh
6959421.0,5.543221545,content,signora
6994260.0,6.584780852,function,i
6997347.0,5.274801932,content,bambini
7016751.0,6.768130002,function,sono
7024689.0,6.110511188,function,tutti
7036155.0,6.287788074,content,così
7055118.0,4.939266335,content,finalmente
7119063.0,4.940504965,content,arriva
7131411.0,3.408407174,content,giovanni
7163163.0,2.480957841,content,saltellando
7195356.0,6.000068652,function,su
7204617.0,6.801817508,function,una
7209468.0,4.702405519,content,gamba
7224903.0,5.290759195,content,sola
7252686.0,5.710022415,function,senza
7268562.0,6.382555861,content,più
7275618.0,4.40483924,content,orecchie
7304724.0,4.735239372,content,né
7312662.0,4.535413749,content,braccia
7347942.0,6.662005813,function,ma
7349706.0,3.71983993,content,allegro
7376607.0,6.562704781,function,come
7386750.0,5.921350175,content,sempre
7439670.0,3.71983993,content,allegro
7466130.0,6.562704781,function,come
7478919.0,7.065833912,function,un
7485975.0,3.137866501,content,passero
7538454.0,2.741151583,function,e
7542423.0,7.055331658,function,la
7547715.0,6.022524285,function,sua
7555653.0,5.66327005,content,mamma
7567560.0,2.88111931,content,scuote
7583877.0,7.055331658,function,la
7590492.0,5.506904066,content,testa
7626213.0,6.655915487,function,lo
7631064.0,3.222331694,content,rimette
7646940.0,7.004335738,function,a
