BEGIN;surprisal;type_of_words;word
4522014;8.487753868;function;all'
4530393;1.321057796;function;altra
4574052;13.89884281;content;punta
4589928;4.799322605;function;di
4595661;9.754434586;content;naso
4615506;6.499926567;function;con
4624326;10.00469971;content;punta
4642407;1.063225269;function;di
4648581;5.474778175;content;naso
4686066;10.57243347;content;punta
4701942;0.367945403;function;di
4707234;14.29499626;content;manico
4736340;8.281932831;function;con
4751334;2.025643826;content;punta
4766769;0.152369797;function;di
4772061;5.849009514;content;manico
4849236;6.512506962;function;A
4854087;6.41611433;function;un
4856733;3.912673473;content;certo
4873050;0.273161292;content;punto
4913622;3.449922085;function;la
4922001;4.477475643;content;Befana
4962573;7.379447937;content;guardando
4986387;2.87476635;function;la
4991238;15.80082989;content;rivale
5025195;3.266803503;content;vide
5041953;4.391427994;function;una
5053860;5.869361401;content;cosa
5071059;6.672194481;content;strana
5139414;11.01883793;function;sotto
5155731;4.598591328;function;i
5159700;2.496579647;content;capelli
5181309;8.623939514;content;aveva
5195421;7.149128914;function;dei
5205564;16.01726723;content;bulloni
5256720;8.40422821;function;delle
5273478;18.24637222;content;giunture
5312286;7.295352936;function;delle
5327280;14.75394917;content;cerniere
5350653;6.250817299;function;di
5356386;10.60163879;content;metallo
5417244;7.360571384;function;Allora
5432238;22.21645737;content;capì
5483394;8.480768204;function;quella
5497506;3.414224625;function;era
5502357;2.929965496;function;una
5509413;34.54335022;content;Befana-robot
5576445;15.08667183;content;inventata
5609520;1.825698137;function;da
5615253;8.093069077;function;qualche
5630247;23.85107422;content;malandrino
5674347;6.033750534;function;per
5682726;10.44476318;function;qualche
5695515;14.49751377;content;scopo
5718447;16.78455925;content;dannoso
5800914;6.15829134;function;Allora
5814585;16.98230934;content;gridò
5856480;8.382517815;function;Il
5863536;14.02990437;content;traguardo
5882940;2.063829184;function;è
5885586;22.39030838;function;laggiù
5932773;4.512439728;function;la
5939388;13.88043785;content;punta
5952618;0.3993662;function;di
5958351;10.87582588;function;quella
5968494;13.59544086;content;montagna
5989221;24.58083153;content;rossastra
6020973;3.240839958;function;la
6026706;16.87079811;content;vedi
6088446;11.89627266;function;E
6092856;20.81925774;content;puntò
6113142;5.602348328;function;verso
6125931;2.622946262;function;il
6131664;9.434249878;content;Monte
6150627;17.43585968;content;Calamita
6192522;11.23490143;function;tutto
6205752;20.95862389;content;magnetico
6272343;2.954109192;function;e
6274107;11.77473259;function;quando
6289101;6.689101696;function;fu
6298803;5.512277603;function;a
6301890;9.753340721;content;mezzo
6318648;7.955968857;content;chilometro
6355692;19.81945229;content;rallentò
6418314;5.958637714;function;mentre
6434631;4.336496353;function;l'
6437718;3.516613483;content;altra
6451830;5.711322308;content;Befana
6472998;24.48415375;content;strillava
6519744;16.87425423;content;Arrivo
6536061;15.91321564;function;prima
6554583;9.648365974;content;Arrivo
6570459;7.661521912;function;prima
6620733;4.454456329;function;E
6622056;11.54774857;function;infatti
6648075;13.69799042;content;arrivò
6671448;11.00031662;function;prima
6715989;7.392831802;function;prima
6730101;6.835739613;function;ancora
6751710;3.348401546;function;di
6754797;8.535485268;function;quando
6772878;15.71401691;content;pensava
