word,semantic_dissimilarity
L',0.7358095645904541
incantesimo,0.5213503837585449
della,0.37261611223220825
volpe,0.44200778007507324
C',0.46391627192497253
è,0.45454782247543335
stato,0.4135274887084961
un,0.31584233045578003
periodo,0.35215669870376587
della,0.4525502920150757
mia,0.3457637429237366
vita,0.34500712156295776
nel,0.3562241196632385
quale,0.3222165107727051
ho,0.282797634601593
seguito,0.3852774500846863
mio,0.32050013542175293
padre,0.41267257928848267
quando,0.31684231758117676
andava,0.36858004331588745
a,0.42650431394577026
caccia,0.48593223094940186
coi,0.44901537895202637
suoi,0.3521694540977478
amici,0.35796213150024414
Non,0.35398757457733154
avevo,0.3510156273841858
un,0.3756190538406372
fucile,0.44791752099990845
mio,0.3516450822353363
ogni,0.35416609048843384
tanto,0.3751041293144226
qualcuno,0.2726476788520813
ne,0.41321682929992676
portava,0.2955021858215332
uno,0.29281342029571533
in,0.3915536403656006
più,0.37528496980667114
e,0.3007820248603821
me,0.3823150396347046
lo,0.3334682583808899
passava,0.3118510842323303
Io,0.38395386934280396
lo,0.25305408239364624
prendevo,0.31565532088279724
ringraziavo,0.3334779143333435
e,0.26350367069244385
mi,0.3190540075302124
ripromettevo,0.3432449400424957
di,0.28235960006713867
fare,0.33934104442596436
in,0.4705343246459961
modo,0.45972973108291626
di,0.2544138431549072
non,0.3382232189178467
tirare,0.36836743354797363
un,0.33553922176361084
colpo,0.377151221036911
Non,0.34268301725387573
mi,0.3405686020851135
piaceva,0.40837591886520386
ammazzare,0.3831641972064972
Mi,0.3193686008453369
piaceva,0.309542715549469
sparare,0.38543039560317993
a,0.44373583793640137
bottiglie,0.45052552223205566
vuote,0.45797890424728394
o,0.37669700384140015
barattoli,0.37025773525238037
arrugginiti,0.4039808213710785
Avevo,0.39305028319358826
a,0.3904741406440735
detta,0.49565285444259644
di,0.4013022780418396
tutti,0.3577248752117157
una,0.3337215185165405
buona,0.391534686088562
mira,0.38363468647003174
Cos',0.46616053581237793
era,0.46127891540527344
allora,0.4069412350654602
che,0.41203176975250244
mi,0.3775343894958496
spingeva,0.3727283775806427
ad,0.3676353693008423
alzarmi,0.4277845025062561
dal,0.437341570854187
letto,0.4427034258842468
quando,0.3868390917778015
