text_id,num_tokens,num_sentences,num_types,TTR,TTR_lemmas,avg_sentence_length,Zipf_mean,percent_rare_words,Gulpease_index,num_function_words,num_content_words,num_verbs,num_adjectives,num_nouns,top_lemmas,top_bigrams
01_37,353,22,204,0.578,0.439,20.05,4.95,16.86,59.42,175 (49.6%),176 (49.9%),58 (16.4%),17 (4.8%),101 (28.6%),"['il (7.9%)', 'e (4.5%)', 'di (3.4%)', 'albero (2.8%)', 'a (2.8%)', 'uno (2.5%)', 'in (2.3%)', 'essere (2.0%)', 'foresta (1.7%)', 'che (1.7%)', 'quello (1.7%)', 'da (1.7%)', 'boscaiolo (1.7%)', 'per (1.7%)', 'fare (1.4%)', 'si (1.1%)', 'con (1.1%)', 'Re (1.1%)', 'guardare (1.1%)', 'come (1.1%)']","['gli alberi (1.1%)', 'i boscaioli (0.9%)', 'il re (0.6%)', 'c era (0.6%)', 'i rami (0.6%)', 'la rugiada (0.6%)', 'mille boscaioli (0.6%)', 'nella foresta (0.6%)', 'le chiome (0.6%)', 'foresta e (0.6%)']"
02_37,367,38,187,0.51,0.42,12.13,5.33,11.26,77.07,195 (53.1%),171 (46.6%),74 (20.2%),19 (5.2%),78 (21.3%),"['il (7.4%)', 'di (4.6%)', 'e (3.5%)', 'uno (3.3%)', 'Lorenza (3.0%)', 'essere (2.5%)', 'a (2.5%)', 'fata (2.2%)', 'non (2.2%)', 'avere (1.9%)', 'dire (1.9%)', 'se (1.9%)', 'filo (1.9%)', 'che (1.6%)', 'si (1.6%)', 'fare (1.6%)', 'tornare (1.4%)', 'casa (1.4%)', 'potere (1.4%)', 'partire (1.1%)']","['la fata (1.9%)', 'fata gattina (1.4%)', 'il filo (1.1%)', 'lorenza non (0.8%)', 'il gomitolo (0.8%)', 'era una (0.5%)', 'aveva paura (0.5%)', 'paura di (0.5%)', 'di non (0.5%)', 'non tornare (0.5%)']"
03_37,381,24,220,0.577,0.462,19.71,4.96,16.44,61.07,184 (48.3%),195 (51.2%),67 (17.6%),24 (6.3%),104 (27.3%),"['il (7.6%)', 'e (6.0%)', 'di (3.9%)', 'a (3.9%)', 'essere (2.6%)', 'isola (2.6%)', 'pirata (2.4%)', 'uno (2.4%)', 'tesoro (2.4%)', 'nave (1.6%)', 'che (1.3%)', 'fare (1.3%)', 'quello (1.3%)', 'trovare (1.3%)', 'in (1.3%)', 'mare (1.0%)', 'avere (1.0%)', 'ma (1.0%)', 'su (1.0%)', 'scavare (1.0%)']","['i pirati (2.1%)', 'un isola (1.1%)', 'il tesoro (1.1%)', 'tonno feroce (0.8%)', 'era una (0.5%)', 'una nave (0.5%)', 'gigi trinciasquali (0.5%)', 'la nave (0.5%)', 'il capitano (0.5%)', 'gridarono i (0.5%)']"
04_37,346,29,186,0.538,0.405,15.28,5.24,11.47,69.17,190 (54.9%),154 (44.5%),74 (21.4%),24 (6.9%),56 (16.2%),"['il (6.6%)', 'e (4.6%)', 'ombrellino (3.2%)', 'uno (3.2%)', 'essere (2.9%)', 'in (2.9%)', 'non (2.9%)', 'ma (2.3%)', 'aprire (2.3%)', 'a (2.3%)', 'piccione (1.7%)', 'lo (1.7%)', 'perché (1.4%)', 'di (1.4%)', 'paese (1.2%)', 'piovere (1.2%)', 'che (1.2%)', 'si (1.2%)', 'triste (1.2%)', 'fare (1.2%)']","['l ombrellino (2.3%)', 'il piccione (1.2%)', 'disse il (0.9%)', 'un paese (0.6%)', 'in quel (0.6%)', 'quel paese (0.6%)', 'ombrellino era (0.6%)', 'piccione viaggiatore (0.6%)', 'triste perché (0.6%)', 'perché non (0.6%)']"
05_37,381,25,210,0.551,0.425,18.8,5.13,15.43,64.75,216 (56.7%),164 (43.0%),63 (16.5%),35 (9.2%),66 (17.3%),"['il (5.8%)', 'e (3.9%)', 'uno (3.9%)', 'essere (3.7%)', 'si (3.4%)', 'uovo (3.1%)', 'di (2.9%)', 'non (2.9%)', 'come (2.4%)', 'coo (2.4%)', 'che (2.1%)', 'covare (1.8%)', 'pulcino (1.8%)', 'a (1.6%)', 'nero (1.3%)', 'fare (1.3%)', 'cosa (1.3%)', 'ma (1.3%)', 'lo (1.3%)', 'bianco (1.0%)']","['l uovo (1.1%)', 'un pulcino (1.1%)', 'non si (0.8%)', 'non solo (0.8%)', 'un uovo (0.5%)', 'le altre (0.5%)', 'uovo si (0.5%)', 'uscì un (0.5%)', 'uovo nero (0.5%)', 'la chioccia (0.5%)']"
06_37,379,40,174,0.459,0.372,12.68,5.3,9.04,74.8,188 (49.6%),181 (47.8%),82 (21.6%),28 (7.4%),71 (18.7%),"['il (7.4%)', 'dire (5.3%)', 'e (4.2%)', 'uno (3.4%)', 'Cappello (3.2%)', 'di (2.4%)', 'avere (2.4%)', 'essere (1.8%)', 'mela (1.8%)', 'che (1.8%)', 'parte (1.8%)', 'non (1.8%)', 'a (1.8%)', 'cappello (1.6%)', 'stare (1.6%)', 'tre (1.3%)', 'Rosso (1.3%)', 'in (1.3%)', 'Azzurro (1.3%)', 'fare (1.3%)']","['disse cappello (3.4%)', 'cappello rosso (1.6%)', 'cappello azzurro (1.6%)', 'cappello giallo (1.3%)', 'la mela (1.1%)', 'uno col (0.8%)', 'col cappello (0.8%)', 'e poi (0.8%)', 'tre affamati (0.5%)', 'bella mela (0.5%)']"
07_37,367,34,186,0.507,0.417,13.76,5.35,11.99,73.63,205 (55.9%),158 (43.1%),61 (16.6%),19 (5.2%),78 (21.3%),"['il (8.7%)', 'di (4.6%)', 'essere (4.4%)', 'a (4.1%)', 'Befana (3.3%)', 'e (2.7%)', 'uno (2.7%)', 'che (1.9%)', 'volare (1.6%)', 'vedere (1.6%)', 'non (1.4%)', 'avere (1.4%)', 'altro (1.4%)', 'punta (1.4%)', 'scopa (1.1%)', 'quello (1.1%)', 'io (1.1%)', 'dire (1.1%)', 'anche (1.1%)', 'per (1.1%)']","['la befana (2.7%)', 'punta di (1.4%)', 'l altra (1.1%)', 'non vedi (0.8%)', 'vedi che (0.8%)', 'anche io (0.8%)', 'le due (0.5%)', 'due befane (0.5%)', 'a cavallo (0.5%)', 'vola e (0.5%)']"
08_37,318,26,171,0.538,0.415,15.58,5.22,9.87,69.53,168 (52.8%),149 (46.9%),59 (18.6%),20 (6.3%),70 (22.0%),"['il (9.1%)', 'principe (3.1%)', 'e (2.8%)', 'a (2.8%)', 'Tonno (2.5%)', 'nuotare (2.2%)', 'in (2.2%)', 'non (2.2%)', 'che (2.2%)', 'Abissina (1.9%)', 'di (1.9%)', 'uno (1.9%)', 'essere (1.9%)', 'verso (1.6%)', 'vedere (1.6%)', 'dire (1.6%)', 'notte (1.6%)', 'le (1.3%)', 'fondo (1.3%)', 'lei (1.3%)']","['il principe (2.5%)', 'principe tonno (2.5%)', 'verso l (0.9%)', 'l alto (0.9%)', 'tonno nuotava (0.6%)', 'tutte le (0.6%)', 'verso il (0.6%)', 'il fondo (0.6%)', 'gli occhi (0.6%)', 'nell acqua (0.6%)']"
09_37,396,36,185,0.467,0.371,14.08,5.58,7.16,76.6,223 (56.3%),172 (43.4%),84 (21.2%),13 (3.3%),75 (18.9%),"['il (10.4%)', 'uno (3.8%)', 'bambino (3.8%)', 'e (3.8%)', 'a (3.5%)', 'essere (2.5%)', 'palla (2.5%)', 'dire (2.5%)', 'nome (2.3%)', 'che (2.3%)', 'avere (2.3%)', 'di (2.0%)', 'non (2.0%)', 'dare (1.8%)', 'mamma (1.8%)', 'andare (1.5%)', 'lo (1.5%)', 'si (1.3%)', 'suo (1.0%)', 'nessuno (1.0%)']","['la bambina (3.0%)', 'la palla (2.3%)', 'la mamma (1.3%)', 'disse la (1.0%)', 'c era (0.8%)', 'ce l (0.8%)', 'una bambina (0.5%)', 'un nome (0.5%)', 'andò a (0.5%)', 'non c (0.5%)']"
10_37,354,28,193,0.545,0.446,15.96,5.15,13.39,68.52,194 (54.8%),160 (45.2%),58 (16.4%),32 (9.0%),70 (19.8%),"['e (6.5%)', 'il (4.8%)', 'uno (4.8%)', 'forchetta (3.1%)', 'in (3.1%)', 'si (2.5%)', 'di (2.3%)', 'essere (2.0%)', 'non (2.0%)', 'bello (1.4%)', 'ma (1.4%)', 'cassetto (1.4%)', 'a (1.4%)', 'cucchiaio (1.4%)', 'arrivare (1.1%)', 'dire (1.1%)', 'mi (1.1%)', 'se (1.1%)', 'vedere (1.1%)', 'perché (1.1%)']","['la forchetta (1.4%)', 'nel cassetto (1.1%)', 'un po (0.8%)', 'le posate (0.6%)', 'posate sposate (0.6%)', 'e la (0.6%)', 'il cavatappi (0.6%)', 'guardami un (0.6%)', 'po io (0.6%)', 'forchetta e (0.6%)']"
