TOKEN;BEGIN;ORT
341;5952618;verso
342;5968494;di
343;5973786;me
344;5990544;lento
345;6018327;quasi
346;6036849;indolente
347;6070806;pareva
348;6084596;assorto
349;6107850;nei
350;6116229;suoi
351;6124167;pensieri
352;6188112;Lo
353;6193845;guardai
354;6211926;avvicinarsi
355;6241032;e
356;6242355;cominciai
357;6265304;a
358;6269697;domandarmi
359;6298362;che
360;6303654;razza
361;6321735;fosse
362;6364071;non
363;6368040;ne
364;6373773;avevo
365;6386121;mai
366;6395823;visto
367;6414746;uno
368;6426252;con
369;6433749;una
370;6442569;coda
371;6451830;cos√¨
372;6471234;folta
373;6523713;Poi
374;6538707;il
375;6540471;cane
376;6570459;a
377;6576192;pochi
378;6587658;passi
379;6603975;da
380;6608826;me
381;6631317;venne
382;6648286;investito
383;6674535;in
384;6682032;pieno
385;6695262;dalla
386;6706287;luce
387;6761853;Fu
388;6768468;un
389;6775083;attimo
390;6815655;e
391;6822711;violentemente
392;6858445;il
393;6862842;suo
394;6872544;pelame
395;6889743;divamp√≤
396;6913557;di
397;6917967;un
398;6923700;rosso
399;6938253;rifulgente
400;7001757;Rimasi
401;7020279;affascinato
402;;a
403;7052913;contemplarlo
404;7142436;Ma
405;7149615;anche
406;7160517;lui
407;7170219;si
408;7175070;ferm√≤
409;7191387;d‚Äô
410;7193151;un
411;7199766;tratto
412;7234164;e
413;7238574;alz√≤
414;7254891;la
415;7260183;testa
416;7278744;a
417;7280469;guardarmi
418;7347060;Allora
419;7361172;vidi
420;7370874;i
421;7373961;suoi
422;7383222;occhi
423;7395129;e
424;7396452;capii
425;7449813;Non
426;7457751;ci
427;7463925;vedeva
428;7479814;era
429;7489503;cieco
430;7535367;Si
431;7541982;era
432;7546833;avvicinato
433;7577703;tanto
434;7594461;a
435;7596666;me
436;7615188;perch√©
437;7626213;il
438;7633710;vento
439;7647822;non
440;7653114;gli
441;7657965;aveva
442;7669431;portato
443;7696332;il
444;7703388;mio
445;7712208;odore
446;7780563;E
447;7785855;sentii
448;7808787;mio
449;7818048;padre
450;7833430;che
451;7837893;urlava
452;7931385;è
453;7875378;una
454;7883342;volpe
455;7903716;spara
456;7948143;Lui
457;7957845;non
458;7964460;poteva
459;7983423;sparare
460;8002386;era
461;8009883;troppo
462;8023554;lontano
463;8068977;Io
464;8074269;non
465;8078238;mi
466;8085294;mossi
467;8118369;ma
468;8122779;intuii
469;8141742;che
470;8147475;stava
471;8161146;scendendo
472;8188929;gi√π
473;8196867;a
474;8198190;rotta
475;8213625;di
476;8218035;collo
477;8271396;Non
478;8277570;sparai
479;8303148;rimasi
480;8322552;immobile
481;8372826;Ero
482;8382528;incantato
483;8411193;da
484;8415162;quella
485;8427951;bellezza
486;8467067;trattenevo
487;8488809;persino
488;8510859;il
489;8516151;respiro
490;8585388;La
491;8592003;volpe
492;8624663;che
493;8628800;aveva
494;8639190;rizzato
495;8660358;le
496;8663886;orecchie
497;8683078;alla
498;8689464;voce
499;8700489;di
500;8704899;mio
501;8712837;padre
502;8750322;si
503;8758701;mosse
504;8776341;velocissima
505;8810739;verso
506;8823528;il
507;8831907;fondovalle
508;8876897;e
509;8880417;appena
510;8895411;torn√≤
511;8913933;dentro
512;8931573;la
513;8936865;zona
514;8946567;d‚Äô
515;8948331;ombra
516;8966412;sembr√≤
517;8987580;spegnersi
518;9056376;Ma
519;9074898;sia
520;9086364;pure
521;9099153;per
522;9107973;pochi
523;9118998;istanti
524;9158688;mi
525;9164862;aveva
526;9177651;regalato
527;9201906;un
528;9207639;incantesimo
