word,surprisal,entropy
Giacomo,8.966645240783691,10.500298500061035
di,8.454228401184082,9.120349884033203
cristallo,19.491289138793945,8.779806137084961
Una,18.232534408569336,3.0647566318511963
volta,9.970724105834961,8.971640586853027
in,5.181018352508545,8.667972564697266
una,3.1403496265411377,7.305747985839844
città,6.353705883026123,8.193416595458984
lontana,7.634934902191162,5.889055252075195
venne,8.515176773071289,8.28976821899414
al,9.818413734436035,9.289115905761719
mondo,7.411757469177246,7.249947547912598
un,2.6001620292663574,7.423847675323486
bambino,4.636106967926025,8.411482810974121
trasparente,18.211132049560547,5.60039758682251
Attraverso,10.59602165222168,7.593230724334717
le,3.981945514678955,4.603997707366943
sue,1.4170639514923096,6.238937854766846
membra,12.236359596252441,8.444968223571777
si,3.864121913909912,6.55407190322876
poteva,6.4075822830200195,9.39227294921875
vedere,2.473020076751709,7.8830885887146
come,5.415182590484619,6.607146263122559
attraverso,11.141674041748047,6.446245193481445
l',3.9529452323913574,2.191636323928833
aria,7.562207221984863,6.393568992614746
e,4.85366153717041,7.334867000579834
l',3.4843344688415527,3.058276653289795
acqua,4.229167938232422,5.483257293701172
Era,4.033486843109131,7.516023635864258
di,7.329503059387207,7.393362045288086
carne,11.787795066833496,6.789879322052002
e,2.27754807472229,5.9927496910095215
d',7.756801605224609,2.45080304145813
ossa,12.134305953979492,3.4941670894622803
e,3.9843826293945312,4.978200435638428
pareva,8.252182006835938,8.396611213684082
di,2.2969162464141846,7.152768135070801
vetro,17.13138198852539,5.12818717956543
e,4.102736473083496,7.294180870056152
se,5.866884231567383,7.81067419052124
cadeva,12.675968170166016,4.746285438537598
non,6.65587854385376,7.013152599334717
andava,7.794101715087891,6.551565647125244
in,4.583080768585205,6.309438705444336
pezzi,14.251260757446289,5.245388031005859
ma,2.6927475929260254,6.4387898445129395
al,8.457961082458496,7.949260711669922
più,8.91813850402832,5.7202324867248535
si,8.148859977722168,5.120110511779785
faceva,5.254602432250977,8.644676208496094
sulla,12.11933708190918,8.442010879516602
fronte,10.470184326171875,5.834456443786621
un,6.579967498779297,5.134881496429443
bernoccolo,25.95897674560547,5.985929012298584
trasparente,11.33607292175293,4.706815719604492
Si,5.409013748168945,7.379176139831543
vedeva,5.8475141525268555,8.649513244628906
il,4.425419807434082,6.246271133422852
suo,4.229560852050781,5.757743835449219
cuore,6.499882698059082,4.881534099578857
battere,11.017147064208984,7.042792320251465
si,5.367774486541748,6.663510799407959
vedevano,5.821502685546875,6.112773895263672
i,2.985748052597046,5.312142848968506
suoi,1.1507173776626587,5.1541008949279785
pensieri,5.409224987030029,4.03814697265625
guizzare,21.22531509399414,6.534790992736816
come,6.560795307159424,5.3106560707092285
pesci,9.867432594299316,6.699416637420654
colorati,8.511140823364258,7.243885040283203
nella,7.832276821136475,4.7922468185424805
loro,4.494776725769043,7.398899078369141
vasca,8.261859893798828,6.461212158203125
Una,6.373359203338623,7.23134708404541
volta,2.2279844284057617,5.093932151794434
per,5.313694000244141,7.413268089294434
sbaglio,8.811501502990723,4.1587138175964355
il,4.377512454986572,7.465499401092529
bambino,0.9237978458404541,4.535117149353027
disse,7.89625883102417,7.944635391235352
una,7.1371588706970215,4.088901519775391
bugia,9.546320915222168,3.993415355682373
e,2.246830463409424,6.764745235443115
subito,7.9684906005859375,7.239668846130371
la,3.7282497882843018,6.7714152336120605
gente,6.313674449920654,8.007758140563965
poté,11.997868537902832,7.113041877746582
vedere,1.6457769870758057,6.1426496505737305
come,4.217196464538574,5.659261226654053
una,5.280855655670166,6.938706874847412
palla,7.981061935424805,8.627584457397461
di,2.378896713256836,7.620893478393555
fuoco,5.599252223968506,6.43862771987915
dietro,11.474379539489746,8.0529203414917
la,2.5810322761535645,4.829336166381836
sua,2.537801742553711,5.912549018859863
fronte,18.410602569580078,4.920192241668701
ridisse,25.13142967224121,5.5064473152160645
la,3.793961763381958,6.833341121673584
verità,7.80284309387207,6.326171398162842
e,2.9791934490203857,4.164300918579102
la,3.6851320266723633,7.600621223449707
palla,9.714329719543457,9.297104835510254
di,3.72182297706604,7.5738725662231445
fuoco,0.054273754358291626,0.4594504237174988
si,2.52595591545105,8.000177383422852
dissolse,9.741691589355469,4.963542461395264
Per,6.542170524597168,7.18425989151001
