BEGIN,surprisal,word
95256.0,20.689830780029297,tacchini
127008.0,20.268909454345703,ringraziano
228438.0,4.694335460662842,Stati
241227.0,2.3967745304107666,Uniti
281799.0,11.203929901123049,quarto
296793.0,20.82358932495117,giovedì
317520.0,7.434360504150391,novembre
360738.0,5.494659900665283,festa
374850.0,14.65225887298584,grandissima
439677.0,2.4958059787750244,celebra
460845.0,37.489524841308594,Thanksgiving
490833.0,3.1757466793060303,Day
513765.0,11.002900123596191,vale
527877.0,0.0005660558235831,dire
548163.0,3.355168342590332,giorno
563695.0,8.26276683807373,Ringraziamento
644742.0,13.005841255187988,Padri
657972.0,10.191676139831545,Pellegrini
720153.0,15.478090286254885,sbarcati
755433.0,36.59036636352539,Mayflower
829962.0,13.491531372070312,primo
855099.0,17.753456115722656,abbondante
886851.0,12.627013206481934,raccolto
915957.0,13.959826469421388,fatto
934038.0,0.7756391167640686,anno
943299.0,12.78865909576416,appresso
985194.0,4.953422546386719,arrivo
1014741.0,8.350419998168945,decisero
1040760.0,9.545541763305664,ringraziare
1076922.0,2.329580068588257,Signore
1108674.0,11.777267456054688,mettendo
1133811.0,7.549528121948242,tavola
1154538.0,7.443201541900635,grosso
1170855.0,10.29611587524414,tacchino
1221570.0,16.45810317993164,animale
1269639.0,13.436309814453123,sconosciuto
1350783.0,5.197946071624756,apprezzato
1414287.0,5.29942512512207,visto
1428840.0,8.18881893157959,mangiare
,7.910518169403076,indiani
1541295.0,1.1122143268585205,giorno
1558935.0,4.567320346832275,tradizione
1585395.0,3.992558002471924,vuole
1633464.0,7.355223178863525,tavola
1646694.0,15.224479675292969,imbandita
1695645.0,5.279749870300293,case
1725531.0,8.372631072998047,americani
1767528.0,27.752330780029297,troneggi
1797516.0,2.422703504562378,tacchino
1817802.0,17.61328125,farcito
1847349.0,12.603166580200195,grasso
1867194.0,8.077277183532715,dorato
1915704.0,11.000774383544922,tirato
1956717.0,6.985140323638916,forno
2087694.0,7.865520000457764,grande
2102688.0,6.289050102233887,piatto
2129589.0,7.655498027801514,contiene
2171484.0,9.83967113494873,arricchito
2206323.0,18.460712432861328,variopinti
2235429.0,15.739238739013672,contorni
2279529.0,19.23579406738281,bandierine
2318778.0,19.260570526123047,golosità
2346561.0,15.515413284301758,varie
2427705.0,13.146679878234863,apparire
2452401.0,6.369618892669678,sala
2469600.0,0.5739009380340576,pranzo
2511922.0,17.070417404174805,scoppia
2562651.0,16.379121780395508,entusiastico
2602341.0,3.6185574531555176,applauso
2634093.0,8.2922945022583,presenti
2742579.0,5.432273387908936,specie
2764188.0,12.025041580200195,ospite
2785356.0,5.991622447967529,onore
2841363.0,14.267297744750977,Milioni
2864295.0,3.719879388809204,tacchini
2924712.0,5.266849517822266,quarto
2950731.0,6.219449996948242,giorno
2973663.0,1.6153995990753174,novembre
3014235.0,8.039396286010742,lasciano
3135069.0,15.777626991271973,penne
3196368.0,18.641502380371094,Apro
3213126.0,13.59957790374756,piccolissima
3246201.0,14.124507904052734,parentesi
3324258.0,4.568648815155029,America
3364389.0,7.240758419036865,tempo
3389967.0,6.960748672485352,guerra
3419514.0,1.3312231302261353,Stati
