token_id;sentence_ids;tokens_no_punct;lemma_no_punct;PoS;depparse;head;constituency;AoA(m+sd);Zipf_freq;type_of_words
1;0;giacomo;Giacomo;PROPN;root;ROOT;(ROOT (f3 (sn (PROPN Giacomo) (spd (ADP di) (sn (NOUN cristallo) (PUNCT .))))));;3,459267144;content
2;0;di;di;ADP;case;cristallo;(ROOT (f3 (sn (PROPN Giacomo) (spd (ADP di) (sn (NOUN cristallo) (PUNCT .))))));;7,232814475;function
3;0;cristallo;cristallo;NOUN;nmod;Giacomo;(ROOT (f3 (sn (PROPN Giacomo) (spd (ADP di) (sn (NOUN cristallo) (PUNCT .))))));7.52 ± 2.40;3,849411611;content
4;1;una;uno;DET;det;volta;(ROOT (cp (sn (DET Una) (NOUN volta)) (fp (PUNCT ,) (sp (ADP in) (sn (DET una) (NOUN città) (sa (ADJ lontana)))) (PUNCT ,)) (f (ibar (VERB venne)) (compc (sp (ADP a) (sn (DET il) (NOUN mondo))) (sn (DET un) (NOUN bambino) (sa (ADJ trasparente))))) (PUNCT .)));;6,801817508;function
5;1;volta;volta;NOUN;obl;venne;(ROOT (cp (sn (DET Una) (NOUN volta)) (fp (PUNCT ,) (sp (ADP in) (sn (DET una) (NOUN città) (sa (ADJ lontana)))) (PUNCT ,)) (f (ibar (VERB venne)) (compc (sp (ADP a) (sn (DET il) (NOUN mondo))) (sn (DET un) (NOUN bambino) (sa (ADJ trasparente))))) (PUNCT .)));;5,820011577;content
6;1;in;in;ADP;case;città;(ROOT (cp (sn (DET Una) (NOUN volta)) (fp (PUNCT ,) (sp (ADP in) (sn (DET una) (NOUN città) (sa (ADJ lontana)))) (PUNCT ,)) (f (ibar (VERB venne)) (compc (sp (ADP a) (sn (DET il) (NOUN mondo))) (sn (DET un) (NOUN bambino) (sa (ADJ trasparente))))) (PUNCT .)));;6,797274494;function
7;1;una;uno;DET;det;città;(ROOT (cp (sn (DET Una) (NOUN volta)) (fp (PUNCT ,) (sp (ADP in) (sn (DET una) (NOUN città) (sa (ADJ lontana)))) (PUNCT ,)) (f (ibar (VERB venne)) (compc (sp (ADP a) (sn (DET il) (NOUN mondo))) (sn (DET un) (NOUN bambino) (sa (ADJ trasparente))))) (PUNCT .)));;6,801817508;function
8;1;città;città;NOUN;obl;venne;(ROOT (cp (sn (DET Una) (NOUN volta)) (fp (PUNCT ,) (sp (ADP in) (sn (DET una) (NOUN città) (sa (ADJ lontana)))) (PUNCT ,)) (f (ibar (VERB venne)) (compc (sp (ADP a) (sn (DET il) (NOUN mondo))) (sn (DET un) (NOUN bambino) (sa (ADJ trasparente))))) (PUNCT .)));4.72 ± 1.21;5,377045756;content
9;1;lontana;lontano;ADJ;amod;città;(ROOT (cp (sn (DET Una) (NOUN volta)) (fp (PUNCT ,) (sp (ADP in) (sn (DET una) (NOUN città) (sa (ADJ lontana)))) (PUNCT ,)) (f (ibar (VERB venne)) (compc (sp (ADP a) (sn (DET il) (NOUN mondo))) (sn (DET un) (NOUN bambino) (sa (ADJ trasparente))))) (PUNCT .)));;4,349587211;content
10;1;venne;venire;VERB;root;ROOT;(ROOT (cp (sn (DET Una) (NOUN volta)) (fp (PUNCT ,) (sp (ADP in) (sn (DET una) (NOUN città) (sa (ADJ lontana)))) (PUNCT ,)) (f (ibar (VERB venne)) (compc (sp (ADP a) (sn (DET il) (NOUN mondo))) (sn (DET un) (NOUN bambino) (sa (ADJ trasparente))))) (PUNCT .)));4.80 ± 2.10;4,383072355;content
11;1;al;a;ADP;case;mondo;(ROOT (cp (sn (DET Una) (NOUN volta)) (fp (PUNCT ,) (sp (ADP in) (sn (DET una) (NOUN città) (sa (ADJ lontana)))) (PUNCT ,)) (f (ibar (VERB venne)) (compc (sp (ADP a) (sn (DET il) (NOUN mondo))) (sn (DET un) (NOUN bambino) (sa (ADJ trasparente))))) (PUNCT .)));;6,335583043;function
12;1;mondo;mondo;NOUN;obl;venne;(ROOT (cp (sn (DET Una) (NOUN volta)) (fp (PUNCT ,) (sp (ADP in) (sn (DET una) (NOUN città) (sa (ADJ lontana)))) (PUNCT ,)) (f (ibar (VERB venne)) (compc (sp (ADP a) (sn (DET il) (NOUN mondo))) (sn (DET un) (NOUN bambino) (sa (ADJ trasparente))))) (PUNCT .)));4.72 ± 1.97;5,533168209;content
13;1;un;uno;DET;det;bambino;(ROOT (cp (sn (DET Una) (NOUN volta)) (fp (PUNCT ,) (sp (ADP in) (sn (DET una) (NOUN città) (sa (ADJ lontana)))) (PUNCT ,)) (f (ibar (VERB venne)) (compc (sp (ADP a) (sn (DET il) (NOUN mondo))) (sn (DET un) (NOUN bambino) (sa (ADJ trasparente))))) (PUNCT .)));;7,065833912;function
14;1;bambino;bambino;NOUN;nsubj;venne;(ROOT (cp (sn (DET Una) (NOUN volta)) (fp (PUNCT ,) (sp (ADP in) (sn (DET una) (NOUN città) (sa (ADJ lontana)))) (PUNCT ,)) (f (ibar (VERB venne)) (compc (sp (ADP a) (sn (DET il) (NOUN mondo))) (sn (DET un) (NOUN bambino) (sa (ADJ trasparente))))) (PUNCT .)));3.20 ± 1.12;5,364764818;content
15;1;trasparente;trasparente;ADJ;amod;bambino;(ROOT (cp (sn (DET Una) (NOUN volta)) (fp (PUNCT ,) (sp (ADP in) (sn (DET una) (NOUN città) (sa (ADJ lontana)))) (PUNCT ,)) (f (ibar (VERB venne)) (compc (sp (ADP a) (sn (DET il) (NOUN mondo))) (sn (DET un) (NOUN bambino) (sa (ADJ trasparente))))) (PUNCT .)));;3,393683917;content
16;2;attraverso;attraverso;ADP;case;membra;(ROOT (cp (sp (ADP Attraverso) (sn (DET le) (sa (DET sue)) (NOUN membra))) (f (ibar (PRON si) (AUX poteva) (VERB vedere)) (compt (fc (ADV come) (sp (ADP attraverso) (coord (sn (DET l') (NOUN aria)) (CCONJ e) (sn (DET l') (NOUN acqua) (PUNCT .)))))))));;4,749271739;function
17;2;le;il;DET;det;membra;(ROOT (cp (sp (ADP Attraverso) (sn (DET le) (sa (DET sue)) (NOUN membra))) (f (ibar (PRON si) (AUX poteva) (VERB vedere)) (compt (fc (ADV come) (sp (ADP attraverso) (coord (sn (DET l') (NOUN aria)) (CCONJ e) (sn (DET l') (NOUN acqua) (PUNCT .)))))))));;6,624997683;function
