token_id,target_word,prefix_length,phoneme,filtered_cohort_size,phoneme_surprisal,word_phoneme_length,length_group
1,giacomo,1,dZ,319,8.649281135713863,6,4-6 phonemes
1,giacomo,2,a,24,3.6637656665583607,6,4-6 phonemes
1,giacomo,3,k,2,6.964383565311542,6,4-6 phonemes
1,giacomo,4,o,2,-0.0,6,4-6 phonemes
1,giacomo,5,m,1,0.2750323057141178,6,4-6 phonemes
1,giacomo,6,o,1,-0.0,6,4-6 phonemes
2,di,1,d,1768,4.786685983121663,2,1-3 phonemes
2,di,2,i,1,1.716712755885618,2,1-3 phonemes
3,cristallo,1,k,3831,4.024115250020297,8,7+ phonemes
3,cristallo,2,r,195,5.817841219190284,8,7+ phonemes
3,cristallo,3,i,42,2.220138744375399,8,7+ phonemes
3,cristallo,4,s,21,0.987674507788076,8,7+ phonemes
3,cristallo,5,t,19,0.6313938470079423,8,7+ phonemes
3,cristallo,6,a,8,0.351304069366674,8,7+ phonemes
3,cristallo,7,ll,7,0.0089480275825256,8,7+ phonemes
3,cristallo,8,o,1,0.2390110284681505,8,7+ phonemes
4,una,1,u,292,8.739865416010604,3,1-3 phonemes
4,una,2,n,56,0.95057468768501,3,1-3 phonemes
4,una,3,a,1,1.642605705787611,3,1-3 phonemes
5,volta,1,v,1012,2.1547414581383117,5,4-6 phonemes
5,volta,2,O,30,0.2417250391584516,5,4-6 phonemes
5,volta,3,l,11,0.00114474563854,5,4-6 phonemes
5,volta,4,t,4,0.0012976633306714,5,4-6 phonemes
5,volta,5,a,1,0.0004169283374481,5,4-6 phonemes
6,in,1,i,3237,3.650961290985752,2,1-3 phonemes
6,in,2,n,1,2.0465570150249595,2,1-3 phonemes
7,una,1,u,224,2.604753490759286,3,1-3 phonemes
7,una,2,n,41,0.0140409704502558,3,1-3 phonemes
7,una,3,a,1,1.6472998589191508,3,1-3 phonemes
8,città,1,tS,316,4.614769221816064,4,4-6 phonemes
8,città,2,i,141,1.5675487155955927,4,4-6 phonemes
8,città,3,tt,5,0.3311860387942734,4,4-6 phonemes
8,città,4,a,1,0.1984092804298333,4,4-6 phonemes
9,lontana,1,l,761,6.963902732071923,7,7+ phonemes
9,lontana,2,o,52,3.9209054592123818,7,7+ phonemes
9,lontana,3,n,9,2.6214630739008173,7,7+ phonemes
9,lontana,4,t,7,0.0476711623027444,7,7+ phonemes
9,lontana,5,a,6,0.0041072586396406,7,7+ phonemes
9,lontana,6,n,6,-0.0,7,7+ phonemes
9,lontana,7,a,1,0.5983954025954455,7,7+ phonemes
10,venne,1,v,923,5.982937145239774,4,4-6 phonemes
10,venne,2,E,46,3.4859034200938672,4,4-6 phonemes
10,venne,3,nn,2,5.229948682573959,4,4-6 phonemes
10,venne,4,e,1,0.2466296913015049,4,4-6 phonemes
11,al,1,a,2464,3.363752532016852,2,1-3 phonemes
11,al,2,l,1,7.1690483719732745,2,1-3 phonemes
12,mondo,1,m,1312,4.372664790088082,5,4-6 phonemes
12,mondo,2,o,176,1.8395168166985685,5,4-6 phonemes
12,mondo,3,n,63,1.0206806612907895,5,4-6 phonemes
12,mondo,4,d,7,0.1416814583173452,5,4-6 phonemes
12,mondo,5,o,1,0.0023617756507345,5,4-6 phonemes
13,un,1,u,340,3.190653571041106,2,1-3 phonemes
13,un,2,n,1,0.6584117138306204,2,1-3 phonemes
14,bambino,1,b,1145,5.0615423330055584,7,7+ phonemes
14,bambino,2,a,349,1.1322044883685771,7,7+ phonemes
14,bambino,3,m,12,0.4277765123806318,7,7+ phonemes
14,bambino,4,b,11,4.098204982168861e-05,7,7+ phonemes
14,bambino,5,i,5,0.0079944720045076,7,7+ phonemes
14,bambino,6,n,5,-0.0,7,7+ phonemes
14,bambino,7,o,1,0.0034570837780519,7,7+ phonemes
15,trasparente,1,t,1338,6.152653701787826,11,7+ phonemes
15,trasparente,2,r,517,1.1792805328661622,11,7+ phonemes
15,trasparente,3,a,315,0.4907529573006623,11,7+ phonemes
15,trasparente,4,s,67,3.284937687455826,11,7+ phonemes
15,trasparente,5,p,15,2.104166601728766,11,7+ phonemes
15,trasparente,6,a,3,1.9097954524554477,11,7+ phonemes
15,trasparente,7,r,3,-0.0,11,7+ phonemes
