BEGIN,Zipf_freq,type_of_words,word
89082.0,6.640107629,function,l
96138.0,2.502677091,content,ombrellino
127449.0,3.435200351,content,asciutto
249165.0,6.166704172,function,c
254016.0,6.283626334,content,era
264159.0,6.801817508,function,una
271656.0,5.820011577,content,volta
309582.0,6.797274494,function,in
315756.0,7.065833912,function,un
322371.0,5.055196927,content,paese
340452.0,6.102695876,function,molto
355064.0,3.435200351,content,asciutto
399546.0,7.065833912,function,un
407043.0,2.502677091,content,ombrellino
434706.0,3.784762891,content,azzurro
519498.0,6.562704781,function,come
530964.0,6.283626334,function,era
536697.0,5.321449975,content,finito
557424.0,6.797274494,function,in
564480.0,5.90824416,function,quel
571977.0,5.055196927,content,paese
589617.0,3.435200351,content,asciutto
658413.0,4.575276644,function,chissà
724563.0,5.904682499,function,forse
740439.0,6.015055575,function,uno
748818.0,4.64683347,content,scherzo
796446.0,6.015055575,function,uno
807030.0,4.5330497,content,sbaglio
874062.0,6.662005813,function,ma
879795.0,6.640107629,function,l
881559.0,2.502677091,content,ombrellino
904932.0,6.283626334,function,era
915516.0,,function,là
954765.0,2.741151583,function,e
960057.0,3.311497161,content,restava
986076.0,5.921350175,function,sempre
1006803.0,4.844810788,content,chiuso
1056195.0,5.965637226,function,perché
1069654.0,6.797274494,function,in
1074276.0,5.90824416,function,quel
1084860.0,5.055196927,content,paese
1103823.0,7.259198169,function,non
1108674.0,3.286092581,content,pioveva
1134252.0,5.341756394,function,quasi
1154097.0,6.144963021,function,mai
1191582.0,2.741151583,function,e
1192905.0,6.583110863,function,se
1204371.0,3.286092581,content,pioveva
1252881.0,3.286092581,content,pioveva
1272726.0,6.287788074,function,così
1294335.0,5.206743864,function,poco
1327559.0,7.250456545,function,che
1331379.0,7.055331658,function,la
1340199.0,5.595192339,content,gente
1355193.0,6.553884221,function,si
1362690.0,3.873970268,content,prendeva
1385181.0,7.055331658,function,la
1390914.0,4.350791077,content,pioggia
1407672.0,6.797274494,function,in
1416271.0,5.537413123,content,faccia
1445580.0,4.560510121,content,contenta
1479114.0,6.267030034,function,della
1487934.0,3.879787798,content,poca
1502046.0,1.668044485,content,frescura
1561140.0,2.741151583,function,e
1567755.0,7.232814475,function,di
1573488.0,4.664483185,content,aprire
1591128.0,6.640107629,function,l
1593333.0,3.600856353,content,ombrello
1633023.0,5.368733783,function,nemmeno
1655073.0,6.624997683,function,le
1660806.0,4.348531083,content,veniva
1675800.0,6.640107629,function,l
1677564.0,5.567345054,content,idea
1755621.0,7.065833912,function,un
1764882.0,5.731502947,content,giorno
1779435.0,6.640107629,function,l
1782081.0,2.502677091,content,ombrellino
1826181.0,6.283626334,function,era
1835001.0,,function,lì
1864989.0,4.844810788,content,chiuso
1898064.0,2.52336169,content,accaldato
1931580.0,2.741151583,function,e
1935549.0,4.739619679,content,triste
1984500.0,6.212844009,function,quando
1997730.0,6.227520191,function,gli
2005227.0,6.553884221,function,si
2010519.0,2.25162107,content,posò
