TOKEN;BEGIN;ORT
1;89082;Una
2;102753;viola
3;124362;al
4;133182;polo
5;149058;Nord
6;246078;Una
7;258426;mattina
8;298116;al
9;308259;Polo
10;320607;Nord
11;354123;l
12;358533;orso
13;371322;bianco
14;392710;fiut√≤
15;407043;nell'aria
16;418950;aria
17;432621;un
18;439677;odore
19;452466;insolito
20;501417;e
21;502740;lo
22;511560;fece
23;523467;notare
24;542430;all‚ÄôOrsa
25;548604;orsa
26;563598;Maggiore
27;616959;la
28;624456;minore
29;639450;era
30;650034;sua
31;661059;figlia
32;723680;Che
33;725802;sia
34;735588;arrivata
35;752346;qualche
36;764253;spedizione
37;859950;Furono
38;871416;invece
39;886410;gli
40;889938;orsacchiotti
41;944622;a
42;948150;trovare
43;965349;la
44;971964;viola
45;1052226;Era
46;1061928;una
47;1069866;piccola
48;1090593;violetta
49;1112643;mammola
50;1154097;e
51;1156743;tremava
52;1177029;di
53;1184526;freddo
54;1227303;ma
55;1234800;continuava
56;1263465;coraggiosamente
57;1304478;a
58;1309329;profumare
59;1337112;l
60;1339317;aria
61;1372392;perch√©
62;1386063;quello
63;1411200;era
64;1423107;il
65;1431486;suo
66;1440747;dovere
67;1541295;Prima
68;1555407;di
69;1562904;sera
70;1593333;si
71;1604799;sparse
72;1625526;per
73;1632141;tutto
74;1644930;il
75;1652868;Polo
76;1663893;la
77;1669626;notizia
78;1726074;un
79;1736217;piccolo
80;1761795;strano
81;1787664;essere
82;1808982;profumato
83;1850877;di
84;1855728;colore
85;1881747;violetto
86;1931580;era
87;1938636;apparso
88;1964214;nel
89;1972152;deserto
90;1998171;di
91;2004345;ghiaccio
92;2050085;si
93;2057265;reggeva
94;2075346;su
95;2083284;una
96;2089017;sola
97;2106657;zampa
98;2141055;e
99;2142378;non
100;2152080;si
101;2158695;muoveva
102;2254392;A
103;2258361;vedere
104;2270268;la
105;2277765;viola
106;2309076;vennero
107;2335095;foche
108;2363319;e
109;2365965;trichechi
110;2421090;vennero
111;2442258;dalla
112;2453283;Siberia
113;2477097;le
114;2484130;renne
115;2520756;dall'America
116;2530899;America
117;2556036;i
118;2560005;buoi
119;2571912;muschiati
120;2631447;e
121;2639826;pi√π
122;2646882;di
123;2653497;lontano
124;2676429;ancora
125;2708181;volpi
126;2731554;bianche
127;2783592;lupi
128;2815785;e
129;2817990;gazze
130;2838276;marine
131;2904867;Tutti
132;2916774;ammiravano
133;2941911;il
134;2948085;fiore
135;2956905;sconosciuto
136;3016881;il
137;3025701;suo
138;3031875;stelo
139;3051279;tremante
140;3130218;tutti
141;3143007;aspiravano
142;3180051;il
143;3188430;suo
144;3196368;profumo
145;3266487;ma
146;3273543;ne
147;3277512;restava
148;3297798;sempre
149;3319848;abbastanza
150;3356892;per
151;3363066;quelli
152;3378501;che
153;3385557;arrivavano
154;3412912;ultimi
155;3433185;ad
156;3438036;annusare
157;3489633;ne
158;3496248;restava
159;3519180;sempre
160;3542994;come
161;3557547;prima
162;3641778;Per
163;3647511;mandare
164;3664269;tanto
165;3678822;profumo
166;3719835;disse
167;3738798;una
168;3751146;foca
169;3800979;deve
170;3811122;avere
171;3824352;una
172;3831849;riserva
173;3855663;sotto
174;3871980;il
175;3879918;ghiaccio
176;3940776;Io
177;3947391;l
178;3949596;avevo
179;3964149;detto
180;3978261;subito
181;4018392;esclam√≤
182;4042647;l
183;4046175;orso
184;4060728;bianco
185;4097331;che
186;4106151;c'era
187;4109679;era
188;4116294;sotto
189;4131288;qualcosa
190;4202289;Non
191;4209345;aveva
192;4221252;detto
193;4237569;proprio
194;4254327;cosi
195;4284756;ma
196;4289166;nessuno
197;4313862;se
198;4320918;ne
199;4326210;ricordava
200;4403385;Un
201;4411323;gabbiano
202;4452380;spedito
203;4473063;al
204;4479237;Sud
205;4493349;per
206;4501287;raccogliere
207;4528249;informazioni
208;4593989;torn√≤
209;4608450;con
210;4613742;la
211;4620357;notizia
212;4659606;che
213;4667332;il
214;4675923;piccolo
215;4696650;essere
216;4717377;profumato
217;4757508;si
218;4768974;chiamava
219;4790583;viola
220;4839975;e
221;4848354;che
222;4855268;in
223;4863789;certi
224;4882311;paesi
225;4906566;laggi√π
226;4936113;ce
227;4945374;n'erano
228;4947579;erano
229;4959927;milioni
230;5019462;Ne
231;5026077;sappiamo
232;5045481;quanto
233;5062680;prima
234;5090463;osserv√≤
235;5113395;la
236;5122215;foca
237;5171390;Com'√®
238;5177781;è
239;5181750;che
240;5191011;proprio
241;5209533;questa
242;5224968;viola
243;5244372;√®
244;5252310;arrivata
245;5271273;proprio
246;5290236;qui
247;5332131;Vi
248;5338746;dir√≤
249;5351976;tutto
250;5364324;il
251;5368734;mio
252;5377113;pensiero
253;5420331;mi
254;5427387;sento
255;5443263;alquanto
256;5468400;perplessa
257;5547339;Come
258;5561742;ha
259;5564097;detto
260;5577768;che
261;5582178;si
262;5594526;sente
263;5630247;domand√≤
264;5649210;l
265;5653179;orso
266;5664204;bianco
267;5679912;a
268;5680962;sua
269;5691546;moglie
270;5743584;Perplessa
271;5791212;Cio√®
272;5800914;non
273;5809734;sa
274;5816349;che
275;5824287;pesci
276;5838840;pigliare
277;5896170;Ecco
278;5930127;esclam√≤
279;5952177;l
280;5953941;orso
281;5966730;bianco
282;6000687;proprio
283;6017445;quello
284;6030234;che
285;6037290;penso
286;6051913;anch'io
287;6064632;io
288;6122844;Quella
289;6135192;notte
290;6149745;corse
291;6173559;per
292;6180615;tutto
293;6196491;il
294;6204870;Polo
295;6231771;un
296;6243237;pauroso
297;6271020;scricchiolio
298;6353487;I
299;6359220;ghiacci
300;6376419;eterni
301;6394500;tremavano
302;6423606;come
303;6439041;vetri
304;6461091;e
305;6469029;in
306;6475644;pi√π
307;6485346;punti
308;6502545;si
309;6510483;spaccarono
310;6585894;La
311;6592068;violetta
312;6627789;mand√≤
313;6644988;un
314;6654249;profumo
315;6678504;pi√π
316;6685119;intenso
317;6741126;come
318;6751269;se
319;6760530;avesse
320;6776847;deciso
321;6805512;di
322;6812127;sciogliere
323;6833295;in
324;6842115;una
325;6847407;sola
326;6861960;volta
327;6893253;l
328;6894594;immenso
329;6927228;deserto
330;6955893;gelato
331;7007931;per
332;7015869;trasformarlo
333;7052472;in
334;7057323;un
335;7063056;mare
336;7080696;azzurro
337;7105392;e
338;7113330;caldo
339;7162281;o
340;7167132;in
341;7175511;un
342;7183890;prato
343;7203735;di
344;7208145;velluto
345;7228431;verde
346;7314867;Lo
347;7319197;sforzo
348;7340886;la
349;7346561;esaur√¨
350;7408800;All'alba
351;7421148;alba
352;7436142;fu
353;7442757;vista
354;7458359;appassire
355;7519050;piegarsi
356;7548597;sullo
357;7558740;stelo
358;7607250;perdere
359;7627928;il
360;7634592;colore
361;7663257;e
362;7664580;la
363;7670754;vita
364;7726518;Tradotto
365;7749252;nelle
366;7758072;nostre
367;7777035;parole
368;7810551;e
369;7812315;nella
370;7823340;nostra
371;7841862;lingua
372;7887285;il
373;7893900;suo
374;7900515;ultimo
375;7919037;pensiero
376;7966224;dev'essere
377;7972839;essere
378;7987833;stato
379;8005914;pressappoco
380;8038989;questo
381;8100288;Ecco
382;8141301;io
