BEGIN,entropy,type_of_words,word
3539466.0,7.637386322021484,content,volta
3602529.0,7.667651653289795,function,Dopo
3613995.0,6.07970142364502,,tre
3621051.0,3.787852287292481,content,anni
3636927.0,5.3472161293029785,function,di
3641778.0,8.291833877563477,content,affari
3657654.0,7.658402919769287,content,magri
3681027.0,5.797600269317627,function,e
3682350.0,6.860903263092041,content,stenti
3719394.0,7.483480453491211,content,disse
3746295.0,6.716917037963867,content,Gigi
3760848.0,0.7304802536964417,content,Trinciasquali
3843315.0,4.112302303314209,content,Bella
3859191.0,3.1024887561798096,content,ciurma
3891384.0,8.999947547912598,content,sapete
3912111.0,5.684327125549316,function,cosa
3924018.0,6.146976947784424,content,faremo
3970323.0,3.6390538215637207,content,Torneremo
3994137.0,2.6373839378356934,function,sull'
4004280.0,0.6712841987609863,content,isola
4022361.0,4.889936447143555,function,dove
4031181.0,7.532440185546875,function,abbiamo
4047498.0,7.699851036071777,content,sepolto
4068666.0,6.3742218017578125,function,il
4075281.0,3.150146961212158,content,tesoro
4123791.0,6.995051383972168,function,lo
4131288.0,4.739901065826416,content,tireremo
4155984.0,6.315999507904053,function,fuori
4187736.0,7.721223831176758,function,lo
4193910.0,5.689770221710205,content,divideremo
4220811.0,5.250858306884766,function,fra
4227867.0,4.508666038513184,function,noi
4267557.0,7.134275436401367,function,e
4275495.0,4.138822555541992,content,vivremo
4297545.0,5.808885097503662,function,da
4301514.0,5.417695999145508,content,gran
4314303.0,7.344320297241211,content,signori
4350024.0,5.265172004699707,function,nei
4362372.0,6.912028789520264,content,porti
4383981.0,5.745243549346924,function,di
4389273.0,9.307706832885742,function,tutto
4405149.0,1.2226790189743042,function,il
4410441.0,2.5138039588928223,content,mondo
4476150.0,6.873702526092529,content,Giusto
4497759.0,2.5449438095092773,content,Trinciasquali
4551120.0,3.1576569080352783,content,gridarono
4572288.0,5.54327392578125,function,i
4576698.0,2.809358596801758,content,pirati
4635351.0,6.183832168579102,function,e
4641525.0,8.613468170166016,function,la
4646376.0,7.806168079376221,content,nave
4658724.0,5.578624725341797,content,voltò
4677687.0,5.499264717102051,function,la
4686066.0,3.5403642654418945,content,prua
4716495.0,5.453636169433594,function,verso
4735458.0,2.8123793601989746,function,l'
4738545.0,4.719662666320801,content,isola
4757067.0,4.152151107788086,function,del
4765005.0,5.937234878540039,content,tesoro
4843944.0,7.483087062835693,function,Ma
4851441.0,4.778711318969727,function,dov'
4859379.0,1.367222785949707,function,era
4869522.0,4.277480125427246,function,l'
4871727.0,7.114650249481201,content,isola
4884957.0,6.262991905212402,function,del
4892895.0,3.5030970573425293,content,tesoro
4952871.0,7.006558418273926,function,Il
4958163.0,3.683589220046997,content,guaio
4970070.0,7.190426349639893,content,è
4975362.0,4.877694129943848,function,che
4978890.0,7.412164688110352,function,nessuno
5007555.0,7.206793308258057,function,lo
5011524.0,8.081110000610352,content,ricordava
5039748.0,5.463056564331055,function,bene
5082966.0,6.285847187042236,function,perché
5093792.0,6.992818355560303,function,il
5103252.0,7.341116905212402,content,mare
5117805.0,6.182314872741699,function,è
5123097.0,8.339207649230957,content,pieno
5137650.0,1.636785864830017,function,di
5146911.0,9.354994773864746,content,isole
5172048.0,5.3167724609375,function,e
5176837.0,4.8561296463012695,content,isolotti
5245695.0,7.410201072692871,function,I
5252751.0,3.445276975631714,content,pirati
5269985.0,7.69549560546875,function,della
5277447.0,3.782797336578369,content,Tonno
5290677.0,0.5280432105064392,content,Feroce
5323311.0,7.111451625823975,function,ad
5328162.0,7.202319145202637,function,ogni
5337864.0,6.621713638305664,content,isola
5354622.0,4.2559895515441895,content,gridavano
5394312.0,7.683515071868896,function,È
5397399.0,6.586299419403076,function,quella
5446350.0,6.76403284072876,content,Sbarcavano
5491332.0,7.38538122177124,content,scavavano
5539401.0,8.636706352233887,function,ma
5545575.0,7.261351585388184,function,niente
5561892.0,6.167986869812012,content,tesoro
5630247.0,7.143505096435547,function,E
5631570.0,5.146859645843506,content,scava
5647446.0,6.706151962280273,function,su
5657589.0,7.431517601013184,function,un'
5662440.0,3.99580454826355,content,isola
5676993.0,4.582098007202148,content,scava
5691105.0,5.494384288787842,function,su
5699925.0,5.065584182739258,,due
5731236.0,7.194736003875732,content,avevano
5754168.0,8.787999153137207,function,i
5759019.0,6.519521713256836,content,calli
5777100.0,6.649608612060547,function,alle
5784156.0,5.66832160949707,content,mani
5820759.0,7.397134304046631,function,erano
5831784.0,7.056914329528809,content,magri
5861331.0,3.45324444770813,function,e
5866182.0,5.073360919952393,content,affamati
5938065.0,7.038937568664551,function,Un
5946003.0,7.012330055236816,content,giorno
5961879.0,8.168790817260742,function,ecco
5975109.0,6.619710445404053,function,un'
5982165.0,5.368638515472412,content,isola
5998041.0,7.110831260681152,content,verde
6013476.0,4.344964027404785,function,in
6020973.0,6.97687292098999,content,mezzo
6033762.0,3.708213806152344,function,al
6041259.0,3.31345796585083,content,mare
6095502.0,6.667266845703125,function,È
6100353.0,5.119001865386963,function,quella
6136956.0,8.64747142791748,function,forse
6178410.0,7.796178817749023,content,dissero
6197373.0,6.060973167419434,function,i
6201783.0,5.136424541473389,content,pirati
6237945.0,7.657452583312988,function,ma
6244560.0,7.687501907348633,function,senza
6258672.0,9.478171348571776,function,troppa
6273666.0,6.884033679962158,content,fiducia
6334965.0,3.4704556465148926,content,Sbarcarono
6378624.0,8.702609062194824,function,e
6383475.0,8.499032974243164,content,cominciarono
6412713.0,1.5832916498184204,function,a
6416550.0,6.305250644683838,content,scavare
