TOKEN;BEGIN;ORT;;BEGIN;ORT;
151;3027024;bicchiere;;3027024;bicchiere;VERO
152;3046428;d;;3046428;d;VERO
153;3047751;acqua;;3047751;acqua;VERO
154;3086118;ma;;3086118;ma;VERO
155;3090969;il;;3090969;il;VERO
156;3096702;bicchiere;;3096702;bicchiere;VERO
157;3114342;diventò;;3114342;diventò;VERO
158;3135069;d;;3135069;d;VERO
159;3140361;oro;;3140361;oro;VERO
160;3154473;l;;3153150;l;FALSO
161;3164616;acqua;;3154473;acqua;FALSO
162;3182256;pure;;3182256;pure;VERO
163;3231207;e;;3227679;e;FALSO
164;3232530;se;;3232530;se;VERO
165;3240909;volle;;3240909;volle;VERO
166;3255245;bere;;3263400;bere;FALSO
167;3282804;dovette;;3282804;dovette;VERO
168;3302649;lasciarsi;;3302649;lasciarsi;VERO
169;3333078;imboccare;;3333078;imboccare;VERO
170;3363507;dal;;3363507;dal;VERO
171;3371886;suo;;3371886;suo;VERO
172;3380706;servo;;3380706;servo;VERO
173;3404079;col;;3404079;col;VERO
174;3412017;cucchiaio;;3412017;cucchiaio;VERO
175;3513888;Vene;;3513888;Venne;VERO
176;3534615;l;;3534615;l;VERO
177;3535938;ora;;3535938;ora;VERO
178;3551373;di;;3551373;di;VERO
179;3555783;andare;;3555783;andare;VERO
180;3575628;a;;3572100;a;FALSO
181;3579156;tavola;;3579156;tavola;VERO
182;3634708;Toccava;;3610026;Toccava;FALSO
183;3652803;la;;3652803;la;VERO
184;3659638;forchetta;;3659638;forchetta;VERO
185;3681468;e;;3681468;e;VERO
186;3685878;diventava;;3685878;diventava;VERO
187;3711456;d;;3711456;d;VERO
188;3713661;oro;;3713661;oro;VERO
189;3740121;e;;3737034;e;FALSO
190;3743649;tutti;;3743649;tutti;VERO
191;3757761;gli;;3757761;gli;VERO
192;3766140;invitati;;3766140;invitati;VERO
193;3788190;battevano;;3788190;battevano;VERO
194;3812886;le;;3812886;le;VERO
195;3818178;mani;;3818178;mani;VERO
196;3837141;e;;3837141;e;VERO
197;3838464;dicevano;;3838464;dicevano;VERO
198;3881682;Maestà;;3881682;Maestà;VERO
199;3929093;toccatemi;;3906819;toccatemi;FALSO
200;3951801;i;;3951801;i;VERO
201;3954447;bottoni;;3954447;bottoni;VERO
202;3972528;della;;3972528;della;VERO
203;3983994;giacca;;3983994;giacca;VERO
204;4014775;toccatemi;;4004721;toccatemi;FALSO
205;4039119;questo;;4039119;questo;VERO
206;4056318;ombrello;;4050585;ombrello;FALSO
207;4116294;Il;;4114530;Il;FALSO
208;4122468;re;;4122468;re;VERO
209;4126878;Mida;;4126878;Mida;VERO
210;4138344;li;;4138344;li;VERO
211;4144077;faceva;;4144077;faceva;VERO
212;4160835;contenti;;4160835;contenti;VERO
213;4215078;ma;;4215078;ma;VERO
214;4220370;quando;;4220370;quando;VERO
215;4234482;prese;;4234482;prese;VERO
216;4246389;il;;4246389;il;VERO
217;4255650;pane;;4255650;pane;VERO
218;4272408;per;;4272408;per;VERO
219;4278582;mangiare;;4278582;mangiare;VERO
220;4324446;anche;;4322241;anche;FALSO
221;4336794;quello;;4336794;quello;VERO
222;4357962;diventò;;4357962;diventò;VERO
223;4377807;d;;4377807;d;VERO
224;4380012;oro;;4380012;oro;VERO
225;4416174;e;;4413528;e;FALSO
226;4417497;se;;4417497;se;VERO
227;4428963;volle;;4428963;volle;VERO
228;4439547;cavarsi;;4439547;cavarsi;VERO
229;4459392;l;;4459392;l;VERO
230;4461597;apetito;;4461597;appetito;VERO
231;4503492;dovette;;4503492;dovette;VERO
