TOKEN;BEGIN;ORT;;
280;5638626;provare;;
281;5654943;anche;;
282;5666409;lui;;
283;5676993;la;;
284;5681403;marmellata;;
285;5707863;dell';;
286;5715360;Apollonia;;
287;5759460;e;;
288;5760783;lei;;
289;5771367;gliene;;
290;5782833;dette;;
291;5795622;un;;
292;5802237;piattino;;
293;5862654;ma;;
294;5867064;l;;
295;5870592;imperatore;;
296;5899257;dopo;;
297;5908077;la;;
298;5912928;prima;;
299;5925276;cucchiaiata;;
300;5955264;si;;
301;5962320;disgustò;;
302;6005097;perché;;
303;6017886;c'era;;
304;6023178;era;;
305;6028470;caduta;;
306;6046992;dentro;;
307;6065073;una;;
308;6069924;mosca;;
309;6125049;Mi;;
310;6130782;fa;;
311;6136956;schifo;;
312;6174882;disse;;
313;6193404;l;;
314;6195168;imperatore;;
315;6262566;Se;;
316;6269256;non;;
317;6275871;era;;
318;6283809;buona;;
319;6301890;la;;
320;6306741;mosca;;
321;6322617;non;;
322;6330996;ci;;
323;6335406;cascava;;
324;6377742;disse;;
325;6393177;l;;
326;6394941;Apollonia;;
327;6458445;Ma;;
328;6462855;ormai;;
329;6476526;l;;
330;6478290;imperatore;;
331;6503868;si;;
332;6511365;era;;
333;6516657;arrabiato;;
334;6568254;e;;
335;6570459;ordinò;;
336;6587658;ai;;
337;6593391;suoi;;
338;6602211;soldati;;
339;6637932;di;;
340;6644106;tagliare;;
341;6667038;le;;
342;6672330;mani;;
343;6686001;all'Apollonia;;
344;6690852;Apollonia;;
345;6764058;Allora;;
346;6775083;la;;
347;6783021;gente;;
348;6797133;si;;
349;6805071;ribellò;;
350;6845643;e;;
351;6846966;mandò;;
352;6859755;a;;
353;6863724;dire;;
354;6873867;all'imperatore;;
355;6879600;imperatore;;
356;6917085;che;;
357;6921054;se;;
358;6929433;lui;;
359;6941781;faceva;;
360;6958539;tagliare;;
361;6979707;le;;
362;6984558;mani;;
363;6996465;all'Apollonia;;
364;7001316;Apollonia;;
365;7045416;loro;;
366;7061292;gli;;
367;7070112;avrebero;;
368;7089075;tagliato;;
369;7110684;la;;
370;7114653;corona;;
371;7137144;con;;
372;7147287;tutta;;
373;7158312;la;;
374;7163163;testa;;
375;7217406;perché;;
376;7230636;teste;;
377;7245630;per;;
378;7254450;fare;;
379;7264152;l;;
380;7265475;imperatore;;
381;7299432;se;;
382;7308252;ne;;
383;7314867;trovano;;
384;;a;;
385;7335153;tutte;;
386;7350147;le;;
387;7354116;cantonate;;
388;7406595;ma;;
389;7412328;mani;;
390;7427322;d;;
391;7429968;oro;;
392;7444521;come;;
393;7453782;quelle;;
394;7468776;dell';;
395;7475832;Apollonia;;
396;7510917;sono;;396
397;7522578;ben;;397
398;7531398;più;;398
399;7539336;preziose;;399
400;7573734;e;;400
401;7577262;rare;;401
403;7626213;E;;402
404;7628545;l;;403
405;7631253;imperatore;;404
406;7669872;dovette;;405
407;7691040;far;;406
407;7700301;fagotto;;407
