BEGIN;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD;Modo di articolazione;Luogo di articolazione;Sonorit�;Modo di articolazione;Luogo di articolazione;Sonorit�
1675050;63;a;;cavalcare;k a v a l k a r e;;;;;;;;bassa;centrale;v;bassa;centrale;v
1681577;63;r;;cavalcare;k a v a l k a r e;;;;;;;;vibrante;alveolare;sonora;vibrante;alveolare;sonora
1686516;63;e;;cavalcare;k a v a l k a r e;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
1691279;-1;<p:>;;;;;;;;;;;;;;;;
1686031;64;i;;Il;i l;;;;;;;;alta;anteriore;v;alta;anteriore;v
1731895;64;l;;Il;i l;;;;;;;;laterale;alveolare;sonora;laterale;alveolare;sonora
1742082;65;p;;piccolo;p i kk o l o;;;;;;;;occlusiva;bilabiale;sorda;occlusiva;bilabiale;sorda
1746977;65;i;;piccolo;p i kk o l o;;;;;;;;alta;anteriore;v;alta;anteriore;v
1750285;65;kk;;piccolo;p i kk o l o;;;;;;;;occlusiva;velare;sorda;occlusiva;velare;sorda
1753196;65;o;;piccolo;p i kk o l o;;;;;;;;medio-alta;posteriore;v;medio-alta;posteriore;v
1756194;65;l;;piccolo;p i kk o l o;;;;;;;;laterale;alveolare;sonora;laterale;alveolare;sonora
1761178;65;o;;piccolo;p i kk o l o;;;;;;;;medio-alta;posteriore;v;medio-alta;posteriore;v
1762589;66;r;;ragno;r a JJ o;;;;;;;;vibrante;alveolare;sonora;vibrante;alveolare;sonora
1766205;66;a;;ragno;r a JJ o;;;;;;;;bassa;centrale;v;bassa;centrale;v
1770659;66;JJ;;ragno;r a JJ o;;;;;;;;nasale;palatale;sonora;nasale;palatale;sonora
1778994;66;o;;ragno;r a JJ o;;;;;;;;medio-alta;posteriore;v;medio-alta;posteriore;v
1782787;-1;<p:>;;;;;;;;;;;;;;;;
1798751;67;t;;tesse;t E ss e;;;;;;;;occlusiva;alveolare;sorda;occlusiva;alveolare;sorda
1800691;67;E;;tesse;t E ss e;;;;;;;;medio-bassa;anteriore;v;medio-bassa;anteriore;v
1806468;67;ss;;tesse;t E ss e;;;;;;;;fricativa;alveolare;sorda;fricativa;alveolare;sorda
1815773;67;e;;tesse;t E ss e;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
1819919;68;E;;e;E;;;;;;;;medio-bassa;anteriore;v;medio-bassa;anteriore;v
1828210;69;t;;tace;t a tS e;;;;;;;;occlusiva;alveolare;sorda;occlusiva;alveolare;sorda
1829312;69;a;;tace;t a tS e;;;;;;;;bassa;centrale;v;bassa;centrale;v
1838485;69;tS;;tace;t a tS e;;;;;;;;affricata;postalveolare;sorda;affricata;postalveolare;sorda
1843512;69;e;;tace;t a tS e;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
1848187;-1;<p:>;;;;;;;;;;;;;;;;
1912176;70;a;;Arriva;a rr i v a;;;;;;;;bassa;centrale;v;bassa;centrale;v
1917733;70;r;;Arriva;a rr i v a;;;;;;;;vibrante;alveolare;sonora;vibrante;alveolare;sonora
1922981;70;i;;Arriva;a rr i v a;;;;;;;;alta;anteriore;v;alta;anteriore;v
1929948;70;v;;Arriva;a rr i v a;;;;;;;;fricativa;labiodentale;sonora;fricativa;labiodentale;sonora
1932771;70;a;;Arriva;a rr i v a;;;;;;;;bassa;centrale;v;bassa;centrale;v
1937004;71;l;;la;l a;;;;;;;;laterale;alveolare;sonora;laterale;alveolare;sonora
1938636;71;a;;la;l a;;;;;;;;bassa;centrale;v;bassa;centrale;v
1942473;72;m;;mucca;m u kk a;;;;;;;;nasale;bilabiale;sonora;nasale;bilabiale;sonora
1948470;72;u;;mucca;m u kk a;;;;;;;;alta;posteriore;v;alta;posteriore;v
1963773;72;kk;;mucca;m u kk a;;;;;;;;occlusiva;velare;sorda;occlusiva;velare;sorda
1964743;72;a;;mucca;m u kk a;;;;;;;;bassa;centrale;v;bassa;centrale;v
1970653;-1;<p:>;;;;;;;;;;;;;;;;
1995790;73;E;;e;E;;;;;;;;medio-bassa;anteriore;v;medio-bassa;anteriore;v
1998524;74;L;;gli;L i;;;;;;;;approssimante laterale;velare;sonora;approssimante laterale;velare;sonora
2003463;74;i;;gli;L i;;;;;;;;alta;anteriore;v;alta;anteriore;v
2007300;75;d;;dice;d i tS e;;;;;;;;occlusiva;alveolare;sonora;occlusiva;alveolare;sonora
2008094;75;i;;dice;d i tS e;;;;;;;;alta;anteriore;v;alta;anteriore;v
2014929;75;tS;;dice;d i tS e;;;;;;;;affricata;postalveolare;sorda;affricata;postalveolare;sorda
2018810;75;e;;dice;d i tS e;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
2025337;-1;<p:>;;;;;;;;;;;;;;;;
2044256;76;m;;Mu;m u ;;;;;;;;nasale;bilabiale;sonora;nasale;bilabiale;sonora
2046549;76;u;;Mu;m u ;;;;;;;;alta;posteriore;v;alta;posteriore;v
2083284;-1;<p:>;;;;;;;;;;;;;;;;
2104452;77;m;;Mu;m u ;;;;;;;;nasale;bilabiale;sonora;nasale;bilabiale;sonora
2107539;77;u;;Mu;m u ;;;;;;;;alta;posteriore;v;alta;posteriore;v
2139908;-1;<p:>;;;;;;;;;;;;;;;;
2160944;78;v;;Vuoi;v w O i;;;;;;;;fricativa;labiodentale;sonora;fricativa;labiodentale;sonora
2163414;78;w;;Vuoi;v w O i;;;;;;;;approssimante;labio-velare;sonora;approssimante;labio-velare;sonora
2164693;78;O;;Vuoi;v w O i;;;;;;;;medio-bassa;posteriore;v;medio-bassa;posteriore;v
2166589;78;i;;Vuoi;v w O i;;;;;;;;alta;anteriore;v;alta;anteriore;v
2168706;79;m;;mangiare;m a n dZ a r e;;;;;;;;nasale;bilabiale;sonora;nasale;bilabiale;sonora
2171484;79;a;;mangiare;m a n dZ a r e;;;;;;;;bassa;centrale;v;bassa;centrale;v
2173821;79;n;;mangiare;m a n dZ a r e;;;;;;;;nasale;alveolare;sonora;nasale;alveolare;sonora
2177967;79;dZ;;mangiare;m a n dZ a r e;;;;;;;;affricata;postalveolare;sonora;affricata;postalveolare;sonora
2181451;79;a;;mangiare;m a n dZ a r e;;;;;;;;bassa;centrale;v;bassa;centrale;v
2187316;79;r;;mangiare;m a n dZ a r e;;;;;;;;vibrante;alveolare;sonora;vibrante;alveolare;sonora
2192211;79;e;;mangiare;m a n dZ a r e;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
2194416;80;u;;un;u n;;;;;;;;alta;posteriore;v;alta;posteriore;v
2197062;80;N;;un;u n;;;;;;;;;;;;;
2203412;81;p;;po';p o;;;;;;;;occlusiva;bilabiale;sorda;occlusiva;bilabiale;sorda
2204471;81;o;;po';p o;;;;;;;;medio-alta;posteriore;v;medio-alta;posteriore;v
2209234;82;d;;di;d i;;;;;;;;occlusiva;alveolare;sonora;occlusiva;alveolare;sonora
2210557;82;i;;di;d i;;;;;;;;alta;anteriore;v;alta;anteriore;v
2214482;83;f;;fieno;f j E n o;;;;;;;;fricativa;labiodentale;sorda;fricativa;labiodentale;sorda
2219509;83;j;;fieno;f j E n o;;;;;;;;approssimante;palatale;sonora;approssimante;palatale;sonora
2222949;83;E;;fieno;f j E n o;;;;;;;;medio-bassa;anteriore;v;medio-bassa;anteriore;v
2226697;83;n;;fieno;f j E n o;;;;;;;;nasale;alveolare;sonora;nasale;alveolare;sonora
2230225;83;o;;fieno;f j E n o;;;;;;;;medio-alta;posteriore;v;medio-alta;posteriore;v
2231857;84;E;;e;E;;;;;;;;medio-bassa;anteriore;v;medio-bassa;anteriore;v
2239839;85;d;;di;d i;;;;;;;;occlusiva;alveolare;sonora;occlusiva;alveolare;sonora
2240765;85;i;;di;d i;;;;;;;;alta;anteriore;v;alta;anteriore;v
2243367;86;a;;avena;a v e n a;;;;;;;;bassa;centrale;v;bassa;centrale;v
2246189;86;v;;avena;a v e n a;;;;;;;;fricativa;labiodentale;sonora;fricativa;labiodentale;sonora
2250511;86;e;;avena;a v e n a;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
2257744;86;n;;avena;a v e n a;;;;;;;;nasale;alveolare;sonora;nasale;alveolare;sonora
2260787;86;a;;avena;a v e n a;;;;;;;;bassa;centrale;v;bassa;centrale;v
2266520;-1;<p:>;;;;;;;;;;;;;;;;
2305063;87;i;;Il;i l;;;;;;;;alta;anteriore;v;alta;anteriore;v
2309782;87;l;;Il;i l;;;;;;;;laterale;alveolare;sonora;laterale;alveolare;sonora
2316529;88;p;;piccolo;p i kk o l o;;;;;;;;occlusiva;bilabiale;sorda;occlusiva;bilabiale;sorda
2317411;88;i;;piccolo;p i kk o l o;;;;;;;;alta;anteriore;v;alta;anteriore;v
2324246;88;kk;;piccolo;p i kk o l o;;;;;;;;occlusiva;velare;sorda;occlusiva;velare;sorda
2327598;88;o;;piccolo;p i kk o l o;;;;;;;;medio-alta;posteriore;v;medio-alta;posteriore;v
2330641;88;l;;piccolo;p i kk o l o;;;;;;;;laterale;alveolare;sonora;laterale;alveolare;sonora
2332493;88;o;;piccolo;p i kk o l o;;;;;;;;medio-alta;posteriore;v;medio-alta;posteriore;v
2333243;89;r;;ragno;r a JJ o;;;;;;;;vibrante;alveolare;sonora;vibrante;alveolare;sonora
2337300;89;a;;ragno;r a JJ o;;;;;;;;bassa;centrale;v;bassa;centrale;v
2346429;89;JJ;;ragno;r a JJ o;;;;;;;;nasale;palatale;sonora;nasale;palatale;sonora
2355690;89;o;;ragno;r a JJ o;;;;;;;;medio-alta;posteriore;v;medio-alta;posteriore;v
2379636;90;t;;tesse;t E ss e;;;;;;;;occlusiva;alveolare;sorda;occlusiva;alveolare;sorda
2381224;90;E;;tesse;t E ss e;;;;;;;;medio-bassa;anteriore;v;medio-bassa;anteriore;v
2387221;90;ss;;tesse;t E ss e;;;;;;;;fricativa;alveolare;sorda;fricativa;alveolare;sorda
2400495;90;e;;tesse;t E ss e;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
2404023;-1;<p:>;;;;;;;;;;;;;;;;
2415842;91;E;;e;E;;;;;;;;medio-bassa;anteriore;v;medio-bassa;anteriore;v
2427617;92;t;;tace;t a tS e;;;;;;;;occlusiva;alveolare;sorda;occlusiva;alveolare;sorda
2428367;92;a;;tace;t a tS e;;;;;;;;bassa;centrale;v;bassa;centrale;v
2435114;92;tS;;tace;t a tS e;;;;;;;;affricata;postalveolare;sorda;affricata;postalveolare;sorda
2442699;92;e;;tace;t a tS e;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
2445654;-1;<p:>;;;;;;;;;;;;;;;;
2507261;93;a;;Arriva;a rr i v a;;;;;;;;bassa;centrale;v;bassa;centrale;v
2512157;93;r;;Arriva;a rr i v a;;;;;;;;vibrante;alveolare;sonora;vibrante;alveolare;sonora
2518110;93;i;;Arriva;a rr i v a;;;;;;;;alta;anteriore;v;alta;anteriore;v
2521109;93;v;;Arriva;a rr i v a;;;;;;;;fricativa;labiodentale;sonora;fricativa;labiodentale;sonora
2525431;93;a;;Arriva;a rr i v a;;;;;;;;bassa;centrale;v;bassa;centrale;v
2529003;94;l;;la;l a;;;;;;;;laterale;alveolare;sonora;laterale;alveolare;sonora
2531164;94;a;;la;l a;;;;;;;;bassa;centrale;v;bassa;centrale;v
2530855;95;p;;pecora;p E k o r a;;;;;;;;occlusiva;bilabiale;sorda;occlusiva;bilabiale;sorda
2539410;95;E;;pecora;p E k o r a;;;;;;;;medio-bassa;anteriore;v;medio-bassa;anteriore;v
2550876;95;k;;pecora;p E k o r a;;;;;;;;occlusiva;velare;sorda;occlusiva;velare;sorda
2552067;95;o;;pecora;p E k o r a;;;;;;;;medio-alta;posteriore;v;medio-alta;posteriore;v
2554713;95;r;;pecora;p E k o r a;;;;;;;;vibrante;alveolare;sonora;vibrante;alveolare;sonora
2557006;95;a;;pecora;p E k o r a;;;;;;;;bassa;centrale;v;bassa;centrale;v
2563048;-1;<p:>;;;;;;;;;;;;;;;;
2578483;96;E;;e;E;;;;;;;;medio-bassa;anteriore;v;medio-bassa;anteriore;v
2580600;97;L;;gli;L i;;;;;;;;approssimante laterale;velare;sonora;approssimante laterale;velare;sonora
2586068;97;i;;gli;L i;;;;;;;;alta;anteriore;v;alta;anteriore;v
2590831;98;d;;dice;d i tS e;;;;;;;;occlusiva;alveolare;sonora;occlusiva;alveolare;sonora
2592022;98;i;;dice;d i tS e;;;;;;;;alta;anteriore;v;alta;anteriore;v
2596829;98;tS;;dice;d i tS e;;;;;;;;affricata;postalveolare;sorda;affricata;postalveolare;sorda
2505221;98;e;;dice;d i tS e;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
2608956;-1;<p:>;;;;;;;;;;;;;;;;
2626596;99;b;;Beee;b e e e;;;;;;;;occlusiva;bilabiale;sonora;occlusiva;bilabiale;sonora
2630345;99;e;;Beee;b e e e;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
2637312;99;e;;Beee;b e e e;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
2641281;99;e;;Beee;b e e e;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
2651645;-1;<p:>;;;;;;;;;;;;;;;;
2666066;100;b;;Beee;b E e;;;;;;;;occlusiva;bilabiale;sonora;occlusiva;bilabiale;sonora
2670564;100;E;;Beee;b E e;;;;;;;;medio-bassa;anteriore;v;medio-bassa;anteriore;v
2682647;100;e;;Beee;b E e;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
2704256;101;a;;Andiamo;a n d j a m o;;;;;;;;bassa;centrale;v;bassa;centrale;v
2710210;101;n;;Andiamo;a n d j a m o;;;;;;;;nasale;alveolare;sonora;nasale;alveolare;sonora
2714399;101;d;;Andiamo;a n d j a m o;;;;;;;;occlusiva;alveolare;sonora;occlusiva;alveolare;sonora
2716031;101;j;;Andiamo;a n d j a m o;;;;;;;;approssimante;palatale;sonora;approssimante;palatale;sonora
2717839;101;a;;Andiamo;a n d j a m o;;;;;;;;bassa;centrale;v;bassa;centrale;v
2724498;101;m;;Andiamo;a n d j a m o;;;;;;;;nasale;bilabiale;sonora;nasale;bilabiale;sonora
2727541;101;o;;Andiamo;a n d j a m o;;;;;;;;medio-alta;posteriore;v;medio-alta;posteriore;v
2729746;102;i;;insieme;i n s j E m e;;;;;;;;alta;anteriore;v;alta;anteriore;v
2731642;102;n;;insieme;i n s j E m e;;;;;;;;nasale;alveolare;sonora;nasale;alveolare;sonora
2735876;102;s;;insieme;i n s j E m e;;;;;;;;fricativa;alveolare;sorda;fricativa;alveolare;sorda
2740550;102;j;;insieme;i n s j E m e;;;;;;;;approssimante;palatale;sonora;approssimante;palatale;sonora
2741609;102;E;;insieme;i n s j E m e;;;;;;;;medio-bassa;anteriore;v;medio-bassa;anteriore;v
2743902;102;m;;insieme;i n s j E m e;;;;;;;;nasale;bilabiale;sonora;nasale;bilabiale;sonora
2746901;102;e;;insieme;i n s j E m e;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
2752502;103;p;;per;p e r;;;;;;;;occlusiva;bilabiale;sorda;occlusiva;bilabiale;sorda
2753472;103;e;;per;p e r;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
2756735;103;r;;per;p e r;;;;;;;;vibrante;alveolare;sonora;vibrante;alveolare;sonora
2763218;104;p;;prati;p r a t i;;;;;;;;occlusiva;bilabiale;sorda;occlusiva;bilabiale;sorda
2764144;104;r;;prati;p r a t i;;;;;;;;vibrante;alveolare;sonora;vibrante;alveolare;sonora
2766702;104;a;;prati;p r a t i;;;;;;;;bassa;centrale;v;bassa;centrale;v
2779491;104;t;;prati;p r a t i;;;;;;;;occlusiva;alveolare;sorda;occlusiva;alveolare;sorda
2780505;104;i;;prati;p r a t i;;;;;;;;alta;anteriore;v;alta;anteriore;v
2786811;-1;<p:>;;;;;;;;;;;;;;;;
2823811;105;i;;Il;i l;;;;;;;;alta;anteriore;v;alta;anteriore;v
2828839;105;l;;Il;i l;;;;;;;;laterale;alveolare;sonora;laterale;alveolare;sonora
2835277;106;p;;piccolo;p i kk o l o;;;;;;;;occlusiva;bilabiale;sorda;occlusiva;bilabiale;sorda
2836777;106;i;;piccolo;p i kk o l o;;;;;;;;alta;anteriore;v;alta;anteriore;v
2847096;106;kk;;piccolo;p i kk o l o;;;;;;;;occlusiva;velare;sorda;occlusiva;velare;sorda
2850624;106;o;;piccolo;p i kk o l o;;;;;;;;medio-alta;posteriore;v;medio-alta;posteriore;v
2853667;106;l;;piccolo;p i kk o l o;;;;;;;;laterale;alveolare;sonora;laterale;alveolare;sonora
2860502;106;o;;piccolo;p i kk o l o;;;;;;;;medio-alta;posteriore;v;medio-alta;posteriore;v
2861825;107;r;;ragno;r a JJ o;;;;;;;;vibrante;alveolare;sonora;vibrante;alveolare;sonora
2865133;107;a;;ragno;r a JJ o;;;;;;;;bassa;centrale;v;bassa;centrale;v
2869411;107;JJ;;ragno;r a JJ o;;;;;;;;nasale;palatale;sonora;nasale;palatale;sonora
2877657;107;o;;ragno;r a JJ o;;;;;;;;medio-alta;posteriore;v;medio-alta;posteriore;v
2884978;108;t;;tesse;t E ss e;;;;;;;;occlusiva;alveolare;sorda;occlusiva;alveolare;sorda
2887051;108;E;;tesse;t E ss e;;;;;;;;medio-bassa;anteriore;v;medio-bassa;anteriore;v
2893974;108;ss;;tesse;t E ss e;;;;;;;;fricativa;alveolare;sorda;fricativa;alveolare;sorda
2902927;108;e;;tesse;t E ss e;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
2905132;109;E;;e;E;;;;;;;;medio-bassa;anteriore;v;medio-bassa;anteriore;v
2913555;110;t;;tace;t a tS e;;;;;;;;occlusiva;alveolare;sorda;occlusiva;alveolare;sorda
2914966;110;a;;tace;t a tS e;;;;;;;;bassa;centrale;v;bassa;centrale;v
2921140;110;tS;;tace;t a tS e;;;;;;;;affricata;postalveolare;sorda;affricata;postalveolare;sorda
2929695;110;e;;tace;t a tS e;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
2934987;-1;<p:>;;;;;;;;;;;;;;;;
2995978;111;a;;Arriva;a rr i v a;;;;;;;;bassa;centrale;v;bassa;centrale;v
2999462;111;r;;Arriva;a rr i v a;;;;;;;;vibrante;alveolare;sonora;vibrante;alveolare;sonora
3003431;111;i;;Arriva;a rr i v a;;;;;;;;alta;anteriore;v;alta;anteriore;v
3008723;111;v;;Arriva;a rr i v a;;;;;;;;fricativa;labiodentale;sonora;fricativa;labiodentale;sonora
3011413;111;a;;Arriva;a rr i v a;;;;;;;;bassa;centrale;v;bassa;centrale;v
3014808;112;l;;la;l a;;;;;;;;laterale;alveolare;sonora;laterale;alveolare;sonora
3017454;112;a;;la;l a;;;;;;;;bassa;centrale;v;bassa;centrale;v
3023540;113;k;;capra;k a p r a;;;;;;;;occlusiva;velare;sorda;occlusiva;velare;sorda
3024643;113;a;;capra;k a p r a;;;;;;;;bassa;centrale;v;bassa;centrale;v
3036726;113;p;;capra;k a p r a;;;;;;;;occlusiva;bilabiale;sorda;occlusiva;bilabiale;sorda
3037873;113;r;;capra;k a p r a;;;;;;;;vibrante;alveolare;sonora;vibrante;alveolare;sonora
3041312;113;a;;capra;k a p r a;;;;;;;;bassa;centrale;v;bassa;centrale;v
3044047;-1;<p:>;;;;;;;;;;;;;;;;
3069536;114;E;;e;E;;;;;;;;medio-bassa;anteriore;v;medio-bassa;anteriore;v
3071168;115;L;;gli;L i;;;;;;;;approssimante laterale;velare;sonora;approssimante laterale;velare;sonora
3077695;115;i;;gli;L i;;;;;;;;alta;anteriore;v;alta;anteriore;v
3082237;116;d;;dice;d i tS e;;;;;;;;occlusiva;alveolare;sonora;occlusiva;alveolare;sonora
3082458;116;i;;dice;d i tS e;;;;;;;;alta;anteriore;v;alta;anteriore;v
3090043;116;tS;;dice;d i tS e;;;;;;;;affricata;postalveolare;sorda;affricata;postalveolare;sorda
3094100;116;e;;dice;d i tS e;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
3100406;-1;<p:>;;;;;;;;;;;;;;;;
3117341;117;m;;Meee;m e e e;;;;;;;;nasale;bilabiale;sonora;nasale;bilabiale;sonora
3121266;117;e;;Meee;m e e e;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
3131012;117;e;;Meee;m e e e;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
3134319;117;e;;Meee;m e e e;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
3144242;-1;<p:>;;;;;;;;;;;;;;;;
3155002;118;m;;Mee;m E e;;;;;;;;nasale;bilabiale;sonora;nasale;bilabiale;sonora
3160823;118;E;;Mee;m E e;;;;;;;;medio-bassa;anteriore;v;medio-bassa;anteriore;v
3163117;118;e;;Mee;m E e;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
3178463;-1;<p:>;;;;;;;;;;;;;;;;
3206246;119;f;;Facciamo;f a ttS a m o;;;;;;;;fricativa;labiodentale;sorda;fricativa;labiodentale;sorda
3208231;119;a;;Facciamo;f a ttS a m o;;;;;;;;bassa;centrale;v;bassa;centrale;v
3211979;119;ttS;;Facciamo;f a ttS a m o;;;;;;;;affricata;postalveolare;sorda;affricata;postalveolare;sorda
3217668;119;a;;Facciamo;f a ttS a m o;;;;;;;;bassa;centrale;v;bassa;centrale;v
3223181;119;m;;Facciamo;f a ttS a m o;;;;;;;;nasale;bilabiale;sonora;nasale;bilabiale;sonora
3227767;119;O;;Facciamo;f a ttS a m o;;;;;;;;medio-bassa;posteriore;v;medio-bassa;posteriore;v
3230678;120;k;;chi;k i;;;;;;;;occlusiva;velare;sorda;occlusiva;velare;sorda
3233147;120;i;;chi;k i;;;;;;;;alta;anteriore;v;alta;anteriore;v
3237734;121;ss;;salta;s a l t a;;;;;;;;fricativa;alveolare;sorda;fricativa;alveolare;sorda
3242012;121;a;;salta;s a l t a;;;;;;;;bassa;centrale;v;bassa;centrale;v
3246113;121;l;;salta;s a l t a;;;;;;;;laterale;alveolare;sonora;laterale;alveolare;sonora
3251008;121;t;;salta;s a l t a;;;;;;;;occlusiva;alveolare;sorda;occlusiva;alveolare;sorda
3252066;121;a;;salta;s a l t a;;;;;;;;bassa;centrale;v;bassa;centrale;v
3256124;122;d;;di;d i;;;;;;;;occlusiva;alveolare;sonora;occlusiva;alveolare;sonora
3257535;122;i;;di;d i;;;;;;;;alta;anteriore;v;alta;anteriore;v
3262783;123;p;;più;p i u;;;;;;;;occlusiva;bilabiale;sorda;occlusiva;bilabiale;sorda
3264414;123;i;;più;p i u;;;;;;;;alta;anteriore;v;alta;anteriore;v
3269354;123;u;;più;p i u;;;;;;;;alta;posteriore;v;alta;posteriore;v
3278747;-1;<p:>;;;;;;;;;;;;;;;;
3313718;124;i;;Il;i l;;;;;;;;alta;anteriore;v;alta;anteriore;v
3317158;124;l;;Il;i l;;;;;;;;laterale;alveolare;sonora;laterale;alveolare;sonora
3324434;125;p;;piccolo;p i kk o l o;;;;;;;;occlusiva;bilabiale;sorda;occlusiva;bilabiale;sorda
3325890;125;i;;piccolo;p i kk o l o;;;;;;;;alta;anteriore;v;alta;anteriore;v
3338546;125;kk;;piccolo;p i kk o l o;;;;;;;;occlusiva;velare;sorda;occlusiva;velare;sorda
3339517;125;o;;piccolo;p i kk o l o;;;;;;;;medio-alta;posteriore;v;medio-alta;posteriore;v
3341766;125;l;;piccolo;p i kk o l o;;;;;;;;laterale;alveolare;sonora;laterale;alveolare;sonora
3344456;125;o;;piccolo;p i kk o l o;;;;;;;;medio-alta;posteriore;v;medio-alta;posteriore;v
3347146;126;r;;ragno;r a JJ o;;;;;;;;vibrante;alveolare;sonora;vibrante;alveolare;sonora
3352658;126;a;;ragno;r a JJ o;;;;;;;;bassa;centrale;v;bassa;centrale;v
3358083;126;JJ;;ragno;r a JJ o;;;;;;;;nasale;palatale;sonora;nasale;palatale;sonora
3370563;126;o;;ragno;r a JJ o;;;;;;;;medio-alta;posteriore;v;medio-alta;posteriore;v
3373915;-1;<p:>;;;;;;;;;;;;;;;;
3387630;127;t;;tesse;t E ss e;;;;;;;;occlusiva;alveolare;sorda;occlusiva;alveolare;sorda
3389041;127;E;;tesse;t E ss e;;;;;;;;medio-bassa;anteriore;v;medio-bassa;anteriore;v
3395612;127;ss;;tesse;t E ss e;;;;;;;;fricativa;alveolare;sorda;fricativa;alveolare;sorda
3408621;127;e;;tesse;t E ss e;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
3421499;128;E;;e;E;;;;;;;;medio-bassa;anteriore;v;medio-bassa;anteriore;v
3432568;129;t;;tace;t a tS e;;;;;;;;occlusiva;alveolare;sorda;occlusiva;alveolare;sorda
3434288;129;a;;tace;t a tS e;;;;;;;;bassa;centrale;v;bassa;centrale;v
3440506;129;tS;;tace;t a tS e;;;;;;;;affricata;postalveolare;sorda;affricata;postalveolare;sorda
3449767;129;e;;tace;t a tS e;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
3454618;-1;<p:>;;;;;;;;;;;;;;;;
3508464;130;a;;Arriva;a rr i v a;;;;;;;;bassa;centrale;v;bassa;centrale;v
3513579;130;r;;Arriva;a rr i v a;;;;;;;;vibrante;alveolare;sonora;vibrante;alveolare;sonora
3518474;130;i;;Arriva;a rr i v a;;;;;;;;alta;anteriore;v;alta;anteriore;v
3522884;130;v;;Arriva;a rr i v a;;;;;;;;fricativa;labiodentale;sonora;fricativa;labiodentale;sonora
3528176;130;a;;Arriva;a rr i v a;;;;;;;;bassa;centrale;v;bassa;centrale;v
3530337;131;i;;il;i l;;;;;;;;alta;anteriore;v;alta;anteriore;v
3532542;131;l;;il;i l;;;;;;;;laterale;alveolare;sonora;laterale;alveolare;sonora
3535806;132;m;;maiale;m a j a l e;;;;;;;;nasale;bilabiale;sonora;nasale;bilabiale;sonora
3540128;132;a;;maiale;m a j a l e;;;;;;;;bassa;centrale;v;bassa;centrale;v
3543347;132;j;;maiale;m a j a l e;;;;;;;;approssimante;palatale;sonora;approssimante;palatale;sonora
3551285;132;a;;maiale;m a j a l e;;;;;;;;bassa;centrale;v;bassa;centrale;v
3560987;132;l;;maiale;m a j a l e;;;;;;;;laterale;alveolare;sonora;laterale;alveolare;sonora
3564030;132;e;;maiale;m a j a l e;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
3569454;-1;<p:>;;;;;;;;;;;;;;;;
3581758;133;E;;e;E;;;;;;;;medio-bassa;anteriore;v;medio-bassa;anteriore;v
3584448;134;L;;gli;L i;;;;;;;;approssimante laterale;velare;sonora;approssimante laterale;velare;sonora
3589299;134;i;;gli;L i;;;;;;;;alta;anteriore;v;alta;anteriore;v
3594591;135;d;;dice;d i tS e;;;;;;;;occlusiva;alveolare;sonora;occlusiva;alveolare;sonora
3597413;135;i;;dice;d i tS e;;;;;;;;alta;anteriore;v;alta;anteriore;v
3601338;135;tS;;dice;d i tS e;;;;;;;;affricata;postalveolare;sorda;affricata;postalveolare;sorda
3605925;135;e;;dice;d i tS e;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
3611702;-1;<p:>;;;;;;;;;;;;;;;;
3624182;136;g;;Gronf;g r o n f;;;;;;;;occlusiva;velare;sonora;occlusiva;velare;sonora
3625373;136;r;;Gronf;g r o n f;;;;;;;;vibrante;alveolare;sonora;vibrante;alveolare;sonora
3630488;136;o;;Gronf;g r o n f;;;;;;;;medio-alta;posteriore;v;medio-alta;posteriore;v
3637589;136;n;;Gronf;g r o n f;;;;;;;;nasale;alveolare;sonora;nasale;alveolare;sonora
3642395;136;f;;Gronf;g r o n f;;;;;;;;fricativa;labiodentale;sorda;fricativa;labiodentale;sorda
