BEGIN;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD;Modo di articolazione;Luogo di articolazione;Sonorit�;Modo di articolazione;Luogo di articolazione;Sonorit�
518837;16;w;;buon;b w O n;;;;;;;;approssimante;labio-velare;sonora;approssimante;labio-velare;sonora
522673;16;O;;buon;b w O n;;;;;;;;medio-bassa;posteriore;v;medio-bassa;posteriore;v
526466;16;n;;buon;b w O n;;;;;;;;nasale;alveolare;sonora;nasale;alveolare;sonora
528803;17;m;;mattino;m a tt i n o;;;;;;;;nasale;bilabiale;sonora;nasale;bilabiale;sonora
529862;17;a;;mattino;m a tt i n o;;;;;;;;bassa;centrale;v;bassa;centrale;v
534492;17;tt;;mattino;m a tt i n o;;;;;;;;occlusiva;alveolare;sorda;occlusiva;alveolare;sorda
542739;17;i;;mattino;m a tt i n o;;;;;;;;alta;anteriore;v;alta;anteriore;v
552529;17;n;;mattino;m a tt i n o;;;;;;;;nasale;alveolare;sonora;nasale;alveolare;sonora
556013;17;o;;mattino;m a tt i n o;;;;;;;;medio-alta;posteriore;v;medio-alta;posteriore;v
560996;-1;<p:>;;;;;;;;;;;;;;;;
578945;18;E;;e;E;;;;;;;;medio-bassa;anteriore;v;medio-bassa;anteriore;v
584501;19;p;;porta;p O r t a;;;;;;;;occlusiva;bilabiale;sorda;occlusiva;bilabiale;sorda
585826;19;O;;porta;p O r t a;;;;;;;;medio-bassa;posteriore;v;medio-bassa;posteriore;v
593410;19;r;;porta;p O r t a;;;;;;;;vibrante;alveolare;sonora;vibrante;alveolare;sonora
600201;19;t;;porta;p O r t a;;;;;;;;occlusiva;alveolare;sorda;occlusiva;alveolare;sorda
602935;19;a;;porta;p O r t a;;;;;;;;bassa;centrale;v;bassa;centrale;v
608007;20;k;;con;k o n;;;;;;;;occlusiva;velare;sorda;occlusiva;velare;sorda
609638;20;O;;con;k o n;;;;;;;;medio-bassa;posteriore;v;medio-bassa;posteriore;v
613255;20;n;;con;k o n;;;;;;;;nasale;alveolare;sonora;nasale;alveolare;sonora
616253;21;s;;sé;s e;;;;;;;;fricativa;alveolare;sorda;fricativa;alveolare;sorda
624324;21;e;;sé;s e;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
632085;-1;<p:>;;;;;;;;;;;;;;;;
636804;22;s;;sopra;s o p r a;;;;;;;;fricativa;alveolare;sorda;fricativa;alveolare;sorda
643992;22;o;;sopra;s o p r a;;;;;;;;medio-alta;posteriore;v;medio-alta;posteriore;v
649108;22;p;;sopra;s o p r a;;;;;;;;occlusiva;bilabiale;sorda;occlusiva;bilabiale;sorda
651092;22;r;;sopra;s o p r a;;;;;;;;vibrante;alveolare;sonora;vibrante;alveolare;sonora
653253;22;a;;sopra;s o p r a;;;;;;;;bassa;centrale;v;bassa;centrale;v
655899;23;i;;i;i;;;;;;;;alta;anteriore;v;alta;anteriore;v
659604;24;k;;campi;k a m p i;;;;;;;;occlusiva;velare;sorda;occlusiva;velare;sorda
662338;24;a;;campi;k a m p i;;;;;;;;bassa;centrale;v;bassa;centrale;v
669438;24;m;;campi;k a m p i;;;;;;;;nasale;bilabiale;sonora;nasale;bilabiale;sonora
676097;24;p;;campi;k a m p i;;;;;;;;occlusiva;bilabiale;sorda;occlusiva;bilabiale;sorda
680331;24;i;;campi;k a m p i;;;;;;;;alta;anteriore;v;alta;anteriore;v
684079;-1;<p:>;;;;;;;;;;;;;;;;
692061;25;i;;il;i l;;;;;;;;alta;anteriore;v;alta;anteriore;v
744496;25;l;;il;i l;;;;;;;;laterale;alveolare;sonora;laterale;alveolare;sonora
706614;26;p;;piccolo;p i kk o l o;;;;;;;;occlusiva;bilabiale;sorda;occlusiva;bilabiale;sorda
708378;26;i;;piccolo;p i kk o l o;;;;;;;;alta;anteriore;v;alta;anteriore;v
717816;26;kk;;piccolo;p i kk o l o;;717815;;;;;;occlusiva;velare;sorda;occlusiva;velare;sorda
677508;26;o;;piccolo;p i kk o l o;;;;;;;;medio-alta;posteriore;v;medio-alta;posteriore;v
724960;26;l;;piccolo;p i kk o l o;;;;;;;;laterale;alveolare;sonora;laterale;alveolare;sonora
687475;26;o;;piccolo;p i kk o l o;;;;;;;;medio-alta;posteriore;v;medio-alta;posteriore;v
732810;27;r;;ragno;r a JJ o;;;;;;;;vibrante;alveolare;sonora;vibrante;alveolare;sonora
735941;27;a;;ragno;r a JJ o;;;;;;;;bassa;centrale;v;bassa;centrale;v
740395;27;JJ;;ragno;r a JJ o;;;;;;;;nasale;palatale;sonora;nasale;palatale;sonora
756359;27;o;;ragno;r a JJ o;;;;;;;;medio-alta;posteriore;v;medio-alta;posteriore;v
802488;-1;<p:>;;;;;;;;;;;;;;;;
808309;28;k;;Con;k o n;;;;;;;;occlusiva;velare;sorda;occlusiva;velare;sorda
809147;28;o;;Con;k o n;;;;;;;;medio-alta;posteriore;v;medio-alta;posteriore;v
812366;28;n;;Con;k o n;;;;;;;;nasale;alveolare;sonora;nasale;alveolare;sonora
813733;29;l;;l’;l;;;;;;;;laterale;alveolare;sonora;laterale;alveolare;sonora
819202;30;a;;argenteo;a r dZ E n t e o;;;;;;;;bassa;centrale;v;bassa;centrale;v
818540;30;r;;argenteo;a r dZ E n t e o;;;;;;;;vibrante;alveolare;sonora;vibrante;alveolare;sonora
830271;30;dZ;;argenteo;a r dZ E n t e o;;;;;;;;affricata;postalveolare;sonora;affricata;postalveolare;sonora
832211;30;E;;argenteo;a r dZ E n t e o;;;;;;;;medio-bassa;anteriore;v;medio-bassa;anteriore;v
837856;30;n;;argenteo;a r dZ E n t e o;;;;;;;;nasale;alveolare;sonora;nasale;alveolare;sonora
846764;30;t;;argenteo;a r dZ E n t e o;;;;;;;;occlusiva;alveolare;sorda;occlusiva;alveolare;sorda
848396;30;e;;argenteo;a r dZ E n t e o;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
850689;30;o;;argenteo;a r dZ E n t e o;;;;;;;;medio-alta;posteriore;v;medio-alta;posteriore;v
855143;31;f;;filo;f i l o;;;;;;;;fricativa;labiodentale;sorda;fricativa;labiodentale;sorda
861582;31;i;;filo;f i l o;;;;;;;;alta;anteriore;v;alta;anteriore;v
