word,phoneme,phoneme_surprisal
innamorato,nn,4.109497296489869
innamorato,a,0.22531283698277793
innamorato,m,0.005423111282750652
innamorato,o,-0.0
innamorato,r,-0.0
innamorato,a,0.000552756827681228
innamorato,t,0.000674381425576669
innamorato,o,0.7287314631406159
se,s,4.492335626410565
se,e,3.436851570975261
vuoi,v,3.5248883554555643
vuoi,w,0.6541292720280275
vuoi,O,-0.0
vuoi,i,0.041992472617320434
una,u,5.1123155586646964
una,n,0.1437761307385705
una,a,2.5772915404235266
qualche,k,3.0389970063977896
qualche,w,5.699764299690638
qualche,a,0.4501664605659857
qualche,l,0.28929482906354137
qualche,k,1.2658426848204754
qualche,e,0.031063306101015355
ragazza,r,4.635688605388864
ragazza,a,0.7751686369014074
ragazza,g,0.3627445725709007
ragazza,a,0.000751980743288859
ragazza,tts,-0.0
ragazza,a,0.15422113804862234
dimmelo,d,3.9531570995229175
dimmelo,i,1.2908839251114483
dimmelo,mm,13.339258018566314
dimmelo,e,9.078687707594153
dimmelo,l,-0.0
dimmelo,o,-0.0
è,E,6.8978856642503565
te,t,3.4453028547832374
te,e,2.973562971671955
la,l,1.5018707651251306
la,a,2.180946458394157
farò,f,3.2956573097363986
farò,a,0.16842273523230875
farò,r,3.090065575961789
farò,O,19.931568569324174
sposare,s,3.4244994943774367
sposare,p,4.689641340516028
sposare,o,1.7751320946629912
sposare,z,0.19777395977949638
sposare,a,0.009387637398126454
sposare,r,0.16497249491107172
sposare,e,0.5644413125255481
fosse,f,6.284070450469784
fosse,O,4.543026405391883
fosse,ss,3.111775895775388
fosse,e,1.1417988476553902
la,l,3.4481369026517235
la,a,1.0123831163467707
figlia,f,4.083795416225401
figlia,i,1.3267146643199743
figlia,LL,0.8050131107077901
figlia,a,0.039912337601324205
del,d,1.4728967936335016
del,e,1.0189886042810703
del,l,0.8330758291342107
re,r,1.2809602185034406
re,e,0.05113759512987475
più,p,4.6607073848839145
più,j,3.743905809861356
più,u,0.5389689532656079
potente,p,3.8784054928624783
potente,o,2.047735357000265
potente,t,0.13275805387426245
potente,E,0.012031841593725988
potente,n,-0.0
potente,t,0.0006958150306629792
potente,e,0.04292078090628215
della,d,1.4161661447127043
della,e,0.5048924650189349
della,ll,1.3398165321142694
della,a,0.7826158418956196
terra,t,2.0021277048054476
terra,E,0.39919120353017085
terra,rr,0.009825539849435622
terra,a,0.0008613233011817954
ho,O,8.780151850410176
la,l,2.7316187358947963
la,a,0.7793148987685791
più,p,3.6629089611666803
più,j,3.9703687755727306
più,u,0.12684363554224004
povera,p,2.751119940722353
povera,O,3.682256267579171
povera,v,0.11871449082416564
povera,e,-0.0
povera,r,-0.0
povera,a,0.3908791851524467
contadina,k,3.415136730258468
contadina,o,3.3253203686509565
contadina,n,2.046522845657215
contadina,t,2.7975341383210055
contadina,a,1.1650604069805017
contadina,d,0.08608996696355889
contadina,i,0.001329781855423366
contadina,n,-0.0
contadina,a,0.045821634251037024
no,n,4.9998378775810295
no,O,6.468460591985535
padre,p,4.672696913048581
padre,a,3.1385133261779776
padre,d,1.8163725022087844
padre,r,0.00633054993618808
padre,e,0.07046506960813631
non,n,3.440413562366015
non,O,0.2537608777677779
non,n,0.26196586730391147
sono,s,3.9673291784855795
sono,O,3.981232495530963
sono,n,0.025670937488042073
sono,o,3.880590902197128e-05
innamorato,i,3.486774714109572
innamorato,nn,1.9522552762934167
innamorato,a,0.01768498074745908
innamorato,m,0.0004864320614018295
innamorato,o,-0.0
innamorato,r,-0.0
innamorato,a,4.582409401681044e-05
innamorato,t,0.011235256270354658
innamorato,o,1.3223281581081574
è,E,6.576660596552423
il,i,3.500083591703565
il,l,2.042457707961652
re,r,1.159317594856326
re,e,0.06711407808687986
é,e,12.06002885743118
a,a,8.45329125520877
riprovare,r,6.325971161758212
riprovare,i,0.8912236174666944
riprovare,p,3.093755747906711
riprovare,r,2.9603204330387336
riprovare,o,3.6248918434963966
riprovare,v,1.165702844962657
riprovare,a,-0.0
riprovare,r,-0.0
riprovare,e,-0.0
tutti,t,4.9425870224495005
tutti,u,1.1260157050877335
tutti,tt,0.6318630347679753
tutti,i,1.8429939329591203
i,i,1.2968757667366122
modi,m,3.8667077794317786
modi,O,2.817861852642691
modi,d,0.6946989152369552
modi,i,0.008908009741040415
per,p,2.436188036774672
per,e,0.16999547404395235
per,r,0.062238762075610375
distrarlo,d,4.305647568483964
distrarlo,i,0.9393132571932782
distrarlo,s,2.9120607435368653
distrarlo,t,0.5855551527743261
distrarlo,r,0.08251384197733802
distrarlo,a,2.505586842936792
distrarlo,r,1.3244084138774637
distrarlo,l,1.6112520542606403
distrarlo,o,-0.0
teatri,t,5.030914949586396
teatri,e,3.8587002295737145
teatri,a,10.77333041515598
teatri,t,-0.0
teatri,r,-0.0
teatri,i,4.637449000657386
balli,b,5.74717877743327
balli,a,1.9152332736492228
balli,ll,3.9697518859592296
balli,i,2.715889086799297
musiche,m,5.42003779731961
musiche,u,3.1863748747584455
musiche,z,0.5611115903732106
musiche,i,0.022470899436331692
musiche,k,-0.0
musiche,e,4.323999791439489
canti,k,3.570741203054405
canti,a,1.2233755033464941
canti,n,0.7735387797775176
canti,t,1.8596759970187382
canti,i,1.6853164899178994
ma,m,4.566825047812224
ma,a,2.4494066940110555
nulla,n,3.1760024218710385
nulla,u,5.175802015299795
nulla,ll,0.0779248663588833
nulla,a,0.0010198416651622485
serviva,s,3.170253575825984
serviva,e,3.0061758173268003
serviva,r,4.502937784223281
serviva,v,0.26901015401045525
serviva,i,0.005193643018974705
serviva,v,1.2214022890174776
serviva,a,0.16683196918183144
è,E,7.2585594244725975
dal,d,4.878857265668193
dal,a,2.257061423080167
dal,l,3.0080308175021635
viso,v,4.585403203720941
viso,i,1.1497824554165497
viso,z,1.7877772439293285
viso,o,0.011737369075931028
del,d,2.106377925221796
del,e,0.8486053507529813
del,l,1.1025965265254325
principe,p,3.009637589190686
principe,r,0.733484528995076
principe,i,0.14527807465748388
principe,n,0.05979357261900087
principe,tS,-0.0
principe,i,-0.0
principe,p,-0.0
principe,e,0.010764305727193618
di,d,3.6217445990131245
di,i,1.5488518854229065
giorno,dZ,6.619554531334254
giorno,o,2.0003318513300057
giorno,r,0.6444417224641417
giorno,n,0.0006242820798600967
giorno,o,0.4394259737714059
in,i,3.525422986305932
in,n,2.2791703422707568
giorno,dZ,0.9976379561219827
giorno,o,0.023970983710879388
giorno,r,0.0005955376690430574
giorno,n,5.248753685805787e-07
giorno,o,0.0034610032547238035
scompariva,s,2.890981688909914
scompariva,k,4.157905225876944
scompariva,o,1.6363773964205153
scompariva,m,1.9761434243524436
scompariva,p,0.006653910244095027
scompariva,a,0.05575882933561958
scompariva,r,0.03025082415710116
scompariva,i,3.449852499851543
scompariva,v,1.4726384013470393
scompariva,a,0.1008014864140198
il,i,2.2102135020523757
il,l,0.5596482659043643
color,k,3.319454860456494
color,o,2.675833252627186
color,l,1.5252201263175578
color,o,0.49608399979539525
color,r,4.798597303699863
di,d,3.7564537415578165
di,i,1.912886926935532
rosa,r,4.72841113429012
rosa,O,2.1195122566085884
rosa,z,0.08872891373286136
rosa,a,0.0063175796465666165
il,i,4.232421691970725
il,l,2.0117427818768197
re,r,2.4060398390376228
re,e,0.335644291401755
mise,m,4.95398976534174
mise,i,0.808188593246114
mise,z,6.308150928705385
mise,e,0.40672860539490496
fuori,f,5.54720560155606
fuori,w,1.3796810223086142
fuori,O,-0.0
fuori,r,0.008691984422936875
fuori,i,0.0017557484870527745
un,u,2.664875672931787
un,n,0.4064868164607327
editto,e,7.524155542247145
editto,d,5.459641183850928
editto,i,1.182048424698843
editto,tt,1.8547267699340546
editto,o,-0.0
è,E,11.812065647278388
da,d,3.8597470117115544
da,a,3.0832228725665822
tutte,t,5.753738264456198
tutte,u,2.1553688755293225
tutte,tt,0.060314360855331074
tutte,e,3.0367637134409677
le,l,0.12176607897572857
le,e,0.043689486321534764
parti,p,2.144008203733431
parti,a,0.34705551034961074
parti,r,0.030267706962417408
parti,t,0.03898033155204728
parti,i,0.0038532614824869508
del,d,1.7353745271994991
del,e,0.39591023743365666
del,l,0.8668158672142213
mondo,m,2.5952453523243553
mondo,o,0.23872605848948716
mondo,n,0.006811563477350574
mondo,d,0.013368157873828784
mondo,o,0.00024354834380608257
venne,v,4.846527822825049
venne,E,3.7445614076402505
venne,nn,0.9710490649898663
venne,e,0.012622932944634829
la,l,4.953780981254168
la,a,2.1864323656455062
gente,dZ,5.795946712595716
gente,E,2.0626336824592646
gente,n,0.13129920199084147
gente,t,0.052938186974580026
gente,e,0.01035101844181993
più,p,3.8809123409148194
più,j,1.6704275152488046
più,u,1.0985825979339416
istruita,i,4.124651889446252
istruita,s,3.8912586901696224
istruita,t,0.03218926904717802
istruita,r,0.015480228952444953
istruita,u,5.363636896543595e-05
istruita,i,0.0023026961421996573
istruita,t,0.0006173661383302824
istruita,a,0.18667625257050266
filosofi,f,6.980285697901902
filosofi,i,1.6438632793658088
filosofi,l,4.893076794710001
filosofi,O,4.371157050079252
filosofi,z,-0.0
filosofi,o,-0.0
filosofi,f,-0.0
filosofi,i,2.45587146547881
dottori,d,4.976717703306089
dottori,o,4.587813887894401
dottori,tt,2.5605779500574775
dottori,o,1.2188986369346466
dottori,r,-0.0
dottori,i,0.06854728007196803
è,E,10.065052121201909
professori,p,2.6485904044469075
professori,r,2.538281991929416
professori,o,1.4827999321517757
