BEGIN,Zipf_freq,type_of_words,word
4680377.1,1.734991274,content,paperetta
4697973.0,7.259198169,function,non
4705381.8,3.958450129,content,vedeva
4727696.399999999,6.912435835,function,per
4733385.3,6.061505616,function,niente
4774442.399999999,7.039560886,function,il
4791244.5,4.449560513,content,lupo
4796845.2,3.958450129,content,vedeva
4819644.9,7.065833912,function,un
4861187.1,4.478164941,content,animale
4888705.5,4.872797352,content,grosso
4898142.9,4.90302551,content,brutto
4949563.5,2.741151583,function,e
4958780.4,3.407089132,content,peloso
4965615.9,6.624997683,function,le
4999661.1,5.832035278,function,cui
5010994.8,4.1007466,content,intenzioni
5033882.7,6.912435835,function,per
5047641.9,6.235566848,function,lei
5060254.5,5.476165392,function,erano
5075424.9,4.822772692,function,fin
5126272.2,5.669092764,function,troppo
5159611.8,3.228349728,content,evidenti
5163448.5,2.942971678,content,spingerla
5246665.2,6.797274494,function,in
5255088.3,5.23681316,content,acqua
5277976.2,7.039560886,function,il
5313741.3,6.237129549,content,fatto
5320841.399999999,7.249521761,function,è
5385756.600000001,6.335583043,function,al
5392989.0,5.627006329,content,momento
5402823.3,7.259198169,function,non
5426725.5,6.553884221,function,si
5438456.1,4.092653922,content,trovava
5455522.8,4.898280464,function,nello
5456404.8,6.123059474,content,stato
5473206.899999999,5.87641417,function,d
5498299.8,3.865784371,content,animo
5506326.0,4.063662057,content,ideale
5582530.8,6.912435835,function,per
5593070.7,2.533345911,content,bagnarsi
5612783.4,6.287788074,function,così
5617369.8,1.491953226,content,spiccò
5627997.9,7.065833912,function,un
5671304.1,5.00500427,content,gran
5674567.500000001,4.36860399,content,salto
5687797.5,2.741151583,function,e
5694985.8,4.231723291,content,andò
5724444.600000001,7.004335738,function,a
5731456.5,3.689922594,content,beccare
5749934.399999999,7.039560886,function,il
5757034.499999999,4.637615696,content,naso
5827109.399999999,6.41186379,function,del
5835885.3,4.449560513,content,lupo
5856480.000000001,6.517126939,function,ci
5872311.899999999,3.850364012,content,mise
5875354.800000001,6.306603623,function,tutto
5902917.300000001,6.640107629,function,l
5952882.6,4.250107848,content,impegno
5955660.9,5.26961562,content,possibile
5966553.6,2.741151583,function,e
5989838.4,7.039560886,function,il
6009948.0,4.449560513,content,lupo
6020532.0,3.792440014,content,colto
6081301.8,6.135386161,function,alla
6115523.4,3.270104476,content,sprovvista
6123020.399999999,2.065984493,content,ululando
6165003.6,2.741151583,function,e
6209059.499999999,2.065984493,content,ululando
6216027.3,2.965440196,content,fuggì
6231109.499999999,7.004335738,function,a
6307358.4,3.854152865,content,zampe
6312209.399999999,3.175450543,content,levate
6346960.2,6.640107629,function,l
6357676.5,3.698104207,content,anatra
6391986.300000001,7.039560886,function,il
6403849.199999999,4.503840711,content,gatto
6432337.8,7.039560886,function,il
6438070.8,5.020066123,content,cane
6446096.999999999,2.741151583,function,e
6490417.500000001,7.039560886,function,il
6525344.7,3.919277012,content,tacchino
6536678.399999999,2.808971327,content,uscirono
6587834.399999999,4.434333372,function,dallo
6606444.600000001,3.560139087,content,stagno
6645869.999999999,1.588863239,content,mogi
6678548.100000001,1.588863239,content,mogi
6679871.100000001,1.588863239,content,grondanti
6721060.5,5.87641417,function,d
6726837.6,5.23681316,content,acqua
6735878.100000001,2.741151583,function,e
6742581.3,6.583110863,function,se
6772084.2,6.201935117,function,ne
6840042.300000001,3.513142525,content,andarono
6847142.4,5.774643298,function,via
6894946.800000001,7.039560886,function,il
6901738.2,6.237129549,content,fatto
6908132.699999999,7.249521761,content,è
6915629.7,7.250456545,function,che
6966653.399999999,7.055331658,function,la
6973047.9,5.003101004,content,giornata
6981030.000000001,6.553884221,function,si
7001183.7,6.283626334,function,era
7045945.199999999,5.238100711,content,fatta
7050796.2,5.484893151,content,bella
7058646.0,2.741151583,function,e
7082239.5,7.039560886,function,il
7118754.3,4.889371768,content,sole
7120871.100000001,1.792983221,content,scaldava
7175378.699999999,6.640107629,function,l
7180229.7,5.026360125,content,aria
7191960.3,2.741151583,function,e
7241308.2,6.135386161,function,alla
7275309.300000001,1.734991274,content,paperetta
7301548.800000001,5.485224084,function,nulla
7311074.399999999,3.255381219,content,sembrò
7373872.8,6.382555861,function,più
7379473.5,3.623892521,content,opportuno
7409461.499999999,7.250456545,function,che
7416517.500000001,4.713237025,content,farsi
7427498.4,7.065833912,function,un
7463307.6,5.34960228,content,bel
7477596.0,3.023432143,content,bagnetto
859685.4,4.898280464,function,nello
,3.560139087,content,stagno
