BEGIN,surprisal,word
103282.2,9.489461898803713,fatto
129918.6,30.35232925415039,è
226894.5,3.789275884628296,fatto
271435.5,0.7187305092811584,è
290354.4,26.306610107421875,paperetta
396635.4,9.493751525878906,decisa
438265.8,17.279626846313477,tuffarsi
480425.4,12.430900573730469,stagno
579033.0,20.696985244750977,anatra
636407.1,10.457249641418455,bordo
669614.4,7.363102912902832,specchio
695236.5,1.6134263277053833,acqua
750934.7999999999,20.40614891052246,spiegò
798871.4999999999,11.359172821044922,pazienza
862640.1,8.136505126953125,vantaggi
896332.5,10.245227813720703,nuoto
996660.0,13.643478393554688,riuscì
1047683.7,10.753500938415527,convincerla
1118684.7,8.571014404296875,vedendo
1171913.4,8.680856704711914,buone
1209618.9,15.455296516418455,otteneva
1280355.3,3.4675021171569824,decise
1409788.8,17.107425689697266,spingerla
1468089.0,6.16877555847168,acqua
1605284.1,14.47235107421875,successo
1682018.1,2.0569777488708496,punto
1712535.3,0.3585171997547149,anatra
1782477.9,24.354692459106445,indispettita
1802543.4,11.25539207458496,chiamò
1829664.9,4.0842132568359375,aiuto
1907325.0,15.178275108337402,gatto
1928801.7,0.4332365095615387,gatto
1952483.4,12.974725723266602,spinse
1996583.4,4.046032905578613,anatra
2032348.5,14.452787399291992,spingeva
2089105.2,4.155800819396973,paperetta
2209145.4,8.370950698852539,mosse
2244028.5,17.860050201416016,Chiamarono
2323276.2,8.098248481750488,cane
2358556.2,9.575342178344728,spinse
2416018.5,2.207547187805176,gatto
2459633.4,4.177425384521484,spingeva
2512509.3,0.7754116058349609,anatra
2552993.1,2.815883159637451,spingeva
2613895.2,0.1283166855573654,paperetta
2642957.1,9.091856002807615,sembrava
2668050.0,18.41963005065918,incollata
2757308.4,3.9328689575195312,terra
2828177.1,12.894428253173828,arrivò
2907998.1,12.346199035644531,tacchino
2936442.6,9.966273307800291,spinse
2990641.5,6.312714099884033,cane
3030066.9,4.16156816482544,spingeva
3092556.6,1.056114673614502,gatto
3134980.8,1.566423416137695,spingeva
3192575.4,0.8431436419487,anatra
3232353.6,1.908505082130432,spingeva
3305780.1,2.9620327949523926,paperetta
3362669.1,10.932580947875977,spostava
3455146.8,2.966887950897217,millimetro
3537084.6,16.953096389770508,sembrò
3624138.0,9.658886909484863,resistenza
3667841.1,8.657529830932617,venir
3739150.8,2.438627958297729,tacchino
3769182.9,14.8924560546875,incominciò
3813679.8,8.79568862915039,urlare
3851870.4,9.316204071044922,lupo
3903379.2,4.163910865783691,lupo
3954799.8,16.43577766418457,tuffarono
4036781.7,2.802476644515991,stagno
4173227.1,0.9407048225402832,paperetta
4192807.5,7.472341537475586,rimase
4291679.699999999,1.8568147420883176,posto
4334809.5,3.5393757820129395,anatra
4384995.300000001,2.5389838218688965,gatto
4435666.199999999,3.2684364318847656,cane
4489159.5,1.8952820301055908,tacchino
4539389.399999999,22.669313430786133,urlarono
4570744.5,28.136268615722656,Buttati
4583357.1,0.9605971574783324,è
4634910.0,7.158190727233887,lupo
4680377.1,1.0121597051620483,paperetta
4705381.8,11.87017822265625,vedeva
4791244.5,10.178034782409668,lupo
4796845.2,11.451653480529783,vedeva
4861187.1,7.418307304382324,animale
4888705.5,10.82538604736328,grosso
4898142.9,8.117624282836914,brutto
4958780.4,12.882275581359863,peloso
5010994.8,15.300235748291016,intenzioni
5159611.8,10.898542404174805,evidenti
5163448.5,15.098655700683594,spingerla
5255088.3,1.1519464254379272,acqua
5313741.3,5.419639587402344,fatto
5392989.0,4.061627388000488,momento
5438456.1,6.84126615524292,trovava
5456404.8,8.328003883361816,stato
5498299.8,2.452486753463745,animo
5506326.0,12.969822883605955,ideale
5593070.7,20.219444274902344,bagnarsi
5617369.8,21.735008239746094,spiccò
5671304.1,9.70095920562744,gran
5674567.500000001,7.094306468963623,salto
5694985.8,11.24761199951172,andò
5731456.5,12.522151947021484,beccare
5757034.499999999,5.254383563995361,naso
5835885.3,3.859255790710449,lupo
5872311.899999999,9.272993087768556,mise
5952882.6,10.546107292175291,impegno
5955660.9,9.66518783569336,possibile
6009948.0,3.988813161849976,lupo
6020532.0,13.519036293029783,colto
6115523.4,11.839658737182615,sprovvista
6123020.399999999,25.7474308013916,ululando
6209059.499999999,16.69890022277832,ululando
6216027.3,16.73981285095215,fuggì
6307358.4,14.60549545288086,zampe
6312209.399999999,20.931659698486328,levate
6357676.5,2.4171831607818604,anatra
6403849.199999999,2.2359323501586914,gatto
6438070.8,1.6382344961166382,cane
6525344.7,0.4405881464481354,tacchino
6536678.399999999,8.291814804077148,uscirono
6606444.600000001,3.467695474624634,stagno
6645869.999999999,20.99750518798828,mogi
6678548.100000001,24.74053192138672,mogi
6679871.100000001,23.859220504760746,grondanti
6726837.6,3.402235507965088,acqua
6840042.300000001,3.221110820770264,andarono
6901738.2,4.60199499130249,fatto
6908132.699999999,0.8438208103179932,è
6973047.9,11.492349624633787,giornata
7045945.199999999,5.375813961029053,fatta
7050796.2,9.163407325744627,bella
7118754.3,7.307648181915283,sole
7120871.100000001,18.45820999145508,scaldava
7180229.7,2.904806613922119,aria
7275309.300000001,4.508135795593262,paperetta
7311074.399999999,12.59868049621582,sembrò
7379473.5,9.072587966918944,opportuno
7416517.500000001,11.479880332946776,farsi
7463307.6,5.192734241485596,bel
7477596.0,14.933902740478516,bagnetto
,1.5251407623291016,stagno
