BEGIN,entropy,word
98343.0,12.273460388183594,camicia
133623.0,8.273003578186035,uomo
145971.0,6.945778846740723,contento
235053.0,8.48563289642334,Re
256662.0,8.975092887878418,aveva
276507.0,8.987763404846191,figlio
287973.0,6.184275150299072,unico
332514.0,6.078457355499268,voleva
380142.0,7.97723388671875,luce
412776.0,4.887659072875977,occhi
466137.0,7.0987958908081055,Principe
508473.0,3.886486053466797,scontento
571095.0,5.0970072746276855,Passava
590499.0,6.887110710144043,giornate
605052.0,6.779240608215332,intere
622378.0,4.796844959259033,affacciato
649152.0,5.487176418304443,balcone
678258.0,8.820103645324707,guardare
780570.0,6.17589807510376,manca
807030.0,3.122135877609253,chiedeva
830844.0,4.239715576171875,Re
865683.0,3.8511404991149902,hai
918603.0,4.356307506561279,so
929187.0,6.427400588989258,padre
971082.0,2.574814319610596,so
1047516.0,5.6162109375,innamorato
1102941.0,6.239645957946777,vuoi
1136016.0,6.541942119598389,ragazza
1155861.0,6.472872734069824,dimmelo
1198197.0,8.548307418823242,farò
1209663.0,5.863698959350586,sposare
1267875.0,6.804893493652344,figlia
1288602.0,4.774428367614746,Re
1307124.0,6.415635108947754,potente
1335348.0,5.329725742340088,terra
1376802.0,6.764674663543701,povera
1391796.0,4.310294628143311,contadina
1460592.0,4.224611759185791,padre
1490580.0,5.499613285064697,innamorato
1564668.0,5.222007751464844,Re
1576575.0,6.009525775909424,riprovare
1614060.0,5.893590927124023,modi
1632582.0,5.519073486328125,distrarlo
1683812.0,6.80023717880249,Teatri
1705788.0,5.6601881980896,balli
1726074.0,6.867610931396484,musiche
1751211.0,6.809860229492188,canti
1802808.0,5.317683219909668,serviva
1852200.0,7.85919713973999,viso
1869399.0,3.668580293655396,Principe
1895859.0,10.21595287322998,giorno
1914381.0,2.3933582305908203,giorno
1929816.0,4.017314910888672,scompariva
1969065.0,6.581521987915039,color
1992879.0,6.866796970367432,rosa
2053737.0,4.839716911315918,Re
2061234.0,7.816092491149902,mise
2090781.0,5.192890167236328,editto
2149875.0,4.55873441696167,parti
2168838.0,6.119166851043701,mondo
2185155.0,7.996469497680664,venne
2201472.0,8.26917839050293,gente
2221656.0,4.502175331115723,istruita
2274695.0,5.276702880859375,filosofi
2304225.0,7.080070018768311,dottori
2334213.0,5.899206161499023,professori
2403891.0,5.289077281951904,mostrò
2426823.0,6.326415061950684,Principe
2452842.0,3.66499137878418,domandò
2472687.0,4.491294860839844,consiglio
2556477.0,4.783157825469971,ritirarono
2584260.0,6.184695720672607,pensare
2621304.0,4.004049777984619,tornarono
2660994.0,5.174770832061768,Re
2709945.0,6.810139656066895,Maestà
2760219.0,6.792616844177246,pensato
2812257.0,5.687028884887695,letto
2829456.0,5.643927574157715,stelle
2910159.0,4.27636194229126,fare
2954700.0,4.715929985046387,Cercate
2980719.0,8.69719409942627,uomo
3006297.0,6.311066627502441,contento
3052161.0,5.737961769104004,contento
3136392.0,6.760778903961182,cambiate
3164616.0,5.794933795928955,camicia
3205188.0,4.611295223236084,figlio
3295152.0,5.677462577819824,giorno
3308382.0,6.4673752784729,stesso
3332637.0,3.391268014907837,Re
3339693.0,6.874061584472656,mandò
3361743.0,3.65278697013855,ambasciatori
3420396.0,1.091610550880432,mondo
3440241.0,9.269073486328123,cercare
3464496.0,7.287562370300293,uomo
3472875.0,4.45955228805542,contento
3527559.0,8.724297523498535,condotto
3556224.0,7.201473236083984,prete
3602088.0,5.491918563842773,contento
3644424.0,2.4153614044189453,domandò
3668238.0,3.152668237686157,Re
3725568.0,3.4755682945251465,Maestà
3823029.0,6.2105865478515625,avresti
3838905.0,6.69762134552002,piacere
3860073.0,8.639250755310059,diventare
3889620.0,5.759233474731445,vescovo
3962385.0,2.836912155151367,Maestà
3999429.0,6.43547248840332,Va'
4066461.0,4.805472373962402,Cerco
4083219.0,7.382416725158691,uomo
4095126.0,3.461883544921875,felice
4113207.0,6.19833517074585,contento
4151133.0,6.501059055328369,stato
4224339.0,8.689469337463379,star
4310334.0,6.158425807952881,Re
4327533.0,7.816745281219482,prese
4342086.0,7.038860321044922,aspettare
,1.8601374626159668,era
4441752.0,8.260994911193848,altro
4454100.0,7.384449481964111,Re
4471299.0,4.673404693603516,vicino
4500405.0,7.041603088378906,dissero
4561924.0,7.172276020050049,felice
4581108.0,5.8329596519470215,contento
4624326.0,6.161816596984863,aveva
4645053.0,7.603285789489746,moglie
4660488.0,6.2512946128845215,bella
4675923.0,6.079625129699707,buona
4707675.0,6.392636299133301,mucchio
4725756.0,6.821056842803955,figli
4763241.0,6.507849216461182,vinto
4791024.0,6.44797420501709,nemici
4812633.0,4.993206024169922,guerra
4845267.0,6.413973808288574,paese
4861143.0,6.449429988861084,stava
4882752.0,5.692549705505371,pace
4972892.0,4.2051215171813965,Re
4989915.0,8.072736740112305,pieno
5005350.0,9.338753700256348,speranza
5037984.0,4.550946235656738,mandò
5055183.0,0.3457219302654266,ambasciatori
5090022.0,4.829437732696533,chiedergli
5116482.0,5.39519739151001,camicia
5187483.0,4.764524936676025,Re
5210856.0,6.944732189178467,ricevette
5240844.0,2.2719359397888184,ambasciatori
5401368.0,8.977031707763672,manca
5456493.0,7.5582685470581055,peccato
5510736.0,9.095065116882324,hanno
5531022.0,7.0333099365234375,cose
5574240.0,8.561646461486816,morire
5607756.0,8.302931785583496,lasciare
5681844.0,7.980337142944336,pensiero
5701689.0,5.695281982421875,soffro
5747553.0,5.3818864822387695,dormo
5768721.0,5.728576183319092,notte
5822964.0,4.048947334289551,ambasciatori
5851188.0,4.178154945373535,pensarono
5890437.0,5.99874210357666,tornarsene
5983488.0,6.178326606750488,sfogare
6025383.0,6.347896575927734,disperazione
6075657.0,3.509249448776245,Re
6083154.0,8.474944114685059,andò
6100233.0,4.906551361083984,caccia
6132149.0,8.214168548583984,Tirò
6152391.0,8.508255004882812,lepre
6177528.0,8.462648391723633,credeva
6212808.0,7.814130783081055,presa
6240591.0,6.901159763336182,lepre
6256467.0,5.003067493438721,zoppicando
6281163.0,4.240461826324463,scappò
6354810.0,4.313771724700928,Re
6368922.0,3.13626480102539,tenne
6415227.0,3.999874830245972,allontanò
6445656.0,5.715392112731934,seguito
6503427.0,8.339762687683105,mezzo
6517539.0,6.871983528137207,campi
6532533.0,4.597028732299805,sentì
6553260.0,8.040420532226562,voce
6566049.0,6.224348068237305,uomo
6583248.0,4.074882507324219,cantava
6610590.0,5.377928733825684,falulella
6685119.0,3.8758487701416016,Re
6700995.0,4.925284862518311,fermò
6753033.0,8.209305763244629,canta
6816096.0,7.02092170715332,contento
6862842.0,7.662910461425781,seguendo
6889302.0,6.665025234222412,canto
6907824.0,4.9305033683776855,infilò
6936048.0,6.39921236038208,vigna
