BEGIN,semantic_dissimilarity,word
98343.0,0.2314035892486572,camicia
133623.0,0.4115869998931885,uomo
145971.0,0.4024600386619568,contento
235053.0,0.4263707995414734,Re
256662.0,0.3955256938934326,aveva
276507.0,0.3953658938407898,figlio
287973.0,0.3744809627532959,unico
332514.0,0.3681236505508423,voleva
380142.0,0.4603438973426819,luce
412776.0,0.3329569101333618,occhi
466137.0,0.4046300649642944,Principe
508473.0,0.3600291609764099,scontento
571095.0,0.3689964115619659,Passava
590499.0,0.4109911918640136,giornate
605052.0,0.3983232975006103,intere
622378.0,0.3856977224349975,affacciato
649152.0,0.3679058253765106,balcone
678258.0,0.3684961199760437,guardare
780570.0,0.4294772148132324,manca
807030.0,0.4284918904304504,chiedeva
830844.0,0.3850864768028259,Re
865683.0,0.3627943992614746,hai
918603.0,0.3806559443473816,so
929187.0,0.4572687149047851,padre
971082.0,0.3132790327072143,so
1047516.0,0.41635462641716,innamorato
1102941.0,0.3900752663612366,vuoi
1136016.0,0.4132953882217407,ragazza
1155861.0,0.422323614358902,dimmelo
1198197.0,0.398287296295166,farò
1209663.0,0.3907426297664642,sposare
1267875.0,0.3661933541297912,figlia
1288602.0,0.464536190032959,Re
1307124.0,0.3882108926773071,potente
1335348.0,0.4231107234954834,terra
1376802.0,0.374158501625061,povera
1391796.0,0.4060332477092743,contadina
1460592.0,0.4178009331226349,padre
1490580.0,0.416280061006546,innamorato
1564668.0,0.4039167761802673,Re
1576575.0,0.4661439657211303,riprovare
1614060.0,0.4279626607894897,modi
1632582.0,0.4168412685394287,distrarlo
1683812.0,0.3844980001449585,Teatri
1705788.0,0.3353576362133026,balli
1726074.0,0.3023978471755981,musiche
1751211.0,0.3575686514377594,canti
1802808.0,0.4079063534736633,serviva
1852200.0,0.4286221265792846,viso
1869399.0,0.4746950268745422,Principe
1895859.0,0.5486462712287903,giorno
1914381.0,0.3576685190200805,giorno
1929816.0,0.3490619659423828,scompariva
1969065.0,0.4147167801856994,color
1992879.0,0.3732494711875915,rosa
