BEGIN;semantic_dissimilarity;type_of_words;word
4613878;0.473463953;function;a
4617711;0.445983768;content;tenerlo
4642407;0.494777441;function;fra
4649022;0.429090977;function;le
4655637;0.432530761;content;dita
4679892;0.336911201;function;non
4686948;0.337919414;function;si
4694886;0.370653152;content;vedeva
4709880;0.399010718;function;nemmeno
4792788;0.543506444;function;Cos'
4808664;0.443210483;function;è
4847913;0.449092805;content;disse
4864671;0.478491873;content;Lorenza
4887603;0.380891919;content;stupita
4961691;0.419354498;function;È
4967865;0.391042769;function;il
4978890;0.449497461;content;filo
4991679;0.479422688;function;del
4998294;0.518776417;content;Buon
5007555;0.458924353;content;Ritorno
5052096;0.41382134;content;rispose
5081202;0.302093148;function;la
5088699;0.404687792;content;fata-gattina
5180868;0.49230957;content;Basta
5197185;0.428076208;function;che
5209515;0.40264824;function;tu
5232465;0.419994295;function;quando
5248782;0.388706595;content;partirai
5302143;0.478402972;function;ne
5308758;0.41246295;content;leghi
5323311;0.430302978;function;un
5331690;0.465745211;content;capo
5349771;0.364998341;function;al
5356827;0.454653025;content;pomo
5373144;0.372502267;function;del
5379759;0.386987358;content;lettino
5436207;0.263001621;function;e
5442822;0.299831986;content;metti
5459139;0.276845515;function;il
5470605;0.423553318;content;gomitolo
5498388;0.323102236;function;nella
5509854;0.361576319;function;tua
5520879;0.391574383;content;tasca
5587470;0.493641376;function;ovunque
5610843;0.382485867;content;andrai
5651856;0.350004554;function;ci
5659794;0.332829595;content;sarà
5669055;0.343459845;function;sempre
5690893;0.242872119;function;il
5702571;0.333158195;content;filo
5728590;0.382771373;function;a
5735205;0.386229128;content;mostrarti
5770171;0.321575344;function;la
5772690;0.367403746;content;strada
5793858;0.402308226;function;di
5798709;0.372700244;content;casa
5870151;0.517845511;function;Ma
5875002;0.413453817;function;come
5887350;0.37978828;function;potrò
5903226;0.357213855;content;lasciare
5919102;0.407520056;function;in
5927040;0.386316717;content;giro
5938065;0.298062146;function;questo
5956146;0.362036645;content;filo
5998041;0.461059809;content;disse
6014799;0.450435966;content;Lorenza
6060222;0.368831158;function;Se
6067719;0.364333391;function;si
6078303;0.364937752;content;rompe
6116229;0.319480181;function;Se
6123726;0.315593243;function;si
6133256;0.409746736;content;inciampa
6155037;0.354383498;function;qualcuno
6217659;0.391668707;content;Impossibile
6274989;0.378904581;content;disse
6290865;0.379547179;function;la
6298141;0.465925574;content;fata
6357456;0.37494868;function;Il
6368040;0.44355917;content;filo
6393177;0.367372453;function;è
6399351;0.389527202;content;fatto
6415668;0.43418777;function;di
6420078;0.423007876;content;nostalgina
6491079;0.326429725;function;una
6500340;0.3254444;content;sostanza
6529005;0.344670236;content;invisibile
6565608;0.326220155;function;e
6567372;0.372867584;content;infrangibile
6659100;0.377301395;function;nessuno
6682032;0.427041352;function;ci
6689970;0.337743402;function;può
6696585;0.396500707;content;inciampare
6751269;0.340532839;function;niente
6775083;0.374243915;function;lo
6781698;0.263534427;function;può
6787431;0.349374294;content;spezzare
6876954;0.490920216;content;Lorenza
6898122;0.391820014;function;il
6905619;0.515003443;content;giorno
6919731;0.345892161;function;dopo
6949719;0.384590864;content;legò
6966477;0.278613746;function;il
6972651;0.464348137;content;capo
6990291;0.319074094;function;del
7001757;0.409904122;content;filo
7018074;0.331835926;function;al
7024248;0.472257435;content;pomo
7038360;0.349826336;function;del
7048062;0.449223042;content;letto
7090839;0.274976075;function;e
7095690;0.311991632;function;si
7104951;0.343202472;content;mise
7117740;0.236964345;function;il
7125678;0.387995869;content;gomitolo
7147287;0.359607697;function;in
7155225;0.384753317;content;tasca
7200207;0.359140813;function;E
7208325;0.411714733;content;partì
7220493;0.398606956;function;con
7225344;0.355136633;function;la
7232400;0.392459154;content;famiglia
7278264;0.279496491;function;e
7284879;0.3660658;function;alla
7296786;0.346715569;content;fine
7306929;0.342410088;content;tornò
7374402;0.333190739;function;E
7379253;0.370084286;content;fece
7391601;0.436947167;function;molti
7411446;0.416431308;content;altri
7427322;0.369586766;content;viaggi
7451577;0.387744367;function;e
7454664;0.443450332;function;sempre
7485093;0.693532348;content;ritrovò
7511112;0.345298767;function;la
7517286;0.406016111;content;strada
7538895;0.403943896;function;di
7545069;0.340900987;content;casa
7588287;0.332321405;function;perché
7601574;0.294536352;content;aveva
7613401;0.288742125;function;il
7621362;0.432711124;content;gomitolo
7653114;0.322577894;function;che
7660522;0.330449581;content;aveva
7673400;0.259166479;function;il
7683984;0.331607878;content;filo
7697655;0.331455469;function;di
7701624;0.486936539;content;nostalgina
7761159;0.334417343;function;che
7766892;0.393220007;function;le
7771302;0.369123697;function;aveva
7785414;0.359053075;content;dato
7811433;0.321800709;function;la
7824222;0.416707605;content;fata-gattina
;;;
;;;
;;;
;;;
